id	status	score	schema	table	rows	event_date	entity	partners	partner_tables	tags	look_for	charts	traps	hunt_trap	found	finding_ids	by	date
T:ENVIRONMENT__FED_USCG_NRC_INCIDENTS	untouched	4.0	ENVIRONMENT	ENVIRONMENT__FED_USCG_NRC_INCIDENTS	1029020	DATE_TIME_RECEIVED	names only	0		MAP	after DATE_TIME_RECEIVED: do the named RESPONSIBLE_COMPANY show up again in money tables :: before-after line | bridge the names to an ID table first; see the names layer :: table | clusters: many events on one day or in one place in DATE_TIME_RECEIVED :: timeline	before-after_line table timeline	reach-is-not-a-usable-join					
T:CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_OTHERS	untouched	3.7	CORPORATE_REGISTRY	CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_OTHERS	2989	INCORPORATION_DATE	names only	0		MAP TEXT	after INCORPORATION_DATE: do the named NAME show up again in money tables :: before-after line | bridge the names to an ID table first; see the names layer :: table | clusters: many events on one day or in one place in INCORPORATION_DATE :: timeline	before-after_line table timeline						
T:ENVIRONMENT__FED_FRACFOCUS_DISCLOSURE_LIST	untouched	3.7	ENVIRONMENT	ENVIRONMENT__FED_FRACFOCUS_DISCLOSURE_LIST	248835	JOB_START_DATE	names only	0		MAP	after JOB_START_DATE: do the named OPERATOR_NAME, WELL_NAME show up again in money tables :: before-after line | bridge the names to an ID table first; see the names layer :: table | clusters: many events on one day or in one place in JOB_START_DATE :: timeline	before-after_line table timeline						
T:ENVIRONMENT__FED_USCG_NRC_INCIDENT_REPORTS	untouched	3.5	ENVIRONMENT	ENVIRONMENT__FED_USCG_NRC_INCIDENT_REPORTS	116662	DATE_TIME_RECEIVED	names only	0		MAP	after DATE_TIME_RECEIVED: do the named RESPONSIBLE_COMPANY show up again in money tables :: before-after line | bridge the names to an ID table first; see the names layer :: table | clusters: many events on one day or in one place in DATE_TIME_RECEIVED :: timeline	before-after_line table timeline	reach-is-not-a-usable-join					
T:SCIENCE_RESEARCH__FED_RETRACTION_WATCH	untouched	3.4	SCIENCE_RESEARCH	SCIENCE_RESEARCH__FED_RETRACTION_WATCH	71591	RETRACTION_DATE	no actor column	0		TEXT	timeline: count by month in RETRACTION_DATE; find the spikes and what sits under them :: line over time | clusters: many events on one day or in one place in RETRACTION_DATE :: timeline	line_over_time timeline						
T:SCIENCE_RESEARCH__XC_RETRACTION_WATCH_DATABASE	untouched	3.4	SCIENCE_RESEARCH	SCIENCE_RESEARCH__XC_RETRACTION_WATCH_DATABASE	71388	RETRACTION_DATE	no actor column	0		TEXT	timeline: count by month in RETRACTION_DATE; find the spikes and what sits under them :: line over time | clusters: many events on one day or in one place in RETRACTION_DATE :: timeline	line_over_time timeline						
T:ENVIRONMENT__FED_EPA_AQS_SITES	untouched	3.2	ENVIRONMENT	ENVIRONMENT__FED_EPA_AQS_SITES	20994	SITE_ESTABLISHED_DATE	names only	0		MAP	after SITE_ESTABLISHED_DATE: do the named LOCAL_SITE_NAME, TRIBE_NAME show up again in money tables :: before-after line | bridge the names to an ID table first; see the names layer :: table | clusters: many events on one day or in one place in SITE_ESTABLISHED_DATE :: timeline	before-after_line table timeline	reach-is-not-a-usable-join					
T:HEALTH__FED_FDA_MAUDE	untouched	3.2	HEALTH	HEALTH__FED_FDA_MAUDE	2743561	DATE_OF_EVENT	names only	0			after DATE_OF_EVENT: do the named MANUFACTURER_D_NAME show up again in money tables :: before-after line | bridge the names to an ID table first; see the names layer :: table | clusters: many events on one day or in one place in DATE_OF_EVENT :: timeline	before-after_line table timeline						
T:REFERENCE__FED_ITIS_OTHER_SOURCES	untouched	2.5	REFERENCE	REFERENCE__FED_ITIS_OTHER_SOURCES	1071	ACQUISITION_DATE	names only	0		TEXT REFERENCE	after ACQUISITION_DATE: do the named SOURCE_NAME show up again in money tables :: before-after line | bridge the names to an ID table first; see the names layer :: table | clusters: many events on one day or in one place in ACQUISITION_DATE :: timeline	before-after_line table timeline						
T:ENERGY__FED_EIA861_MERGERS	untouched	1.3	ENERGY	ENERGY__FED_EIA861_MERGERS	4	EFFECTIVE_DATE	names only	0		MAP	after EFFECTIVE_DATE: do the named UTILITY_NAME, NEW_UTILITY_NAME show up again in money tables :: before-after line | bridge the names to an ID table first; see the names layer :: table | clusters: many events on one day or in one place in EFFECTIVE_DATE :: timeline	before-after_line table timeline	reach-is-not-a-usable-join					
