branch,park_type,family,model,line
any trend over time,needs-history,organization,stg_fed_fec_committees__records,stg_fed_fec_committees__records: no date column — snapshot only
per person served,needs-population,payment,stg_fed_fec_independent_expenditures__records,stg_fed_fec_independent_expenditures__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,payment,stg_fed_fec_independent_expenditures__records,stg_fed_fec_independent_expenditures__records: spine entity undetermined at onboarding
assessed vs actually collected,needs-second-table,payment,stg_fed_fec_independent_expenditures__records,stg_fed_fec_independent_expenditures__records: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,payment,stg_fed_fec_independent_expenditures__records,stg_fed_fec_independent_expenditures__records: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,payment,stg_fed_fec_independent_expenditures__records,stg_fed_fec_independent_expenditures__records: harm lives in a different fact table
per person served,needs-population,contribution,stg_fed_fec_indiv_contributions__records,stg_fed_fec_indiv_contributions__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,contribution,stg_fed_fec_indiv_contributions__records,stg_fed_fec_indiv_contributions__records: spine entity undetermined at onboarding
assessed vs actually collected,needs-second-table,contribution,stg_fed_fec_indiv_contributions__records,stg_fed_fec_indiv_contributions__records: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,contribution,stg_fed_fec_indiv_contributions__records,stg_fed_fec_indiv_contributions__records: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,contribution,stg_fed_fec_indiv_contributions__records,stg_fed_fec_indiv_contributions__records: harm lives in a different fact table
join to the entity spine,needs-crosswalk,unresolved,stg_fed_fec_leadership_pac__all,stg_fed_fec_leadership_pac__all: spine entity undetermined at onboarding
any trend over time,needs-history,unresolved,stg_fed_fec_leadership_pac__all,stg_fed_fec_leadership_pac__all: no date column — snapshot only
row-level version of this aggregate,needs-source-upgrade,aggregate,stg_fed_fec_pac_summary__records,stg_fed_fec_pac_summary__records: publisher pre-aggregated — per-noun cuts impossible below its grain
per person served,needs-population,document,stg_fed_federal_register_documents__federal_register_documents,stg_fed_federal_register_documents__federal_register_documents: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,document,stg_fed_federal_register_documents__federal_register_documents,stg_fed_federal_register_documents__federal_register_documents: spine entity undetermined at onboarding
per person served,needs-population,registration,stg_fed_fema_ia_housing_registrations__registrations,stg_fed_fema_ia_housing_registrations__registrations: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,registration,stg_fed_fema_ia_housing_registrations__registrations,stg_fed_fema_ia_housing_registrations__registrations: spine entity undetermined at onboarding
assessed vs actually collected,needs-second-table,registration,stg_fed_fema_ia_housing_registrations__registrations,stg_fed_fema_ia_housing_registrations__registrations: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,registration,stg_fed_fema_ia_housing_registrations__registrations,stg_fed_fema_ia_housing_registrations__registrations: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,registration,stg_fed_fema_ia_housing_registrations__registrations,stg_fed_fema_ia_housing_registrations__registrations: harm lives in a different fact table
per person served,needs-population,place,stg_fed_fema_nfip_community_status_book__communities,stg_fed_fema_nfip_community_status_book__communities: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,place,stg_fed_fema_nfip_community_status_book__communities,stg_fed_fema_nfip_community_status_book__communities: spine entity undetermined at onboarding
any trend over time,needs-history,place,stg_fed_fema_nfip_community_status_book__communities,stg_fed_fema_nfip_community_status_book__communities: no date column — snapshot only
full column inventory,needs-metadata-pull,place,stg_fed_fema_nfip_community_status_book__communities,stg_fed_fema_nfip_community_status_book__communities: columns not fully recoverable from SQL
per person served,needs-population,filing,stg_fed_ffiec_call_reports__records,stg_fed_ffiec_call_reports__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,filing,stg_fed_ffiec_call_reports__records,stg_fed_ffiec_call_reports__records: spine entity undetermined at onboarding
assessed vs actually collected,needs-second-table,filing,stg_fed_ffiec_call_reports__records,stg_fed_ffiec_call_reports__records: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,filing,stg_fed_ffiec_call_reports__records,stg_fed_ffiec_call_reports__records: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,filing,stg_fed_ffiec_call_reports__records,stg_fed_ffiec_call_reports__records: harm lives in a different fact table
join to the entity spine,needs-crosswalk,membership,stg_fed_fhfa_fhlb_membership__members,stg_fed_fhfa_fhlb_membership__members: spine entity undetermined at onboarding
per person served,needs-population,measurement,stg_fed_fhfa_hpi__records,stg_fed_fhfa_hpi__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,measurement,stg_fed_fhfa_hpi__records,stg_fed_fhfa_hpi__records: spine entity undetermined at onboarding
was there an inspection first (real lineage),needs-lineage,measurement,stg_fed_fhfa_hpi__records,stg_fed_fhfa_hpi__records: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,measurement,stg_fed_fhfa_hpi__records,stg_fed_fhfa_hpi__records: harm lives in a different fact table
per person served,needs-population,loan,stg_fed_fhfa_nmdb__records,stg_fed_fhfa_nmdb__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,loan,stg_fed_fhfa_nmdb__records,stg_fed_fhfa_nmdb__records: spine entity undetermined at onboarding
events per noun via hard ID,needs-crosswalk,loan,stg_fed_fhfa_nmdb__records,stg_fed_fhfa_nmdb__records: events carry no entity ID — name-match only
was there an inspection first (real lineage),needs-lineage,loan,stg_fed_fhfa_nmdb__records,stg_fed_fhfa_nmdb__records: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,loan,stg_fed_fhfa_nmdb__records,stg_fed_fhfa_nmdb__records: harm lives in a different fact table
per person served,needs-population,program,stg_fed_fhfa_suspended_counterparty_program__suspended_counterparty,stg_fed_fhfa_suspended_counterparty_program__suspended_counterparty: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,program,stg_fed_fhfa_suspended_counterparty_program__suspended_counterparty,stg_fed_fhfa_suspended_counterparty_program__suspended_counterparty: spine entity undetermined at onboarding
per person served,needs-population,organization,stg_fed_fincen_boi__organizations,stg_fed_fincen_boi__organizations: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,membership,stg_fed_finra_mpid_list__market_participants,stg_fed_finra_mpid_list__market_participants: spine entity undetermined at onboarding
any trend over time,needs-history,membership,stg_fed_finra_mpid_list__market_participants,stg_fed_finra_mpid_list__market_participants: no date column — snapshot only
per person served,needs-population,case,stg_fed_fjc_idb_appellate__appeal_records,stg_fed_fjc_idb_appellate__appeal_records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,case,stg_fed_fjc_idb_appellate__appeal_records,stg_fed_fjc_idb_appellate__appeal_records: spine entity undetermined at onboarding
assessed vs actually collected,needs-second-table,case,stg_fed_fjc_idb_appellate__appeal_records,stg_fed_fjc_idb_appellate__appeal_records: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,case,stg_fed_fjc_idb_appellate__appeal_records,stg_fed_fjc_idb_appellate__appeal_records: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,case,stg_fed_fjc_idb_appellate__appeal_records,stg_fed_fjc_idb_appellate__appeal_records: harm lives in a different fact table
per person served,needs-population,case,stg_fed_fjc_idb_bankruptcy__case_snapshots,stg_fed_fjc_idb_bankruptcy__case_snapshots: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,case,stg_fed_fjc_idb_bankruptcy__case_snapshots,stg_fed_fjc_idb_bankruptcy__case_snapshots: spine entity undetermined at onboarding
assessed vs actually collected,needs-second-table,case,stg_fed_fjc_idb_bankruptcy__case_snapshots,stg_fed_fjc_idb_bankruptcy__case_snapshots: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,case,stg_fed_fjc_idb_bankruptcy__case_snapshots,stg_fed_fjc_idb_bankruptcy__case_snapshots: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,case,stg_fed_fjc_idb_bankruptcy__case_snapshots,stg_fed_fjc_idb_bankruptcy__case_snapshots: harm lives in a different fact table
per person served,needs-population,case,stg_fed_fjc_idb_civil__case_records,stg_fed_fjc_idb_civil__case_records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,case,stg_fed_fjc_idb_civil__case_records,stg_fed_fjc_idb_civil__case_records: spine entity undetermined at onboarding
assessed vs actually collected,needs-second-table,case,stg_fed_fjc_idb_civil__case_records,stg_fed_fjc_idb_civil__case_records: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,case,stg_fed_fjc_idb_civil__case_records,stg_fed_fjc_idb_civil__case_records: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,case,stg_fed_fjc_idb_civil__case_records,stg_fed_fjc_idb_civil__case_records: harm lives in a different fact table
per person served,needs-population,case,stg_fed_fjc_idb_criminal__defendant_records,stg_fed_fjc_idb_criminal__defendant_records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,case,stg_fed_fjc_idb_criminal__defendant_records,stg_fed_fjc_idb_criminal__defendant_records: spine entity undetermined at onboarding
assessed vs actually collected,needs-second-table,case,stg_fed_fjc_idb_criminal__defendant_records,stg_fed_fjc_idb_criminal__defendant_records: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,case,stg_fed_fjc_idb_criminal__defendant_records,stg_fed_fjc_idb_criminal__defendant_records: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,case,stg_fed_fjc_idb_criminal__defendant_records,stg_fed_fjc_idb_criminal__defendant_records: harm lives in a different fact table
per person served,needs-population,person,stg_fed_fjc_judges__people,stg_fed_fjc_judges__people: no population/served column on the thing itself
per person served,needs-population,person,stg_fed_fjc_service__people,stg_fed_fjc_service__people: no population/served column on the thing itself
per person served,needs-population,unresolved,stg_fed_foreignassistance__records,stg_fed_foreignassistance__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,unresolved,stg_fed_foreignassistance__records,stg_fed_foreignassistance__records: spine entity undetermined at onboarding
assessed vs actually collected,needs-second-table,unresolved,stg_fed_foreignassistance__records,stg_fed_foreignassistance__records: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,unresolved,stg_fed_foreignassistance__records,stg_fed_foreignassistance__records: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,unresolved,stg_fed_foreignassistance__records,stg_fed_foreignassistance__records: harm lives in a different fact table
per person served,needs-population,unresolved,stg_fed_fra_casualties__all,stg_fed_fra_casualties__all: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,unresolved,stg_fed_fra_casualties__all,stg_fed_fra_casualties__all: spine entity undetermined at onboarding
was there an inspection first (real lineage),needs-lineage,unresolved,stg_fed_fra_casualties__all,stg_fed_fra_casualties__all: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,unresolved,stg_fed_fra_casualties__all,stg_fed_fra_casualties__all: harm lives in a different fact table
join to the entity spine,needs-crosswalk,unresolved,stg_fed_fra_crossing_incidents__all,stg_fed_fra_crossing_incidents__all: spine entity undetermined at onboarding
assessed vs actually collected,needs-second-table,unresolved,stg_fed_fra_crossing_incidents__all,stg_fed_fra_crossing_incidents__all: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,unresolved,stg_fed_fra_crossing_incidents__all,stg_fed_fra_crossing_incidents__all: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,unresolved,stg_fed_fra_crossing_incidents__all,stg_fed_fra_crossing_incidents__all: harm lives in a different fact table
join to the entity spine,needs-crosswalk,organization,stg_fed_fra_equipment_accidents__all,stg_fed_fra_equipment_accidents__all: spine entity undetermined at onboarding
per person served,needs-population,place,stg_fed_fra_safety__places,stg_fed_fra_safety__places: no population/served column on the thing itself
per person served,needs-population,filing,stg_fed_fracfocus_disclosure_list__disclosures,stg_fed_fracfocus_disclosure_list__disclosures: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,filing,stg_fed_fracfocus_disclosure_list__disclosures,stg_fed_fracfocus_disclosure_list__disclosures: spine entity undetermined at onboarding
was there an inspection first (real lineage),needs-lineage,filing,stg_fed_fracfocus_disclosure_list__disclosures,stg_fed_fracfocus_disclosure_list__disclosures: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,filing,stg_fed_fracfocus_disclosure_list__disclosures,stg_fed_fracfocus_disclosure_list__disclosures: harm lives in a different fact table
per person served,needs-population,filing,stg_fed_fracfocus_registry__ingredients,stg_fed_fracfocus_registry__ingredients: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,filing,stg_fed_fracfocus_registry__ingredients,stg_fed_fracfocus_registry__ingredients: spine entity undetermined at onboarding
was there an inspection first (real lineage),needs-lineage,filing,stg_fed_fracfocus_registry__ingredients,stg_fed_fracfocus_registry__ingredients: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,filing,stg_fed_fracfocus_registry__ingredients,stg_fed_fracfocus_registry__ingredients: harm lives in a different fact table
per person served,needs-population,measurement,stg_fed_fracfocus_water_source__water_sources,stg_fed_fracfocus_water_source__water_sources: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,measurement,stg_fed_fracfocus_water_source__water_sources,stg_fed_fracfocus_water_source__water_sources: spine entity undetermined at onboarding
any trend over time,needs-history,measurement,stg_fed_fracfocus_water_source__water_sources,stg_fed_fracfocus_water_source__water_sources: no date column — snapshot only
was there an inspection first (real lineage),needs-lineage,measurement,stg_fed_fracfocus_water_source__water_sources,stg_fed_fracfocus_water_source__water_sources: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,measurement,stg_fed_fracfocus_water_source__water_sources,stg_fed_fracfocus_water_source__water_sources: harm lives in a different fact table
per person served,needs-population,action,stg_fed_ftc_datasets__records,stg_fed_ftc_datasets__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,action,stg_fed_ftc_datasets__records,stg_fed_ftc_datasets__records: spine entity undetermined at onboarding
was there an inspection first (real lineage),needs-lineage,action,stg_fed_ftc_datasets__records,stg_fed_ftc_datasets__records: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,action,stg_fed_ftc_datasets__records,stg_fed_ftc_datasets__records: harm lives in a different fact table
per person served,needs-population,unresolved,stg_fed_govinfo_bill_cosponsors__cosponsors,stg_fed_govinfo_bill_cosponsors__cosponsors: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,unresolved,stg_fed_govinfo_bill_cosponsors__cosponsors,stg_fed_govinfo_bill_cosponsors__cosponsors: spine entity undetermined at onboarding
was there an inspection first (real lineage),needs-lineage,unresolved,stg_fed_govinfo_bill_cosponsors__cosponsors,stg_fed_govinfo_bill_cosponsors__cosponsors: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,unresolved,stg_fed_govinfo_bill_cosponsors__cosponsors,stg_fed_govinfo_bill_cosponsors__cosponsors: harm lives in a different fact table
per person served,needs-population,unresolved,stg_fed_govinfo_bill_cosponsors__records,stg_fed_govinfo_bill_cosponsors__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,unresolved,stg_fed_govinfo_bill_cosponsors__records,stg_fed_govinfo_bill_cosponsors__records: spine entity undetermined at onboarding
was there an inspection first (real lineage),needs-lineage,unresolved,stg_fed_govinfo_bill_cosponsors__records,stg_fed_govinfo_bill_cosponsors__records: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,unresolved,stg_fed_govinfo_bill_cosponsors__records,stg_fed_govinfo_bill_cosponsors__records: harm lives in a different fact table
per person served,needs-population,action,stg_fed_govinfo_billstatus__bills,stg_fed_govinfo_billstatus__bills: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,action,stg_fed_govinfo_billstatus__bills,stg_fed_govinfo_billstatus__bills: spine entity undetermined at onboarding
was there an inspection first (real lineage),needs-lineage,action,stg_fed_govinfo_billstatus__bills,stg_fed_govinfo_billstatus__bills: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,action,stg_fed_govinfo_billstatus__bills,stg_fed_govinfo_billstatus__bills: harm lives in a different fact table
per person served,needs-population,action,stg_fed_govinfo_billstatus__records,stg_fed_govinfo_billstatus__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,action,stg_fed_govinfo_billstatus__records,stg_fed_govinfo_billstatus__records: spine entity undetermined at onboarding
was there an inspection first (real lineage),needs-lineage,action,stg_fed_govinfo_billstatus__records,stg_fed_govinfo_billstatus__records: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,action,stg_fed_govinfo_billstatus__records,stg_fed_govinfo_billstatus__records: harm lives in a different fact table
per person served,needs-population,award,stg_fed_grants_gov__records,stg_fed_grants_gov__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,award,stg_fed_grants_gov__records,stg_fed_grants_gov__records: spine entity undetermined at onboarding
assessed vs actually collected,needs-second-table,award,stg_fed_grants_gov__records,stg_fed_grants_gov__records: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,award,stg_fed_grants_gov__records,stg_fed_grants_gov__records: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,award,stg_fed_grants_gov__records,stg_fed_grants_gov__records: harm lives in a different fact table
per person served,needs-population,enforcement,stg_fed_hhs_oig_leie__exclusions,stg_fed_hhs_oig_leie__exclusions: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,enforcement,stg_fed_hhs_oig_leie__exclusions,stg_fed_hhs_oig_leie__exclusions: spine entity undetermined at onboarding
was there an inspection first (real lineage),needs-lineage,enforcement,stg_fed_hhs_oig_leie__exclusions,stg_fed_hhs_oig_leie__exclusions: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,enforcement,stg_fed_hhs_oig_leie__exclusions,stg_fed_hhs_oig_leie__exclusions: harm lives in a different fact table
per person served,needs-population,award,stg_fed_hhs_taggs__grant_awards,stg_fed_hhs_taggs__grant_awards: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,award,stg_fed_hhs_taggs__grant_awards,stg_fed_hhs_taggs__grant_awards: spine entity undetermined at onboarding
assessed vs actually collected,needs-second-table,award,stg_fed_hhs_taggs__grant_awards,stg_fed_hhs_taggs__grant_awards: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,award,stg_fed_hhs_taggs__grant_awards,stg_fed_hhs_taggs__grant_awards: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,award,stg_fed_hhs_taggs__grant_awards,stg_fed_hhs_taggs__grant_awards: harm lives in a different fact table
join to the entity spine,needs-crosswalk,registration,stg_fed_hrsa_hpsa_primary_care__designations,stg_fed_hrsa_hpsa_primary_care__designations: spine entity undetermined at onboarding
was there an inspection first (real lineage),needs-lineage,registration,stg_fed_hrsa_hpsa_primary_care__designations,stg_fed_hrsa_hpsa_primary_care__designations: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,registration,stg_fed_hrsa_hpsa_primary_care__designations,stg_fed_hrsa_hpsa_primary_care__designations: harm lives in a different fact table
join to the entity spine,needs-crosswalk,place,stg_fed_hrsa_shortage_areas__records,stg_fed_hrsa_shortage_areas__records: spine entity undetermined at onboarding
per person served,needs-population,facility,stg_fed_hrsa_uds_health_center_info__centers,stg_fed_hrsa_uds_health_center_info__centers: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,facility,stg_fed_hrsa_uds_health_center_info__centers,stg_fed_hrsa_uds_health_center_info__centers: spine entity undetermined at onboarding
any trend over time,needs-history,facility,stg_fed_hrsa_uds_health_center_info__centers,stg_fed_hrsa_uds_health_center_info__centers: no date column — snapshot only
per person served,needs-population,facility,stg_fed_hrsa_uds_service_delivery_sites__sites,stg_fed_hrsa_uds_service_delivery_sites__sites: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,facility,stg_fed_hrsa_uds_service_delivery_sites__sites,stg_fed_hrsa_uds_service_delivery_sites__sites: spine entity undetermined at onboarding
join to the entity spine,needs-crosswalk,aggregate,stg_fed_hrsa_uds_table3a_patients__by_center,stg_fed_hrsa_uds_table3a_patients__by_center: spine entity undetermined at onboarding
any trend over time,needs-history,aggregate,stg_fed_hrsa_uds_table3a_patients__by_center,stg_fed_hrsa_uds_table3a_patients__by_center: no date column — snapshot only
row-level version of this aggregate,needs-source-upgrade,aggregate,stg_fed_hrsa_uds_table3a_patients__by_center,stg_fed_hrsa_uds_table3a_patients__by_center: publisher pre-aggregated — per-noun cuts impossible below its grain
join to the entity spine,needs-crosswalk,aggregate,stg_fed_hud_assisted_housing_projects__summaries,stg_fed_hud_assisted_housing_projects__summaries: spine entity undetermined at onboarding
row-level version of this aggregate,needs-source-upgrade,aggregate,stg_fed_hud_assisted_housing_projects__summaries,stg_fed_hud_assisted_housing_projects__summaries: publisher pre-aggregated — per-noun cuts impossible below its grain
per person served,needs-population,unresolved,stg_fed_hud_data__records,stg_fed_hud_data__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,unresolved,stg_fed_hud_data__records,stg_fed_hud_data__records: spine entity undetermined at onboarding
was there an inspection first (real lineage),needs-lineage,unresolved,stg_fed_hud_data__records,stg_fed_hud_data__records: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,unresolved,stg_fed_hud_data__records,stg_fed_hud_data__records: harm lives in a different fact table
per person served,needs-population,loan,stg_fed_hud_fha_sf_portfolio_snapshot__loans,stg_fed_hud_fha_sf_portfolio_snapshot__loans: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,loan,stg_fed_hud_fha_sf_portfolio_snapshot__loans,stg_fed_hud_fha_sf_portfolio_snapshot__loans: spine entity undetermined at onboarding
assessed vs actually collected,needs-second-table,loan,stg_fed_hud_fha_sf_portfolio_snapshot__loans,stg_fed_hud_fha_sf_portfolio_snapshot__loans: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,loan,stg_fed_hud_fha_sf_portfolio_snapshot__loans,stg_fed_hud_fha_sf_portfolio_snapshot__loans: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,loan,stg_fed_hud_fha_sf_portfolio_snapshot__loans,stg_fed_hud_fha_sf_portfolio_snapshot__loans: harm lives in a different fact table
per person served,needs-population,action,stg_fed_hud_mf_firm_commitments__commitments,stg_fed_hud_mf_firm_commitments__commitments: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,action,stg_fed_hud_mf_firm_commitments__commitments,stg_fed_hud_mf_firm_commitments__commitments: spine entity undetermined at onboarding
assessed vs actually collected,needs-second-table,action,stg_fed_hud_mf_firm_commitments__commitments,stg_fed_hud_mf_firm_commitments__commitments: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,action,stg_fed_hud_mf_firm_commitments__commitments,stg_fed_hud_mf_firm_commitments__commitments: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,action,stg_fed_hud_mf_firm_commitments__commitments,stg_fed_hud_mf_firm_commitments__commitments: harm lives in a different fact table
per person served,needs-population,award,stg_fed_hud_mf_section8_contracts__contracts,stg_fed_hud_mf_section8_contracts__contracts: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,award,stg_fed_hud_mf_section8_contracts__contracts,stg_fed_hud_mf_section8_contracts__contracts: spine entity undetermined at onboarding
was there an inspection first (real lineage),needs-lineage,award,stg_fed_hud_mf_section8_contracts__contracts,stg_fed_hud_mf_section8_contracts__contracts: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,award,stg_fed_hud_mf_section8_contracts__contracts,stg_fed_hud_mf_section8_contracts__contracts: harm lives in a different fact table
join to the entity spine,needs-crosswalk,code,stg_fed_hud_public_housing_authorities__authorities,stg_fed_hud_public_housing_authorities__authorities: spine entity undetermined at onboarding
any trend over time,needs-history,code,stg_fed_hud_public_housing_authorities__authorities,stg_fed_hud_public_housing_authorities__authorities: no date column — snapshot only
full column inventory,needs-metadata-pull,code,stg_fed_hud_public_housing_authorities__authorities,stg_fed_hud_public_housing_authorities__authorities: columns not fully recoverable from SQL
per person served,needs-population,facility,stg_fed_ice_detainers__all,stg_fed_ice_detainers__all: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,facility,stg_fed_ice_detainers__all,stg_fed_ice_detainers__all: spine entity undetermined at onboarding
join to the entity spine,needs-crosswalk,code,stg_fed_ice_detention_facility_codes__facility_codes,stg_fed_ice_detention_facility_codes__facility_codes: spine entity undetermined at onboarding
any trend over time,needs-history,code,stg_fed_ice_detention_facility_codes__facility_codes,stg_fed_ice_detention_facility_codes__facility_codes: no date column — snapshot only
per person served,needs-population,facility,stg_fed_ice_detention_facility_list__facility,stg_fed_ice_detention_facility_list__facility: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,facility,stg_fed_ice_detention_facility_list__facility,stg_fed_ice_detention_facility_list__facility: spine entity undetermined at onboarding
any trend over time,needs-history,facility,stg_fed_ice_detention_facility_list__facility,stg_fed_ice_detention_facility_list__facility: no date column — snapshot only
per person served,needs-population,facility,stg_fed_ice_detention_stints__all,stg_fed_ice_detention_stints__all: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,facility,stg_fed_ice_detention_stints__all,stg_fed_ice_detention_stints__all: spine entity undetermined at onboarding
join to the entity spine,needs-crosswalk,aggregate,stg_fed_ice_statistics__records,stg_fed_ice_statistics__records: spine entity undetermined at onboarding
row-level version of this aggregate,needs-source-upgrade,aggregate,stg_fed_ice_statistics__records,stg_fed_ice_statistics__records: publisher pre-aggregated — per-noun cuts impossible below its grain
per person served,needs-population,place,stg_fed_icij_offshoreleaks__addresses,stg_fed_icij_offshoreleaks__addresses: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,place,stg_fed_icij_offshoreleaks__addresses,stg_fed_icij_offshoreleaks__addresses: spine entity undetermined at onboarding
any trend over time,needs-history,place,stg_fed_icij_offshoreleaks__addresses,stg_fed_icij_offshoreleaks__addresses: no date column — snapshot only
per person served,needs-population,organization,stg_fed_icij_offshoreleaks__entities,stg_fed_icij_offshoreleaks__entities: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,organization,stg_fed_icij_offshoreleaks__entities,stg_fed_icij_offshoreleaks__entities: spine entity undetermined at onboarding
per person served,needs-population,organization,stg_fed_icij_offshoreleaks__intermediaries,stg_fed_icij_offshoreleaks__intermediaries: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,organization,stg_fed_icij_offshoreleaks__intermediaries,stg_fed_icij_offshoreleaks__intermediaries: spine entity undetermined at onboarding
any trend over time,needs-history,organization,stg_fed_icij_offshoreleaks__intermediaries,stg_fed_icij_offshoreleaks__intermediaries: no date column — snapshot only
join to the entity spine,needs-crosswalk,role,stg_fed_icij_offshoreleaks__officers,stg_fed_icij_offshoreleaks__officers: spine entity undetermined at onboarding
any trend over time,needs-history,role,stg_fed_icij_offshoreleaks__officers,stg_fed_icij_offshoreleaks__officers: no date column — snapshot only
per person served,needs-population,unresolved,stg_fed_icij_offshoreleaks__others,stg_fed_icij_offshoreleaks__others: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,unresolved,stg_fed_icij_offshoreleaks__others,stg_fed_icij_offshoreleaks__others: spine entity undetermined at onboarding
was there an inspection first (real lineage),needs-lineage,unresolved,stg_fed_icij_offshoreleaks__others,stg_fed_icij_offshoreleaks__others: stage-to-stage links need row-level lineage proof
