model,family,class,n_rows,date_min,date_max,span_years,clock_verdict,time_columns_present,epoch1970,far_future,dup_ratio
health__fed_hrsa_shortage_areas,place,noun,165531,1970-01-01,2026-06-30,56.5,CLEAN,HPSA_DESIGNATION_DATE|HPSA_DESIGNATION_LAST_UPDATE_DATE|WITHDRAWN_DATE|HPSA_WITHDRAWN_DATE_STRING|DATA_WAREHOUSE_RECORD_CREATE_DATE|DATA_WAREHOUSE_RECORD_CREATE_DATE_TEXT,2,0,0.0006
health__fed_hrsa_uds_health_center_info,facility,noun,1356,2026-08-05 21:43:43.460403,2026-08-05 21:43:43.460403,0.0,LOAD_DATE_ONLY,REPORTINGYEAR,0,0,0.0
health__fed_hrsa_uds_service_delivery_sites,provider,noun,19038,1966-01-01,2026-08-07 18:54:01.663552,60.6,CLEAN,OPERATING_HOURS_PER_WEEK|SITE_ADDED_TO_SCOPE_THIS_DATE|DATA_WAREHOUSE_RECORD_CREATE_DATE,32,0,0.0
health__fed_hrsa_uds_table3a_patients,aggregate,aggregate,1356,2026-08-05 21:43:43.460403,2026-08-05 21:43:43.460403,0.0,LOAD_DATE_ONLY,,0,0,0.0
health__fed_ihs_facilities,facility,noun,1006,2026-08-07 18:54:32.544914,2026-08-07 18:54:32.544914,0.0,LOAD_DATE_ONLY,,0,0,0.0
health__fed_ihs_scb_facility,facility,noun,8733,2026-08-08 01:42:33.696100,2026-08-08 01:42:33.696100,0.0,LOAD_DATE_ONLY,,0,0,0.0
health__fed_nlm_dailymed_spl_setid_map,document,noun,158452,2006-07-13,2026-08-08 01:42:45.275246,20.1,CLEAN,UPLOAD_DATE,0,0,0.0
health__fed_nursinghome411,unresolved,event,14713,1967-01-01,2025-12-12,58.9,CLEAN,DATE_FIRST_APPROVED_TO_PROVIDE_MEDICARE_AND_MEDICAID_SERVICES|PROBLEM_FACILITIES_SFFS_CANDIDATES_ONE_STAR|MOST_RECENT_HEALTH_INSPECTION_MORE_THAN_2_YEARS_AGO|PROVIDER_CHANGED_OWNERSHIP_IN_LAST_12_MONTHS|TOTAL_NUMBER_OF_NURSE_STAFF_HOURS_PER_RESIDENT_PER_DAY_ON_THE_WEEKEND|REGISTERED_NURSE_HOURS_PER_RESIDENT_PER_DAY_ON_THE_WEEKEND,153,0,0.0
health__fed_va_allcause_mortality,unresolved,event,2808,2026-08-10 01:24:35.964258,2026-08-10 01:24:35.964258,0.0,LOAD_DATE_ONLY,YEAR,0,0,0.0
health__fed_va_suicide_appendix,aggregate,aggregate,144,,,,NO_CLOCK,,0,0,0.0208
health__fed_va_suicide_national,aggregate,aggregate,690,2026-08-10 01:24:35.964258,2026-08-10 01:24:35.964258,0.0,LOAD_DATE_ONLY,YEAR_OF_DEATH,0,0,0.0
health__fed_va_suicide_state,aggregate,aggregate,1196,2026-08-10 01:24:35.964258,2026-08-10 01:24:35.964258,0.0,LOAD_DATE_ONLY,YEAR_OF_DEATH|YEAR,0,0,0.0
health__intl_healthcanada_dpd_drug,code,code,13383,2025-03-22,2026-08-07 18:54:55.103559,1.4,CLEAN,,0,0,0.0
health__pharma_meal_cap_fingerprint,organization,noun,2462,,,,NO_CLOCK,,0,0,0.0
health__st_oehha_proposition_65_list,registry,noun,952,1987-02-27,2026-07-17,39.4,CLEAN,DATE_LISTED,0,0,0.0
health__xc_guttmacher_monthly_abortion,unresolved,event,2040,,,,UNMEASURED_CLOCK,MONTH|PUBLISHDATE,0,0,0.0
health__xc_owid_life_expectancy,aggregate,aggregate,21565,,,,UNMEASURED_CLOCK,YEAR,0,0,0.0
historical_records__fed_slavevoyages_intraamerican,measurement,event,11521,,,,UNMEASURED_CLOCK,YEARAM|DATEDEPA|DATEDEPB|DATEDEPC|DATE_BUY1|DATE_LEFTAFR,0,0,0.0
history__fed_david_rumsey,unresolved,event,10,,,,UNMEASURED_CLOCK,DATE_PUBLISHED,0,0,0.0
history__fed_densho_ddr,unresolved,event,25,,,,UNMEASURED_CLOCK,DATE,0,0,0.0
history__fed_docsouth,unresolved,event,144,,,,UNMEASURED_CLOCK,PUBLICATION_DATE,0,0,0.0
history__fed_slavevoyages_transatlantic,measurement,event,36108,,,,UNMEASURED_CLOCK,DATEDEPA|DATEDEPB|DATEDEPC|DATEDEP|DATEBUY|DATELEFTAFR,0,0,0.0
history__fed_wpa_slave_narratives,unresolved,event,100,1937-01-01,2026-07-30 12:10:48.044000-07:00,89.6,CLEAN,INTERVIEW_DATE,0,0,0.0
housing__fed_cfpb_hmda,unresolved,event,28301,2026-07-01 21:40:19.856122,2026-07-01 21:40:19.856122,0.0,LOAD_DATE_ONLY,ACTIVITY_YEAR|INTRO_RATE_PERIOD,0,0,0.0022
housing__fed_cfpb_hmda_arid2017_lei_xref,crosswalk,link,5399,2026-08-07 19:08:11.453342,2026-08-07 19:08:11.453342,0.0,LOAD_DATE_ONLY,,0,0,0.0
housing__fed_cfpb_hmda_dc_only,unresolved,event,28301,,,,NO_CLOCK,,0,0,0.0022
housing__fed_cfpb_hmda_historic,unresolved,event,19136434,2026-08-05 17:27:42.452000,2026-08-05 17:27:42.452000,0.0,LOAD_DATE_ONLY,AS_OF_YEAR|SOURCE_YEAR|APPLICATION_DATE_INDICATOR,0,0,0.0
housing__fed_cfpb_hmda_lar,loan,event+noun,17474,2026-08-08 04:55:47.435095,2026-08-08 04:55:47.435095,0.0,LOAD_DATE_ONLY,ACTIVITY_YEAR|INTRO_RATE_PERIOD,0,0,0.0
housing__fed_fema_ia_housing_registrations,registration,event+noun,3080000,0003-11-24,2026-11-30,2023.0,CORRUPT_RANGE,APPLIEDDATE|CENSUSYEAR|DECLARATIONDATE|RENTALASSISTANCEENDDATE,0,0,0.0
housing__fed_fema_nfip_community_status_book,place,noun,25122,1970-02-03,2069-10-01,99.7,CORRUPT_RANGE,CURRENTLYEFFECTIVEMAPDATE|REGULAREMERGENCYPROGRAMDATE|ORIGINALENTRYDATE|CLASSRATINGEFFECTIVEDATE,320,8,0.0
housing__fed_fhfa_hpi,unresolved,event,184807,,,,UNMEASURED_CLOCK,YR|PERIOD,0,0,0.0
housing__fed_fhfa_nmdb,unresolved,event,7204,2026-07-01,2026-07-01,0.0,LOAD_DATE_ONLY,PERIOD_TYPE|PERIOD_VALUE|RELEASE_DATE,0,0,0.0
housing__fed_hud_assisted_housing_projects,unresolved,event,35601,2026-08-05 21:40:52.153263,2026-08-05 21:40:52.153263,0.0,LOAD_DATE_ONLY,QUARTER|MONTHS_SINCE_REPORT|RENT_PER_MONTH|SPENDING_PER_MONTH|MONTHS_WAITING|MONTHS_FROM_MOVEIN,0,0,0.0
housing__fed_hud_data,unresolved,event,77,,,,UNMEASURED_CLOCK,YEAR,0,0,0.0779
housing__fed_hud_fha_sf_portfolio_snapshot,document,noun,61647,2026-08-07 20:20:01.477991,2026-08-07 20:20:01.477991,0.0,LOAD_DATE_ONLY,ENDORSEMENT_YEAR|ENDORSEMENT_MONTH,0,0,0.0
housing__fed_hud_mf_firm_commitments,action,event,25557,2000-10-02,2026-08-07 20:19:33.409255,25.8,CLEAN,,0,0,0.0
housing__fed_hud_mf_section8_contracts,award,event+noun,24309,1900-01-02,2056-02-29,156.2,CORRUPT_RANGE,TRACS_EFFECTIVE_DATE|TRACS_OVERALL_EXPIRATION_DATE|TRACS_OVERALL_EXP_FISCAL_YEAR|TRACS_OVERALL_EXPIRE_QUARTER|TRACS_CURRENT_EXPIRATION_DATE|CONTRACT_TERM_MONTHS_QTY,0,17283,0.0
housing__fed_hud_public_housing_authorities,organization,noun,3787,2025-07-16 22:56:19,2026-08-07 20:20:14.677774,1.1,CLEAN,OPFUND_AMNT_PREV_YR|CAPFUND_AMNT_PREV_YR|SPENDING_PER_MONTH|SPENDING_PER_MONTH_PREV_YR|LAST_UPDT_DTTM|ANNL_EXPNS_AMNT_PREV_YR,0,0,0.0
housing__fed_mapping_inequality,crosswalk,link,1155,,,,UNMEASURED_CLOCK,YEAR_MAPPED,0,0,0.0
housing__fed_usda_rd_mfh_active_projects,place,noun,13550,1933-09-28,2098-03-01,164.4,CORRUPT_RANGE,DATE_TAX_CREDIT_EXPIRES|DATE_OF_OPERATION|DATE_RESTRICTIVE_CLAUSE_EXPIRES,36,6692,0.0
immigration__fed_cbp_encounters,measurement,event,9,,,,UNMEASURED_CLOCK,MONTHLY_TOTALS|DATA_AS_OF_DATE,0,0,0.0
immigration__fed_cms_hospice_enrollments,registration,event+noun,6066,1848-05-29,2024-09-14,176.3,CORRUPT_RANGE,INCORPORATION_DATE,6,0,0.0
immigration__fed_cms_medicare_fee_for_service_public_provider_enrollment,registration,event+noun,2978925,,,,NO_CLOCK,,0,0,0.0
immigration__fed_dhs_ohss,filing,event+noun,50740,,,,UNMEASURED_CLOCK,REPORT_MONTH|FISCAL_YEAR|CALENDAR_YEAR|NATIONWIDE_CBP_ENCOUNTERS_BY_ENCOUNTER_TYPE_AND_REGION__FISCAL_YEARS_2014_TO_2025_YTD__NOVEMBER_2024|CBP_SW_BORDER_ENCOUNTERS_BY_AGENCY_AND_SELECTED_CITIZENSHIP__FISCAL_YEARS_2014_TO_2025_YTD__NOVEMBER_2024|CBP_SW_BORDER_ENCOUNTERS_BY_AGENCY_AND_FAMILY_STATUS__FISCAL_YEARS_2014_TO_2025_YTD__NOVEMBER_2024,0,0,0.7724
immigration__fed_dhs_yearbook,unresolved,event,27,,,,UNMEASURED_CLOCK,FISCAL_YEAR|YEARBOOK_EDITION,0,0,0.0
immigration__fed_dol_oflc,unresolved,event,664616,2012-09-17,2023-12-31,11.3,CLEAN,DECISION_DATE|ORIGINAL_CERT_DATE|FULL_TIME_POSITION|PERIOD_OF_EMPLOYMENT_START_DATE|PERIOD_OF_EMPLOYMENT_END_DATE|PW_OES_YEAR_1,0,0,0.0
immigration__fed_eoir_case_data,case,event+noun,12631225,,,,NO_CLOCK,,0,0,0.0
immigration__fed_epa_sdwa_sdwa_service_areas,place,noun,422464,1995-07-22,2026-06-30,30.9,CLEAN,SUBMISSIONYEARQUARTER|FIRST_REPORTED_DATE|LAST_REPORTED_DATE,0,0,0.0
immigration__fed_ice_detainers,unresolved,event,609769,1919-07-12,56597796-07-20 23:29:38.000,,UNMEASURED_CLOCK,DETAINER_PREPARE_DATE|DEPARTED_DATE|BIRTH_YEAR|MSC_SENTENCE_MONTHS|MSC_SENTENCE_YEARS|MSC_CHARGE_DATE,27,609769,0.0
immigration__fed_ice_detention_facility_codes,code,code,1490,,,,NO_CLOCK,,0,0,0.0
immigration__fed_ice_detention_facility_list,facility,noun,163,,,,NO_CLOCK,,0,0,0.0
immigration__fed_ice_detention_stints,unresolved,event,2571975,1919-07-12,2027-02-01,107.6,CLEAN,STAY_BOOK_IN_DATE_TIME|BOOK_IN_DATE_TIME|BOOK_OUT_DATE_TIME|STAY_BOOK_OUT_DATE_TIME|STAY_BOOK_OUT_DATE|MSC_SENTENCE_MONTHS,13,0,0.0
immigration__fed_ice_statistics,aggregate,aggregate,221,2026-07-02,2026-07-02,0.0,LOAD_DATE_ONLY,FISCAL_YEAR|FISCAL_QUARTER|SNAPSHOT_DATE,0,0,0.0769
immigration__fed_uscis_data,unresolved,event,3204,,,,UNMEASURED_CLOCK,FISCAL_YEAR|QUARTER|AVG_PROCESSING_TIME_DAYS|PUBLICATION_DATE,0,0,0.9448
immigration__xc_owid_refugees,aggregate,aggregate,7442,,,,UNMEASURED_CLOCK,YEAR,0,0,0.0
investigations__intl_leiden_russian_ops_europe,action,event,153,,,,UNMEASURED_CLOCK,INCIDENTYEAR|INCIDENTMONTH|INCIDENTDATERANGE|INCIDENTDATESTART|INCIDENTDATEEND,0,0,0.0131
investigations__xc_wayback_replay_doj_deep_pages,document,noun,2542,2026-02-15 14:31:21,2026-06-12 21:09:19.866000,0.3,SHORT_SPAN,,0,0,0.0
investigations__xc_wayback_replay_doj_listing,measurement,event,24897,2025-12-19 21:13:27,2026-06-12 19:23:30.350000,0.5,SHORT_SPAN,,0,0,0.0
judiciary__fed_oyez,unresolved,event,25,1966-01-17,2026-07-30 12:09:56.922000-07:00,60.5,CLEAN,ARGUMENT_DATE|DECISION_DATE,0,0,0.0
justice__county_double_burden,place,noun,3029,,,,NO_CLOCK,,0,0,0.0
justice__fed_atf_ffl,unresolved,noun,77514,,,,NO_CLOCK,,0,0,0.0
justice__fed_cisa_kev,unresolved,event,1631,2021-11-03,2026-07-04,4.7,CLEAN,DATE_ADDED|DUE_DATE,0,0,0.0
justice__fed_consolidated_screening_list,registry,noun,25918,1974-11-17,2056-06-29,81.6,CORRUPT_RANGE,START_DATE|END_DATE|DATES_OF_BIRTH,0,129,0.0
justice__fed_courtlistener_citations,violation,event,18123788,2025-09-26,2026-06-30,0.8,SHORT_SPAN,DATE_CREATED|DATE_MODIFIED,0,0,0.0
justice__fed_courtlistener_court_appeals_to,case,event+noun,8,,,,NO_CLOCK,,0,0,0.0
justice__fed_courtlistener_courthouses,unresolved,noun,3361,,,,NO_CLOCK,,0,0,0.0
justice__fed_courtlistener_courts,unresolved,event,3361,1200-01-01,2026-06-12,826.4,CORRUPT_RANGE,DATE_LAST_PACER_CONTACT|DATE_MODIFIED|START_DATE|END_DATE,2,0,0.0
justice__fed_courtlistener_disclosure_agreements,filing,event+noun,10007,0001-05-01,2642-03-21,2640.8,CORRUPT_RANGE,DATE_CREATED|DATE_MODIFIED|DATE_RAW,6016,11,0.0
justice__fed_courtlistener_disclosure_debts,filing,event+noun,18775,2021-01-03,2025-02-05,4.1,CLEAN,DATE_CREATED|DATE_MODIFIED,0,0,0.0
justice__fed_courtlistener_disclosure_gifts,contribution,event,2025,2021-01-04,2023-08-31,2.7,CLEAN,DATE_CREATED|DATE_MODIFIED,0,0,0.0
justice__fed_courtlistener_disclosure_non_investment_income,filing,event+noun,15302,0001-11-07,2804-02-06,2802.2,CORRUPT_RANGE,DATE_CREATED|DATE_MODIFIED|DATE_RAW,11990,5,0.0
justice__fed_courtlistener_disclosure_positions,ownership,link,37050,2021-01-03,2023-08-31,2.7,CLEAN,DATE_CREATED|DATE_MODIFIED,0,0,0.0
justice__fed_courtlistener_disclosure_reimbursements,filing,event+noun,33472,0002-02-11,3201-04-14,3199.1,CORRUPT_RANGE,DATE_CREATED|DATE_MODIFIED|DATE_RAW,599,45,0.0
justice__fed_courtlistener_disclosure_spousal_income,filing,event+noun,20174,0001-01-17,2955-09-13,2954.6,CORRUPT_RANGE,DATE_CREATED|DATE_MODIFIED|DATE_RAW,17059,41,0.0
justice__fed_courtlistener_dockets,case,event+noun,71677647,1697-03-29,2026-06-30,329.2,CORRUPT_RANGE,DATE_CREATED|DATE_MODIFIED|DATE_LAST_INDEX|DATE_CERT_GRANTED|DATE_CERT_DENIED|DATE_ARGUED,624,0,0.0
justice__fed_courtlistener_financial_disclosures,filing,event+noun,66287,0009-03-24,2024-11-15,2015.6,CORRUPT_RANGE,DATE_CREATED|DATE_MODIFIED|YEAR,2007,0,0.0
justice__fed_courtlistener_fjc_idb_cl_linked,unresolved,event,10323280,1901-01-01,2031-01-01,130.0,CORRUPT_RANGE,DATE_CREATED|DATE_MODIFIED|DATE_FILED|DATE_TRANSFER|DATE_TERMINATED|YEAR_OF_TAPE,81,0,0.0
justice__fed_courtlistener_investments,unresolved,event,1901599,0001-01-03,2025-02-05,2024.0,CORRUPT_RANGE,DATE_CREATED|DATE_MODIFIED|INCOME_DURING_REPORTING_PERIOD_CODE|INCOME_DURING_REPORTING_PERIOD_TYPE|TRANSACTION_DURING_REPORTING_PERIOD|TRANSACTION_DATE_RAW,57860,0,0.0
justice__fed_courtlistener_judge_educations,person,noun,12777,2016-04-20,2023-11-08,7.6,CLEAN,DATE_CREATED|DATE_MODIFIED|DEGREE_YEAR,0,0,0.0
justice__fed_courtlistener_judge_political_affiliations,membership,link,8486,1798-04-11,2022-08-09,224.3,CORRUPT_RANGE,DATE_CREATED|DATE_MODIFIED|DATE_START|DATE_GRANULARITY_START|DATE_END|DATE_GRANULARITY_END,63,0,0.0
justice__fed_courtlistener_judge_races,person,noun,6542,,,,NO_CLOCK,,0,0,0.0
justice__fed_courtlistener_judges,person,noun,16191,0031-01-01,2026-06-24,1995.4,CORRUPT_RANGE,DATE_CREATED|DATE_MODIFIED|DATE_COMPLETED|DATE_DOB|DATE_GRANULARITY_DOB|DATE_DOD,59,0,0.0
justice__fed_courtlistener_opinion_clusters,case,event+noun,10070727,0019-01-31,2028-04-13,2009.2,CORRUPT_RANGE,DATE_CREATED|DATE_MODIFIED|DATE_FILED|DATE_FILED_IS_APPROXIMATE|OTHER_DATES|DATE_BLOCKED,49858,0,0.0
justice__fed_courtlistener_oral_arguments,unresolved,event,102649,2014-10-31,2026-06-26,11.7,CLEAN,DATE_CREATED|DATE_MODIFIED|DATE_BLOCKED,0,0,0.0
justice__fed_courtlistener_originating_court_info,unresolved,event,973419,1020-06-01,3036-03-30,2015.8,CORRUPT_RANGE,DATE_CREATED|DATE_MODIFIED|DATE_DISPOSED|DATE_FILED|DATE_JUDGMENT|DATE_JUDGMENT_EOD,1,8,0.0
justice__fed_courtlistener_parentheticals,unresolved,link,6408887,,,,NO_CLOCK,,0,0,0.0
justice__fed_courtlistener_positions,ownership,link,51290,0022-01-01,2916-01-01,2893.9,CORRUPT_RANGE,DATE_CREATED|DATE_MODIFIED|DATE_NOMINATED|DATE_ELECTED|DATE_RECESS_APPOINTMENT|DATE_REFERRED_TO_JUDICIAL_COMMITTEE,1053,113,0.0
justice__fed_courtlistener_race_codes,code,code,8,,,,NO_CLOCK,,0,0,0.0
justice__fed_courtlistener_schools,organization,noun,6011,2010-06-08,2025-06-16,15.0,CLEAN,DATE_CREATED|DATE_MODIFIED,0,0,0.0
justice__fed_doj_fca_settlements,enforcement,event,12,,,,UNMEASURED_CLOCK,SETTLEMENT_DATE|FISCAL_YEAR,0,0,0.0
justice__fed_fbi_cde,unresolved,event,238680,1985-01-01,2026-08-09 19:04:37.430423,41.6,CLEAN,MONTH,0,0,0.0
justice__fed_fbi_nics_checks,unresolved,event,16445,,,,UNMEASURED_CLOCK,MONTH,0,0,0.0
justice__fed_fhfa_suspended_counterparties,unresolved,event,222,2013-04-15,2033-03-08,19.9,CORRUPT_RANGE,EFFECTIVE_DATE|SUSPENSION_END_DATE,0,13,0.0
justice__fed_fjc_idb_appellate,unresolved,event,988183,1900-01-01,2026-03-31,126.2,CLEAN,DKTDATE|DDKTDATE|APPDATE|TRANSDATE|CRECDATE|SUBDATE,11,0,0.0
justice__fed_fjc_idb_bankruptcy,unresolved,event,6965441,1923-08-25,2026-04-15,102.6,CLEAN,FILEDATE,6,0,0.0
justice__fed_fjc_idb_civil,unresolved,event,10857396,1900-01-01,2045-05-21,145.4,CORRUPT_RANGE,FILEDATE|FDATEUSE|TERMDATE|TDATEUSE|TAPEYEAR,23,3,0.0
justice__fed_fjc_idb_criminal,unresolved,event,6299908,1900-01-01,2026-04-21,126.3,CLEAN,FISCALYR|FGSTRTDATE|FGENDDATE|FILEDATE|PROCDATE|APPDATE,6731,0,0.0
justice__fed_ftc_datasets,dataset,noun,1200,2021-07-28,2026-07-07,4.9,CLEAN,DATE_FILED,0,0,0.1633
justice__fed_jpml_pending_mdls,unresolved,link,162,,,,NO_CLOCK,,0,0,0.0
justice__fed_ofac_sdn,organization,noun,19115,2026-06-25 21:55:21.291621,2026-06-25 21:55:21.291621,0.0,LOAD_DATE_ONLY,,0,0,0.0
justice__fed_scdb,vote,event,83644,1944-10-08,2025-06-30,80.7,CLEAN,DATEDECISION|DATEARGUMENT|DATEREARG,2245,0,0.0
justice__fed_uscourts_stats,aggregate,aggregate,50,,,,UNMEASURED_CLOCK,REPORTING_PERIOD,0,0,0.0
justice__intl_austlii,unresolved,event,1,,,,UNMEASURED_CLOCK,DECISION_DATE,0,0,0.0
justice__intl_eu_sanctions,unresolved,event,42347,1925-01-25,2026-05-06,101.3,CLEAN,DATE_FILE|LEBA_PUBLICATION_DATE|NAAL_LEBA_PUBLICATION_DATE|ADDR_LEBA_PUBLICATION_DATE|BIRT_LEBA_PUBLICATION_DATE|BIRT_DATE,102,0,0.0
justice__intl_eu_socta_europol,unresolved,event,26,2025-03-18,2025-05-27,0.2,SHORT_SPAN,PUBLISH_DATE|UPDATE_DATE|REPORT_YEAR,0,0,0.0
justice__intl_eurlex_cellar,unresolved,event,53,1987-01-28,2026-03-26,39.2,CLEAN,DATE_PUBLISHED|DATE_OF_DOCUMENT,0,0,0.0
justice__intl_hudoc,unresolved,event,2000,,,,UNMEASURED_CLOCK,DATE,0,0,0.0
justice__intl_nti_cns_dprk_missile_tests,measurement,event,303,2016-12-23,2024-11-18,7.9,CLEAN,DATE|DATE_ENTERED_UPDATED|LAUNCH_TIME_UTC,0,0,0.0
justice__intl_opensanctions,unresolved,event,71011,1921-05-06,2022-06-08,101.1,CLEAN,BIRTH_DATE,628,0,0.0
justice__intl_opensanctions_default,unresolved,event,1281846,2018-03-08 00:00:00.000,56596957-10-21 08:27:05.000,,UNMEASURED_CLOCK,BIRTH_DATE,0,1281846,0.0
justice__intl_ucdp_ged,unresolved,event,385918,1970-01-01,2055-12-31,86.0,CORRUPT_RANGE,YEAR|ACTIVE_YEAR|SOURCE_DATE|DATE_PREC|DATE_START|DATE_END,385918,13,0.0
justice__racial_jail_disparity,unresolved,event,128507,2026-06-28 03:21:23.476104,2026-06-28 03:21:23.476104,0.0,LOAD_DATE_ONLY,,0,0,0.0
justice__state_mo_sex_offender_registry,registry,noun,28185,1926-04-17,2026-08-06 04:51:21.325086,100.3,CLEAN,DATE_OF_BIRTH,771,0,0.0
justice__xc_mapping_police_violence,crosswalk,link,15476,2013-01-01,2026-07-22,13.6,CLEAN,DATE_OF_INCIDENT_MONTH_DAY_YEAR|TOTAL_POPULATION_OF_CENSUS_TRACT_2019_ACS_5_YEAR_ESTIMATES,0,0,0.0
justice__xc_nagix_dprk_missile_tests,measurement,event,340,,,,UNMEASURED_CLOCK,DATE|TIME,0,0,0.0
justice__xc_owid_homicide,aggregate,aggregate,4912,,,,UNMEASURED_CLOCK,YEAR,0,0,0.0
justice__xc_owid_nuclear_warheads,aggregate,aggregate,902,,,,UNMEASURED_CLOCK,YEAR,0,0,0.0
justice__xc_owid_terrorism_deaths,aggregate,aggregate,10481,,,,UNMEASURED_CLOCK,YEAR,0,0,0.0
justice__xc_ransomwarelive_victims,unresolved,noun,30661,,,,NO_CLOCK,,0,0,0.0
justice__xc_uk_sanctions_list,registry,noun,33828,2000-04-12,2026-08-05 21:29:47.929,26.3,CLEAN,LAST_UPDATED|DATE_DESIGNATED|YEAR_BUILT,0,0,0.0021
justice__xc_un_consolidated_sanctions_list,organization,noun,1011,2000-04-12,2026-07-22,26.3,CLEAN,LAST_DAY_UPDATED|INDIVIDUAL_DATE_OF_BIRTH,0,0,0.0
justice__xc_vera_incarceration_trends,measurement,event,128507,,,,UNMEASURED_CLOCK,YEAR,0,0,0.0
justice__xc_wapo_fatal_force,measurement,event,10430,2015-01-02,2024-12-31,10.0,CLEAN,DATE,0,0,0.0
labor__fed_dol_ebsa_form5500_schedule_sb,filing,event+noun,41802,1956-09-26,2055-09-17,99.0,CORRUPT_RANGE,SB_PLAN_YEAR_BEGIN_DATE|SB_VALUE_DATE|SB_SIGNATURE_DATE|SB_APPLICABLE_MONTH_CD|SB_WVR_APPROVED_LTR_DATE|SB_ELIGIBLE_PLAN_YEAR_1_IND,0,1,0.0
labor__fed_dol_olms,asset,noun,617710,0003-11-08,9999-01-01,9994.9,CORRUPT_RANGE,EST_DATE|TERM_DATE|REGISTER_DATE|HAS_LIQUIDATED_LIABILITIES|HAS_LIQUIDATED_RECEIVABLES|RECEIVE_DATE,589063,28,0.0
labor__fed_msha_accidents,accident,event,273623,2000-01-01,2026-07-24 00:47:40,26.6,CLEAN,ACCIDENT_DT|CAL_YR|CAL_QTR|FISCAL_YR|FISCAL_QTR|ACCIDENT_TIME,0,0,0.0
labor__fed_msha_mines,facility,noun,91906,1925-01-01,2026-07-24 00:48:11,101.6,CLEAN,CURRENT_STATUS_DT|CURRENT_CONTROLLER_BEGIN_DT|CURRENT_103I_DT|DAYS_PER_WEEK,100,0,0.0
labor__fed_msha_violations,violation,event,3087265,1994-09-09,2026-07-24 00:46:22,31.9,CLEAN,INSPECTION_BEGIN_DT|INSPECTION_END_DT|VIOLATION_ISSUE_DT|VIOLATION_OCCUR_DT|CAL_YR|CAL_QTR,0,0,0.0
labor__fed_osha_ita_300a_summary_2023,aggregate,aggregate,394234,2024-01-01 00:00:00,2024-12-31 00:00:00,1.0,CLEAN,NAICS_YEAR|CREATED_TIMESTAMP|YEAR_FILING_FOR,0,0,0.0
labor__fed_osha_ita_300a_summary_2024,aggregate,aggregate,398620,2025-01-01 00:00:00,2025-12-31 00:00:00,1.0,CLEAN,NAICS_YEAR|CREATED_TIMESTAMP|YEAR_FILING_FOR,0,0,0.0
labor__fed_osha_ita_300a_summary_2025,aggregate,aggregate,383283,2026-01-01 00:00:00,2026-03-15 00:00:00,0.2,SHORT_SPAN,NAICS_YEAR|CREATED_TIMESTAMP|YEAR_FILING_FOR,0,0,0.0
labor__fed_osha_ita_case_detail_2023,case,event+noun,890934,2022-02-26,2024-12-12,2.8,CLEAN,NAICS_YEAR|DATE_OF_INCIDENT|TIME_STARTED_WORK|TIME_OF_INCIDENT|TIME_UNKNOWN|DATE_OF_DEATH,0,0,0.0
labor__fed_osha_ita_case_detail_2024,case,event+noun,688649,,,,UNMEASURED_CLOCK,NAICS_YEAR|DATE_OF_INCIDENT|TIME_STARTED_WORK|TIME_OF_INCIDENT|TIME_UNKNOWN|DATE_OF_DEATH,0,0,0.0
labor__fed_osha_ita_case_detail_2025,case,event+noun,330447,2024-01-01,2025-12-31,2.0,CLEAN,NAICS_YEAR|DATE_OF_INCIDENT|TIME_STARTED_WORK|TIME_OF_INCIDENT|TIME_UNKNOWN|DATE_OF_DEATH,0,0,0.0
labor__fed_pbgc_trusteed_plans,case,event+noun,5176,1972-04-01,2026-08-06 04:52:42.871859,54.3,CLEAN,DATE_OF_PLAN_TERMINATION|DATE_OF_PBGC_TRUSTEESHIP|NUMBER_OF_PARICIPANTS_AT_DATE_OF_PLAN_TERMINATION,0,0,0.0
lead_queue,unresolved,event,17306,1995-12-20,2026-08-05 21:08:43.619000,30.6,CLEAN,ACTIVITY_MIN_DATE|ACTIVITY_MAX_DATE|EXCL_DATE|LEAD_AS_OF_DATE,0,0,0.0
legal_enforcement__fed_naag_multistate_settlements,action,event,882,,,,UNMEASURED_CLOCK,YEAR|DATERESOLVED|DATE_ENTRY_CREATED|DATE_ENTRY_UPDATED|CORPORATEHEADQUARTERS|DATE_FILED,0,0,0.0
maritime__fed_noaa_ais,unresolved,event,58104610,2024-01-01,2026-06-28 17:54:17.037886,2.5,CLEAN,BASEDATETIME|DATE,0,0,0.0
money__debt_repayment_cliff,unresolved,event,938,,,,NO_CLOCK,,0,0,0.0
open_data__intl_ar_datosgob,unresolved,event,3556,,,,UNMEASURED_CLOCK,SERIE_DATE,0,0,0.0014
open_data__intl_br_dados_gov,unresolved,event,10,,,,UNMEASURED_CLOCK,LAST_UPDATED,0,0,0.0
open_data__intl_ca_open_canada,unresolved,event,500,,,,UNMEASURED_CLOCK,DATE_PUBLISHED|TIME_PERIOD_COVERAGE_START|TIME_PERIOD_COVERAGE_END,0,0,0.0
open_data__intl_ch_opendataswiss,unresolved,event,5000,,,,UNMEASURED_CLOCK,ACCRUAL_PERIODICITY,0,0,0.0
open_data__intl_cl_datosgob,unresolved,event,1000,,,,NO_CLOCK,,0,0,0.0
open_data__intl_de_govdata,unresolved,event,5000,,,,NO_CLOCK,,0,0,0.0
