COMPANY_NAME,EIN,CIK,SIC,LATEST_FY,ESTABLISHMENTS,EMPLOYEES,HOURS,TOTAL_CASES,DEATHS,INJURY_RATE_PER_100_FTE,SEC_FILINGS,INSIDER_FILINGS,FORM4_FILINGS,LATEST_INSIDER_FILING
"LAMB WESTON HOLDINGS, INC.",611797411,1679273,2030,2025,5,1218,1332968,1,0,0.15,9,9,8,2026-02-06
ITC HOLDINGS CORP.,320058047,1317630,4911,2024,17,784,1342124,1,0,0.15,8,0,0,
HONEYWELL INTERNATIONAL INC,222640650,773840,3724,2024,28,13329,27907568,20,0,0.14,9,48,47,2026-03-03
"TRAVELERS COMPANIES, INC.",410518860,86312,6331,2024,1,2283,4339299,3,0,0.14,8,49,49,2026-02-27
"WILLIAMS COMPANIES, INC.",730569878,107263,4922,2024,2,1369,2846798,2,0,0.14,8,41,39,2026-03-17
ENTERGY CORP /DE/,721229752,65984,4911,2024,2,435,1480813,1,0,0.14,8,96,96,2026-03-04
WORLD KINECT CORP,592459427,789460,5172,2024,1,757,1482978,1,0,0.13,8,8,8,2026-03-31
"TRINET GROUP, INC.",953359658,937098,7389,2024,5,3228,6068078,4,0,0.13,8,25,25,2026-03-24
APACHE CORP,410747868,6769,1311,2024,1,1524,3308763,2,0,0.12,8,0,0,
ROBERT HALF INC.,941648752,315213,7363,2024,1,951,1639403,1,0,0.12,8,7,7,2026-03-25
"MOTOROLA SOLUTIONS, INC.",361115800,68505,3663,2024,34,5458,11351422,6,0,0.11,8,39,37,2026-03-16
HILTON GRAND VACATIONS INC.,812545345,1674168,7000,2024,40,3131,144132031,81,0,0.11,8,23,23,2026-03-12
KFORCE INC,593264661,930420,7363,2024,31,1727,3492697,2,0,0.11,8,17,17,2026-03-24
CORVEL CORP,330282651,874866,6411,2024,65,5105,5311769,3,0,0.11,8,11,10,2026-03-17
"NRG ENERGY, INC.",411724239,1013871,4911,2024,13,4021,8153260,4,0,0.10,8,32,29,2026-03-17
NORDSON CORP,340590250,72331,3569,2024,5,1103,2230780,1,0,0.09,8,13,13,2026-03-02
SEI INVESTMENTS CO,231707341,350894,6211,2024,1,4229,8793152,4,0,0.09,8,5,5,2026-03-19
"ZILLOW GROUP, INC.",471645716,1617640,7389,2024,1,6515,10987074,5,0,0.09,8,35,34,2026-03-26
ALBEMARLE CORP,541692118,915913,2821,2024,4,1242,2498661,1,0,0.08,8,35,32,2026-03-12
"ROCKWELL AUTOMATION, INC",251797617,1024478,3829,2024,3,3533,7205305,3,0,0.08,8,11,11,2026-03-03
HP INC,941081436,47217,3570,2024,16,8862,17741977,7,0,0.08,9,9,9,2026-03-27
"GENERAL MOTORS FINANCIAL COMPANY, INC.",752291093,804269,6199,2024,28,6986,32823457,8,0,0.05,8,0,0,
NETFLIX INC,770467272,1065280,7841,2024,13,111872,202860740,35,0,0.03,8,60,60,2026-03-03
"RINGCENTRAL, INC.",943322844,1384905,7374,2024,1,2424,12755760,1,0,0.02,8,28,27,2026-03-27
COMFORT SYSTEMS USA INC,760526487,1035983,1731,2024,1,192,384000,0,0,0.00,8,16,15,2026-03-25
"NEUMORA THERAPEUTICS, INC.",844367680,1885522,2836,2024,1,41,82064,0,0,0.00,5,9,9,2026-02-19
BERKSHIRE HATHAWAY ENERGY CO,942213782,1081316,4900,2024,1,21,42693,0,0,0.00,8,0,0,
TOPBUILD CORP,473096382,1633931,1700,2024,2,562,1125850,0,0,0.00,8,8,8,2026-02-18
"DOORDASH, INC.",462852392,1792789,7389,2024,1,27588,55176000,1,0,0.00,8,31,30,2026-03-27
TRIMAS CORP,382687639,842633,3460,2024,1,83,173042,0,0,0.00,8,18,18,2026-03-23
PEOPLES BANCORP OF NORTH CAROLINA INC,562132396,1093672,6022,2024,1,295,586995,0,0,0.00,8,13,10,2026-03-04
ROLLINS INC,510068479,84839,7340,2024,2,84,205210,0,0,0.00,8,30,30,2026-02-26
"AVANOS MEDICAL, INC.",464987888,1606498,3842,2024,2,1452,2367973,0,0,0.00,8,8,8,2026-03-17
"DT MIDSTREAM, INC.",382663964,1842022,4922,2024,9,354,700548,0,0,0.00,8,22,22,2026-03-09
EQT CORP,250464690,33213,1311,2024,1,668,1138245,0,0,0.00,8,40,40,2026-03-18
RLI CORP,370889946,84246,6331,2024,21,1267,2174858,0,0,0.00,8,10,9,2026-02-03
"NUWELLIS, INC.",680533453,1506492,3845,2024,1,40,83000,0,0,0.00,11,5,0,2026-03-18
"GXO LOGISTICS, INC.",862098312,1852244,4700,2024,1,18,37231,0,0,0.00,8,23,21,2026-03-10
"HELMERICH & PAYNE, INC.",730679879,46765,1381,2024,1,1492,1697920,0,0,0.00,8,16,16,2026-03-23
"SHOCKWAVE MEDICAL, INC.",270494101,1642545,3841,2024,1,58,122653,0,0,0.00,6,0,0,
DYCOM INDUSTRIES INC,591277135,67215,1623,2025,1,468,1063075,0,0,0.00,8,19,18,2026-03-31
"WRAP TECHNOLOGIES, INC.",980551945,1702924,3480,2024,1,34,53055,0,0,0.00,8,17,17,2026-03-06
MERITAGE HOMES CORP,860611231,833079,1531,2024,1,25,50000,0,0,0.00,8,33,32,2026-03-25
LOVESAC CO,320514958,1701758,5712,2025,1,374,762324,0,0,0.00,12,4,4,2026-03-20
OGLETHORPE POWER CORP,581211925,788816,4911,2024,5,316,616106,0,0,0.00,10,0,0,
GERON CORP,752287752,886744,2834,2024,2,219,380012,0,0,0.00,8,7,5,2026-03-26
CARDIOVASCULAR SYSTEMS INC,411698056,1180145,3841,2023,2,274,564736,0,0,0.00,1,0,0,
OTTER TAIL CORP,270383995,1466593,4911,2024,1,14,27507,0,0,0.00,8,14,12,2026-02-12
"TRI-STATE GENERATION & TRANSMISSION ASSOCIATION, INC.",840464189,1637880,4911,2024,4,137,262160,0,0,0.00,8,0,0,
MANITOWOC CO INC,390448110,61986,3531,2024,1,38,80953,0,0,0.00,8,26,24,2026-03-03
"APPLIED OPTOELECTRONICS, INC.",760533927,1158114,3674,2024,1,372,773760,0,0,0.00,8,24,24,2026-03-23
"UPHEALTH, INC.",833838045,1770141,8000,2024,1,12,23040,0,0,0.00,7,0,0,
"COURSERA, INC.",453560292,1651562,7372,2024,1,530,1102400,0,0,0.00,8,9,9,2026-03-31
"B&G FOODS, INC.",133918742,1278027,2000,2024,1,78,127434,0,0,0.00,8,23,22,2026-03-27
LITTELFUSE INC /DE,363795742,889331,3613,2024,1,38,79276,0,0,0.00,8,28,27,2026-03-16
BOYD GAMING CORP,880242733,906553,7011,2024,1,756,1564139,0,0,0.00,8,18,16,2026-03-05
"UPEXI, INC.",833378978,1775194,2833,2025,1,16,34542,0,0,0.00,9,0,0,
INTERNATIONAL ISOTOPES INC,742763837,1038277,3823,2024,1,43,67313,0,0,0.00,8,0,0,
PARK OHIO INDUSTRIES INC/OH,346520107,1068148,3460,2024,1,45,93600,0,0,0.00,8,0,0,
"HONEST COMPANY, INC.",900750205,1530979,5961,2024,1,167,352415,0,0,0.00,8,21,21,2026-03-10
"CENTURY THERAPEUTICS, INC.",842040295,1850119,2836,2024,4,215,412850,0,0,0.00,8,14,14,2026-03-16
MATRIX SERVICE CO,731352174,866273,1700,2025,2,462,961764,0,0,0.00,8,1,1,2026-02-19
ELECTRO SENSORS INC,410943459,351789,3823,2024,1,39,70886,0,0,0.00,8,1,1,2026-02-18
HEALTHSTREAM INC,621443555,1095565,7370,2024,2,1145,2378363,0,0,0.00,8,26,23,2026-03-31
"QUANTA SERVICES, INC.",742851603,1050915,1731,2024,1,483,986644,0,0,0.00,8,18,18,2026-03-11
VERTEX ENERGY INC.,943439569,890447,2911,2024,1,36,71464,0,0,0.00,7,0,0,
VAPOTHERM INC,462259298,1253176,3841,2024,1,153,270000,0,0,0.00,7,0,0,
"MUELLER WATER PRODUCTS, INC.",203547095,1350593,3490,2024,1,158,319895,0,0,0.00,8,18,16,2026-03-17
"CORNERSTONE BUILDING BRANDS, INC.",760127701,883902,3448,2024,1,67,173089,0,0,0.00,8,0,0,
HUMANA INC,610647538,49071,6324,2024,1,23,46000,0,0,0.00,8,21,20,2026-02-26
"SOCKET MOBILE, INC.",943155066,944075,3571,2024,1,49,100000,0,0,0.00,8,13,13,2026-03-30
PHILLIPS 66,453779385,1534701,2911,2024,9,235,486880,0,0,0.00,8,37,35,2026-03-17
PARK OHIO HOLDINGS CORP,346520107,76282,3460,2024,1,45,93600,0,0,0.00,8,6,6,2026-03-18
EXPION360 INC.,812701049,1894954,3690,2024,1,23,12555,0,0,0.00,11,0,0,
HEICO CORP,650341002,46619,3724,2024,1,80,131272,0,0,0.00,8,2,1,2026-03-05
WESTLAKE CHEMICAL PARTNERS LP,320436529,1604665,2860,2024,1,62,175964,0,0,0.00,8,0,0,
"ASCENT SOLAR TECHNOLOGIES, INC.",203672603,1350102,3674,2024,1,20,39000,0,0,0.00,15,1,1,2026-01-07
APYX MEDICAL CORP,112644611,719135,3841,2024,1,117,243360,0,0,0.00,8,2,2,2026-03-17
SILICON LABORATORIES INC.,742793174,1038074,3674,2024,1,540,1123200,0,0,0.00,8,6,6,2026-02-17
OLD DOMINION ELECTRIC COOPERATIVE,237048405,885568,4911,2024,2,120,245003,0,0,0.00,8,0,0,
SEMPRA,330732627,1032208,4932,2024,15,1055,1970825,0,0,0.00,8,41,41,2026-03-20
"SERA PROGNOSTICS, INC.",261911522,1534969,8071,2024,1,64,124884,0,0,0.00,8,20,20,2026-03-13
ARCBEST CORP /DE/,710673405,894405,4213,2024,8,1288,2442999,0,0,0.00,8,5,1,2026-02-10
"MAGELLAN MIDSTREAM PARTNERS, L.P.",731599053,1126975,4610,2023,2,308,616013,0,0,0.00,3,0,0,
"GLOBALSTAR, INC.",412116508,1366868,4899,2024,1,275,514800,0,0,0.00,8,16,16,2026-03-19
"EARGO, INC.",273879804,1719395,3842,2023,2,184,384504,0,0,0.00,4,0,0,
DENALI THERAPEUTICS INC.,463872213,1714899,2836,2024,1,595,780549,0,0,0.00,8,4,4,2026-01-08
COLUMBUS MCKINNON CORP,160547600,1005229,3531,2025,1,92,188260,0,0,0.00,8,26,19,2026-03-03
FEMASYS INC,113713499,1339005,3841,2024,1,57,124229,0,0,0.00,9,12,10,2026-03-27
EMCORE CORP,222746503,808326,3674,2024,1,140,418080,0,0,0.00,7,0,0,
"CIRRUS LOGIC, INC.",770024818,772406,3674,2025,4,768,1536000,0,0,0.00,8,14,14,2026-03-09
DOW INC.,301128146,1751788,2821,2024,1,88,167291,0,0,0.00,8,29,28,2026-03-02
SOLITRON DEVICES INC,221684144,91668,3674,2025,1,45,90647,0,0,0.00,8,1,1,2026-03-12
AXALTA COATING SYSTEMS LTD.,981073028,1616862,2851,2024,1,42,88704,0,0,0.00,8,23,23,2026-03-05
QUANTUM CORP /DE/,942665054,709283,3572,2025,5,389,608518,0,0,0.00,8,10,9,2026-03-04
CASS INFORMATION SYSTEMS INC,431265338,708781,7389,2024,5,1185,2173897,0,0,0.00,8,17,16,2026-03-30
AAR CORP,362334820,1750,3720,2025,1,476,936335,0,0,0.00,7,16,15,2026-03-30
NATIONAL BEVERAGE CORP,592605822,69891,2086,2025,1,80,160000,0,0,0.00,8,0,0,
SMITH A O CORP,390619790,91142,3630,2024,1,55,114400,0,0,0.00,8,28,27,2026-03-04
DENTSPLY SIRONA INC.,391434669,818479,3843,2024,1,56,116111,0,0,0.00,9,38,34,2026-03-12
NN INC,621096725,918541,3540,2024,1,24,44025,0,0,0.00,8,10,9,2026-03-20
SONO TEK CORP,141568099,806172,3559,2025,1,70,100000,0,0,0.00,9,2,1,2026-03-26
"CONSTELLATION BRANDS, INC.",160716709,16918,2080,2025,1,11,66715,0,0,0.00,8,2,1,2026-03-02
STARBUCKS CORP,911325671,829224,5810,2024,2,32,56914,0,0,0.00,8,16,16,2026-03-27
BOISE CASCADE CO,201496201,1328581,5030,2024,1,67,121131,0,0,0.00,8,22,16,2026-03-13
DIXIE GROUP INC,620183370,29332,2273,2024,1,63,160744,0,0,0.00,8,5,5,2026-03-13
"TPI COMPOSITES, INC",201590775,1455684,3510,2024,1,41,63698,0,0,0.00,8,0,0,
PERASO INC.,770291941,890394,3674,2024,1,12,24960,0,0,0.00,10,9,8,2026-02-10
LIVENT CORP.,824688610,1742924,2800,2023,1,273,572000,0,0,0.00,4,0,0,
BALL CORP,350160610,9389,3411,2024,2,1030,2081955,0,0,0.00,8,33,33,2026-03-05
"ARCOSA, INC.",825339416,1739445,3440,2024,1,30,61891,0,0,0.00,8,15,15,2026-03-17
VIAD CORP,361169950,884219,7389,2024,1,34,71668,0,0,0.00,9,13,13,2026-03-03
TELOS CORP,520880974,320121,7373,2024,1,590,1059633,0,0,0.00,8,15,15,2026-03-20
"MONTROSE ENVIRONMENTAL GROUP, INC.",464195044,1643615,8742,2024,1,22,36359,0,0,0.00,8,17,15,2026-03-16
UNISYS CORP,380387840,746838,7373,2024,2,153,306000,0,0,0.00,8,28,28,2026-03-02
"HERON THERAPEUTICS, INC. /DE/",942875566,818033,2834,2024,1,119,235305,0,0,0.00,8,16,16,2026-02-03
"OCEAN POWER TECHNOLOGIES, INC.",222535818,1378140,4911,2025,1,48,83681,0,0,0.00,8,22,20,2026-03-06
INVENTRUST PROPERTIES CORP.,342019608,1307748,6798,2024,7,103,198253,0,0,0.00,8,20,20,2026-03-11
EMERSON ELECTRIC CO,430259330,32604,3600,2024,1,217,459985,0,0,0.00,8,18,18,2026-03-12
PULTEGROUP INC/MI/,382766606,822416,1531,2024,2,47,60991,0,0,0.00,8,18,17,2026-02-24
KEY TRONIC CORP,910849125,719733,3672,2025,2,238,430694,0,0,0.00,8,0,0,
HOLLY ENERGY PARTNERS LP,200833098,1283140,4610,2023,2,195,388848,0,0,0.00,4,0,0,
BLONDER TONGUE LABORATORIES INC,521611421,1000683,3663,2022,1,52,80799,0,0,0.00,1,0,0,
SP PLUS CORP,161171179,1059262,7510,2024,1,22,34606,0,0,0.00,6,0,0,
WD 40 CO,951797918,105132,2890,2024,1,267,502329,0,0,0.00,8,3,2,2026-02-19
"MAXLINEAR, INC",141896129,1288469,3674,2024,3,317,497255,0,0,0.00,8,8,7,2026-03-06
PLEXUS CORP,391344447,785786,3672,2024,1,443,845705,0,0,0.00,8,46,46,2026-03-19
CELANESE CORP,980420726,1306830,2820,2024,1,320,80012400,1,0,0.00,8,17,17,2026-03-11
"PENN ENTERTAINMENT, INC.",232234473,921738,7011,2024,1,634,1273273,0,0,0.00,8,21,18,2026-03-11
BALCHEM CORP,132578432,9326,2800,2024,6,191,400465,0,0,0.00,8,24,24,2026-02-13
"PULSE BIOSCIENCES, INC.",465696597,1625101,3841,2024,1,64,126928,0,0,0.00,8,5,4,2026-02-23
