schema,table,rows,description
JUSTICE,JUSTICE__INTL_HUDOC,2000,"European Court of Human Rights case rulings, one row per case, with the country involved, the judgment date, which articles of the human rights convention were at issue, and whether a violation was found."
JUSTICE,JUSTICE__INTL_NTI_CNS_DPRK_MISSILE_TESTS,303,"North Korean missile test records tracked by the Nuclear Threat Initiative, one row per test, with the missile type, launch site, launch agency, and outcome."
JUSTICE,JUSTICE__INTL_OPENSANCTIONS,71011,"Global watchlist entries from OpenSanctions, one row per flagged person or company, with names, aliases, birth date, countries, addresses, and which sanctions program flagged them — drawn from one specific source dataset."
JUSTICE,JUSTICE__INTL_OPENSANCTIONS_DEFAULT,1281846,"OpenSanctions' full worldwide combined watchlist of over a million sanctioned or politically exposed people, companies, ships, planes, and crypto wallets, deduplicated to one row per target."
JUSTICE,JUSTICE__INTL_UCDP_GED,385918,"The Uppsala Conflict Data Program's record of individual violent events in wars and conflicts worldwide, one row per event, with the location, date, who fought, and estimated death toll."
JUSTICE,JUSTICE__INTL_UK_SANCTIONS_LIST,58336,"The UK government's official financial sanctions list, one row per name or entity record, with people, companies, and ships banned from UK financial dealings, their sanctions regime, address, and (for ships) vessel details."
JUSTICE,JUSTICE__RACIAL_JAIL_DISPARITY,128507,"County-by-year comparison of jail incarceration rates between Black, white, and Latino residents, one row per county-year, built to show the size of the racial gap in each county over time."
JUSTICE,JUSTICE__STATE_MO_SEX_OFFENDER_REGISTRY,28167,"Missouri's public sex offender registry, one row per registrant-offense, with name, address, county, offense, compliance status, and registration tier, as published by the Missouri State Highway Patrol."
JUSTICE,JUSTICE__XC_MAPPING_POLICE_VIOLENCE,15476,"A combined tracker of people killed by police in the US, one row per death, with the victim's name, age, race, what happened, whether officers were charged, and neighborhood demographics where it occurred."
JUSTICE,JUSTICE__XC_NAGIX_DPRK_MISSILE_TESTS,340,"Another tracker of North Korean missile tests, one row per launch, with the missile name, launch facility, flight distance, and outcome."
JUSTICE,JUSTICE__XC_OWID_HOMICIDE,4912,"Our World in Data's homicide rate by country and year, one row per country-year."
JUSTICE,JUSTICE__XC_OWID_NUCLEAR_WARHEADS,902,"Our World in Data's count of nuclear warheads held by each country, one row per country-year."
JUSTICE,JUSTICE__XC_OWID_TERRORISM_DEATHS,10481,"Our World in Data's count of deaths from terrorism by country and year, one row per country-year."
JUSTICE,JUSTICE__XC_RANSOMWARELIVE_VICTIMS,30661,"Organizations that ransomware gangs have publicly claimed as victims, one row per claimed victim, tracked from ransomware leak-site posts, with the gang's name, the victim's website, and country."
JUSTICE,JUSTICE__XC_UK_SANCTIONS_LIST,33828,"The UK's consolidated financial sanctions list, one row per name variant, with people, companies, and ships under UK sanctions, their sanctions regime, and designation date."
JUSTICE,JUSTICE__XC_UN_CONSOLIDATED_SANCTIONS_LIST,1011,"The United Nations Security Council's consolidated sanctions list, one row per designated person or organization, with names, nationality, and the date they were listed."
JUSTICE,JUSTICE__XC_VERA_INCARCERATION_TRENDS,128507,"The Vera Institute's county-by-year jail and prison population figures broken down by race and gender, one row per county-year, covering population counts, admissions, discharges, and rates over time."
JUSTICE,JUSTICE__XC_WAPO_FATAL_FORCE,10430,"The Washington Post's database of people fatally shot by police, one row per shooting, with the victim's name, age, race, location, and circumstances like whether they were armed or a body camera was present."
FINANCE,FINANCE__FED_CFTC_COT_FINANCIAL_HIST,4615,"Weekly snapshot of who is betting long or short in financial futures markets (currencies, interest rates, stock indexes) - broken out by dealer banks, asset managers, hedge funds, and other big traders, from the CFTC's Commitment of Traders report."
FINANCE,FINANCE__FED_EPA_ICIS_FEC_CASE_ENFORCEMENT_CONCLUSION_FACILITIES,150866,"EPA enforcement case conclusions matched to the facilities involved - case numbers linked to the plant or site name, city, state, and zip where the violation happened."
FINANCE,FINANCE__FED_EPA_ICIS_FEC_CASE_FACILITIES,204019,"EPA enforcement case records linked to facilities - case number, facility name and street address, plus its industry classification codes."
FINANCE,FINANCE__FED_EPA_ICIS_FEC_EPA_INFORMAL_ENFORCEMENT_ACTIONS,21930,"EPA informal enforcement actions (warnings or notices short of a full legal case) - which agency issued it, the action type, the law violated, and the date it was resolved."
FINANCE,FINANCE__FED_EPA_ICIS_FEC_ICIS_FEC_EPA_INSPECTIONS,260556,"EPA facility inspection records - which site was inspected, under what environmental law, by which agency, and the inspection's start and end dates."
FINANCE,FINANCE__FED_FATCA_FFI,516298,"List of foreign banks, funds, and financial institutions registered with the IRS for FATCA foreign-account tax reporting, with each one's ID number and country."
FINANCE,FINANCE__FED_FDIC_BANK_DATA,27836,"A partial test slice (not the complete list) of FDIC-insured banks and their profile info - name, location, assets, deposits, net income, charter type, and parent holding company."
FINANCE,FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,2822977,"Every bank branch in the country by survey year, with its address and how much money was deposited there - plus the parent bank's name, total assets, and total deposits."
FINANCE,FINANCE__FED_FEC_BULK,20938,"Federal Election Commission roster of political committees - PACs, party committees, campaign committees - with name, treasurer, address, party affiliation, and the candidate it's tied to."
FINANCE,FINANCE__FED_FEC_BULK_COMMITTEES,20007,"Same FEC committee roster as the bulk file, but repeated per two-year election cycle - one row per committee per cycle."
FINANCE,FINANCE__FED_FEC_CANDIDATES,27095,"Every candidate registered with the FEC - name, party, the office and state or district they're running for, election year, and current status."
FINANCE,FINANCE__FED_FEC_CAND_CMTE_LINKAGE,30536,Links each FEC candidate to the campaign committee(s) authorized to raise and spend money on their behalf.
FINANCE,FINANCE__FED_FEC_COMMITTEES,60031,"FEC master list of political committees - PACs and party committees - with name, treasurer, address, type, party affiliation, and the candidate they're linked to."
FINANCE,FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE,866730,"Money that political committees gave to candidates or other committees - one row per transfer, with the amount, date, transaction type, and who received it."
FINANCE,FINANCE__FED_FEC_INDEPENDENT_EXPENDITURES,276183,"Independent expenditures - money spent by outside groups, not the campaigns themselves, to support or oppose a specific candidate - with amount, date, purpose, and who got paid."
FINANCE,FINANCE__FED_FEC_INDEPENDENT_EXPENDITURES__PREV_20260906,261033,"Same independent-expenditure records as above, but the version saved before the September 6, 2026 data reload - a backup snapshot, not the live table."
FINANCE,FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,283771819,"Itemized donations from individual people to political committees - donor name, city and state, employer, occupation, amount, and date of each gift."
FINANCE,FINANCE__FED_FEC_INDIV_CONTRIBUTIONS__PREV_20260906,84172112,"Same individual-donation records as above, but the version saved before the September 6, 2026 data reload - a backup snapshot, not the live table."
FINANCE,FINANCE__FED_FEC_LEADERSHIP_PAC,8619,Links each leadership PAC - a fund a sitting politician controls to help other candidates - to the officeholder or candidate who runs it.
FINANCE,FINANCE__FED_FHFA_FHLB_MEMBERSHIP,6327,"Roster of every bank, credit union, or insurer that belongs to a Federal Home Loan Bank - its district, member type, charter type, and ID numbers with other regulators."
FINANCE,FINANCE__FED_FINRA_MPID_LIST,4215,"List of broker-dealers registered with FINRA to trade on Nasdaq and related exchanges, with their market participant ID and which exchanges they belong to."
FINANCE,FINANCE__FED_IRS527_SCHEDULE_A_CONTRIBUTIONS,9701952,"Donations given to IRS-registered '527' political organizations - donor name, address, employer, occupation, amount, and date, tied to the organization that received it."
FINANCE,FINANCE__FED_IRS527_SCHEDULE_B_EXPENDITURES,8191177,"Money spent by IRS-registered '527' political organizations - who was paid, how much, when, and for what purpose."
FINANCE,FINANCE__FED_IRS_SOI,179796,"IRS tax-return statistics rolled up by zip code and income bracket - counts of returns, total wages, tax paid, and credits claimed for each area and income group."
FINANCE,FINANCE__FED_MSRB_REGISTRANTS,925,"Directory of firms registered with the Municipal Securities Rulemaking Board to deal in or advise on municipal bonds - firm name, state, and registrant type."
FINANCE,FINANCE__FED_NCUA_CALL_REPORTS_FOICU,4336,"Roster of federally insured credit unions as of the 2026 first-quarter reporting cycle - name, address, charter type, region, and key dates for each one."
FINANCE,FINANCE__FED_NCUA_CALL_REPORTS_FS220,4336,"Detailed balance-sheet numbers for every federally insured credit union in the 2026 first-quarter cycle - hundreds of specific financial line items, including total assets, per credit union."
FINANCE,FINANCE__FED_NCUA_CHARTER_MERGER_EVENTS,27,"Record of credit union mergers - which credit union absorbed which, their locations and asset sizes, and the stated reason for the merger."
FINANCE,FINANCE__FED_NCUA_FEDERALLY_INSURED_CU_LIST,4250,"Directory of federally insured credit unions with quarterly financial snapshots - members, assets, loans, deposits, and growth rates for each one."
FINANCE,FINANCE__FED_OCC_NATIONAL_BANKS,724,"List of currently active nationally chartered banks - name, headquarters location, and cross-reference IDs to FDIC and Federal Reserve records."
FINANCE,FINANCE__FED_OCC_THRIFTS,218,"List of currently active federal savings associations (thrifts) - name, headquarters location, and cross-reference IDs to FDIC and Federal Reserve records."
FINANCE,FINANCE__FED_PCAOB_FORM_AP_FILINGS,155384,"Audit disclosure filings naming which accounting firm and which specific partner audited a public company's books, one row per filing."
FINANCE,FINANCE__FED_SEC_13F_FILERS,344109,"SEC Form 13F filer registrations - large investment managers who report their stock holdings - with their name, address, and filing details."
FINANCE,FINANCE__FED_SEC_13F_SUBMISSION,3822885,"The actual stock holdings reported in SEC Form 13F filings - which company's shares, how many shares, their value, and who controls the voting rights, per big investment manager."
FINANCE,FINANCE__FED_SEC_13F_SUBMISSIONS,336124,"Index of SEC Form 13F filing submissions - one row per filing, with the filer's ID, filing date, and the reporting period it covers."
FINANCE,FINANCE__FED_SEC_BUSINESS_DEVELOPMENT_COMPANY_REPORT,212,"Registration info for SEC-registered business development companies (funds that invest in small or growing businesses) - name, address, and filing date."
FINANCE,FINANCE__FED_SEC_CLOSED_END_FUND_INFORMATION,973,"Registration info for SEC-registered closed-end funds (publicly traded investment funds) - name, address, and filing date."
FINANCE,FINANCE__FED_SEC_DERA_SUB_2024Q1,6028,"Index of company financial-statement filings (10-Ks, 10-Qs, and similar) submitted to the SEC in the first quarter of 2024 - company name, address, industry code, and filing dates."
FINANCE,FINANCE__FED_SEC_DERA_SUB_2024Q2,7675,"Index of company financial-statement filings (10-Ks, 10-Qs, and similar) submitted to the SEC in the second quarter of 2024 - company name, address, industry code, and filing dates."
FINANCE,FINANCE__FED_SEC_DERA_SUB_2024Q3,6699,"Index of company financial-statement filings (10-Ks, 10-Qs, and similar) submitted to the SEC in the third quarter of 2024 - company name, address, industry code, and filing dates."
FINANCE,FINANCE__FED_SEC_DERA_SUB_2024Q4,6491,"Index of company financial-statement filings (10-Ks, 10-Qs, and similar) submitted to the SEC in the fourth quarter of 2024 - company name, address, industry code, and filing dates."
FINANCE,FINANCE__FED_SEC_DERA_SUB_2025Q1,6231,"Index of company financial-statement filings (10-Ks, 10-Qs, and similar) submitted to the SEC in the first quarter of 2025 - company name, address, industry code, and filing dates."
FINANCE,FINANCE__FED_SEC_DERA_SUB_2025Q2,7009,"Index of company financial-statement filings (10-Ks, 10-Qs, and similar) submitted to the SEC in the second quarter of 2025 - company name, address, industry code, and filing dates."
FINANCE,FINANCE__FED_SEC_DERA_SUB_2025Q3,6541,"Index of company financial-statement filings (10-Ks, 10-Qs, and similar) submitted to the SEC in the third quarter of 2025 - company name, address, industry code, and filing dates."
FINANCE,FINANCE__FED_SEC_DERA_SUB_2025Q4,6304,"Index of company financial-statement filings (10-Ks, 10-Qs, and similar) submitted to the SEC in the fourth quarter of 2025 - company name, address, industry code, and filing dates."
FINANCE,FINANCE__FED_SEC_DERA_SUB_2026Q1,6169,"Index of company financial-statement filings (10-Ks, 10-Qs, and similar) submitted to the SEC in the first quarter of 2026 - company name, address, industry code, and filing dates."
FINANCE,FINANCE__FED_SEC_EDGAR_COMPANY_TICKERS_EXCHANGE,10398,"Reference list matching each public company's SEC filer ID to its stock ticker symbol, company name, and the exchange it trades on."
FINANCE,FINANCE__FED_SEC_EDGAR_FINANCIALS,55635,"Index of company financial-statement filings submitted to the SEC across quarters - company name, address, industry code, filing type, and filing dates, with the source file it came from."
FINANCE,FINANCE__FED_SEC_EDGAR_INSIDERS,69259,"Index of insider-trading disclosure filings (Forms 3 and 4) - which company's insider filed, when, and whether they reported owning zero securities."
FINANCE,FINANCE__FED_SEC_INSIDER_DERIV_TRANS,1049121,"Corporate insiders' trades in derivative securities like stock options - what was traded, price, date, and how many shares the insider held afterward."
FINANCE,FINANCE__FED_SEC_INSIDER_NONDERIV_TRANS,2672841,"Corporate insiders' trades in plain company stock, not options - shares bought or sold, price, date, and how many shares the insider held afterward."
FINANCE,FINANCE__FED_SEC_INSIDER_REPORTINGOWNER,1934673,"Identifies who each corporate insider is - name, job title, relationship to the company (officer, director, large owner), and address."
FINANCE,FINANCE__FED_SEC_INSIDER_SUBMISSION,1772088,"Header info for each insider-trading disclosure filing - which company, filing and reporting-period dates, document type, and any explanatory remarks."
FINANCE,FINANCE__FED_SEC_INVESTMENT_COMPANY_SERIES_CLASS,43123,"Registry of every mutual fund and investment-company series and share class - fund name, class name, ticker, and the registrant's address."
FINANCE,FINANCE__FED_SEC_MONEY_MARKET_FUND_INFORMATION,1206,"Monthly roster of money market funds - fund name, share class, ticker, and the investment advisor (and sub-advisor) managing it."
FINANCE,FINANCE__FED_SENATE_EFD_PTR,6855,"Senators' official stock-trade disclosures (Periodic Transaction Reports) - which senator, what they bought or sold, the asset, transaction date, and dollar range."
FINANCE,FINANCE__FED_SENATE_STOCK_WATCHER,8350,"Senators' stock trades as tracked by the Senate Stock Watcher project - senator name, asset traded, transaction type, date, and dollar amount range."
FINANCE,FINANCE__INTL_ISO_MIC_REGISTRY,2864,"Worldwide registry of stock exchanges and trading venues - each one's official code, legal operating company, country, and status."
FINANCE,FINANCE__INTL_OSFI_REGULATED_FI,343,"Canada's list of federally regulated financial institutions - banks, insurers, trust and loan companies - with type, group, and head-office address."
FINANCE,FINANCE__INTL_WB_IDS,62983,"World Bank international debt statistics - how much one country owes another country or institution, broken out by year from 1970 through 2032 projections, for each debt measure tracked."
FINANCE,FINANCE__SENATE_TRADES,15205,"Combined senate stock-trade disclosure records merging the official filings and the Stock Watcher tracker, with each senator matched to their official Bioguide ID and a note on how confident that match is."
ECONOMICS,ECONOMICS__FED_BLS_QCEW,3619437,"County-and-industry level job counts and wages by quarter, from employer unemployment-insurance tax records - how many businesses, how many workers, and average pay, broken out by industry and ownership type (private, state, local, federal)."
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,33484,"Yearly filings employers make for their retirement and benefit plans - plan name, sponsor, participant counts, plan assets, benefits paid out, and which schedules were attached."
ECONOMICS,ECONOMICS__FED_DOL_OSHA_INSPECTIONS,5196412,"Workplace safety inspections run by OSHA - the business inspected, its address and industry, inspection type and scope, safety vs. health violations, and open/close dates."
ECONOMICS,ECONOMICS__FED_FAC_SINGLE_AUDIT,411638,"Required audits of organizations that spent federal grant money - auditee and auditor names, total dollars spent, and whether the audit found material weaknesses or noncompliance."
ECONOMICS,ECONOMICS__FED_FDIC_FAILED_BANKS,3584,"Banks that failed and were shut down by regulators - bank name, city/state, failure date, total assets and deposits at failure, estimated loss to the deposit insurance fund, and who acquired it."
ECONOMICS,ECONOMICS__FED_FOREIGNASSISTANCE,95658,"US foreign aid spending - recipient country, the US agency funding and managing it, sector, and dollars obligated and disbursed, by fiscal year."
ECONOMICS,ECONOMICS__FED_GRANTS_GOV,100,"Open federal grant opportunities posted on grants.gov - title, awarding agency, who's eligible to apply, award size range, and application deadlines (this is a small 100-row sample, not the full listing)."
ECONOMICS,ECONOMICS__FED_IRS_527_ORGS,77591,"Political organizations registered with the IRS under tax code section 527 - org name, mailing address, custodian and contact names, stated purpose, and filing date."
ECONOMICS,ECONOMICS__FED_IRS_990,200,"Nonprofit tax-return summaries (Form 990) - organization name and EIN, revenue, expenses, assets, liabilities, and top officer pay, by tax year (only a 200-row sample here)."
ECONOMICS,ECONOMICS__FED_IRS_990_EFILE_INDEX,5544626,"An index of nonprofit tax returns that were e-filed to the IRS - EIN, form type, tax period, submission date, and the IRS document tracking numbers; filing records only, no financial figures."
ECONOMICS,ECONOMICS__FED_IRS_AUTO_REVOCATIONS,1207295,"Nonprofits that automatically lost their tax-exempt status for not filing a return three years running - name, address, revocation date, and reinstatement date if they got it back."
ECONOMICS,ECONOMICS__FED_IRS_BMF,1974830,"The IRS's master list of every tax-exempt organization - name, address, what category of nonprofit it is (NTEE code), assets, income, and revenue."
ECONOMICS,ECONOMICS__FED_IRS_EO_PR,2587,"The IRS's list of tax-exempt organizations based in Puerto Rico - name, address, nonprofit classification codes, and reported assets, income, and revenue."
ECONOMICS,ECONOMICS__FED_IRS_FATCA_FFI_LIST,516298,"Foreign banks and financial institutions registered with the IRS to report American account holders under FATCA - just an ID number, institution name, and country."
ECONOMICS,ECONOMICS__FED_IRS_PUB78_ELIGIBLE_DONEES,1435544,"IRS Publication 78 - the list of organizations donors can give to and still get a tax deduction - name, city, state, country, and what kind of deduction applies."
ECONOMICS,ECONOMICS__FED_IRS_REVOCATION,1187366,"Nonprofits whose tax-exempt status was revoked by the IRS - name, address, revocation and posting dates, and whether they were later reinstated."
ECONOMICS,ECONOMICS__FED_IRS_SOI_CHARITIES,2450,"An IRS statistical sample of charities' finances - name, address, nonprofit classification, and reported assets, income, and revenue (small sample, not the full universe)."
ECONOMICS,ECONOMICS__FED_PBGC_DATA,134534,"Published statistics from the Pension Benefit Guaranty Corporation - a grab-bag of named metrics (metric name and value) by year, program type, and state, pulled from various PBGC published tables."
ECONOMICS,ECONOMICS__FED_PBGC_TRUSTEED_PENSION_PLANS,21596,"Failed pension plans that the Pension Benefit Guaranty Corporation took over - plan name, sponsor, administrator's city/state, and how many participants are covered."
ECONOMICS,ECONOMICS__FED_SBA_LOANS,2174502,"Small Business Administration loans (7(a) and 504 programs) - borrower name and location, lender, loan amount, approval date, status, whether it defaulted, and jobs the loan was supposed to support."
ECONOMICS,ECONOMICS__FED_SBA_PPP,968524,"Paycheck Protection Program loans - the pandemic-era small-business loans - borrower name and location, lender, loan amount, status, jobs reported, and how the money was spent (payroll, rent, utilities, mortgage interest). One row per loan."
ECONOMICS,ECONOMICS__FED_SBA_PPP_LOANS_150K_PLUS,968524,"The same Paycheck Protection Program loan data, but only loans over $150,000 and with more detail - franchise name, borrower race/ethnicity/gender/veteran status, and forgiveness amount and date."
ECONOMICS,ECONOMICS__FED_SEC_EDGAR,200,"SEC filings by public companies - company name, its EDGAR and tax ID numbers, what form was filed and when, industry code, stock tickers, and exchanges. One row per filing."
ECONOMICS,ECONOMICS__FED_SEC_EDGAR_COMPANY_TICKERS,10414,A lookup list matching each public company's SEC filer ID (CIK) to its stock ticker symbol and company name.
ECONOMICS,ECONOMICS__FED_TREASURY_AVG_INTEREST_RATES,4961,"The US Treasury's average interest rate paid on each type of government security, by month/quarter."
ECONOMICS,ECONOMICS__FED_TREASURY_DEBT_OUTSTANDING,237,"The total US national debt outstanding, tracked by date."
ECONOMICS,ECONOMICS__FED_TREASURY_DEBT_TO_PENNY,8329,"The US national debt down to the penny, every day - split into debt held by the public versus debt one government account owes another."
ECONOMICS,ECONOMICS__FED_TREASURY_DTS_DEPOSITS,478149,"The federal government's daily cash ledger - deposits and withdrawals by account and transaction type, day by day, with month-to-date and year-to-date totals."
ECONOMICS,ECONOMICS__FED_TREASURY_MTS_RECEIPTS,7490,"The federal government's monthly tax receipts and refunds by category - gross collected, refunds paid, and net receipts, this month versus the same point last fiscal year."
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,6325622,"Federal government contracts - who won the contract, which agency awarded it, dollar amount, what it's for (NAICS industry code), and where the work is being performed. One row per contract action."
ECONOMICS,ECONOMICS__FED_USASPENDING_TOPTIER_AGENCIES,111,"The full list of top-level federal agencies with their budget totals - money spent (outlay), money committed (obligated), and total budget authority."
ECONOMICS,ECONOMICS__FED_US_SEC_EDGAR,48984,"Another cut of SEC company filings - company name, filer ID (CIK), ticker, tax ID, form type, filing date, and flags for whether it's an annual or quarterly report."
ECONOMICS,ECONOMICS__FED_US_USASPENDING_API,300,"Federal spending awards pulled from the USASpending API - recipient, awarding agency, industry code, where the work happened, dollars obligated and paid out, transaction and subaward counts, by fiscal year (small 300-row sample)."
ECONOMICS,ECONOMICS__INTL_FAO_FAOSTAT,69,"Not the actual farm-and-food data - this is a catalog listing which UN food/agriculture (FAOSTAT) datasets exist, their topic, description, and file size."
ECONOMICS,ECONOMICS__INTL_FAO_FAOSTAT_FOOD_SECURITY,279470,"UN food security statistics by country - what's being measured, the year, the value, and the unit it's measured in."
ECONOMICS,ECONOMICS__INTL_GLEIF,3382301,"The global company ID registry (Legal Entity Identifier) - legal name, headquarters and legal addresses, country, legal form, and registration status for companies worldwide. Most of the huge column count is alternate names/addresses in different languages and past name changes."
ECONOMICS,ECONOMICS__INTL_GLEIF_RELATIONSHIPS,485285,"Corporate family-tree links between companies in the global company ID registry - which company is the parent/subsidiary of which, relationship type, and the dates each relationship was in effect."
ECONOMICS,ECONOMICS__INTL_GLEIF_REPEX,6313372,"Companies in the global company ID registry that couldn't report their parent/subsidiary relationships, and the stated reason why."
ECONOMICS,ECONOMICS__INTL_IPC_FOOD_INSECURITY_GLOBAL,735,"Global hunger-crisis severity ratings by country - what share of the population falls into each food-insecurity phase, and over what time window."
ECONOMICS,ECONOMICS__INTL_IT_ISTAT,213284,"Economic and statistical time-series data from Italy's national statistics office (ISTAT) - a value observed on a given date, tagged with what series it belongs to and how often it's measured."
ECONOMICS,ECONOMICS__XC_OWID_GINI,2389,"Income inequality by country and year (the Gini coefficient), from Our World in Data - built by combining multiple underlying sources."
ECONOMICS,ECONOMICS__XC_WIKIPEDIA_LARGEST_US_COMPANIES,100,"Wikipedia's list of the largest US companies by revenue - rank, name, industry, revenue, revenue growth, employee count, and headquarters city."
TIMELINE,RIPPLE_TIME_REGISTRY,644,"Not real-world data - this is Ripple's own internal bookkeeping list of which tables have a usable date column, what that column is called, and how granular it is, used to build the TIMELINE views."
TIMELINE,TIMELINE__CONSUMER_PROTECTION_INDEX,5347,"Not the actual complaint records - a day-by-day count of how many consumer-protection records exist per source table, laid out on the shared timeline to show coverage over time."
TIMELINE,TIMELINE__CONSUMER_SAFETY_INDEX,30990,"Not the actual safety records - a day-by-day count of how many consumer-safety records (recalls, product safety complaints) exist per source table, laid out on the shared timeline."
TIMELINE,TIMELINE__CORPORATE_REGISTRY_INDEX,86061,"Not the actual company records - a day-by-day count of how many corporate-registry records exist per source table, laid out on the shared timeline."
TIMELINE,TIMELINE__CRIMINAL_JUSTICE_INDEX,1,"A day-by-day count meant to track criminal-justice records over time, but it's essentially empty (one row) - unclear if it's wired up yet."
TIMELINE,TIMELINE__ECONOMICS_INDEX,59779,"A day-by-day count of how many rows landed per economic-data source table (jobs, wages, spending, debt, etc.), laid out on the shared timeline to show data coverage over time."
TIMELINE,TIMELINE__EDUCATION_INDEX,11384,"Not the actual school/education records - a day-by-day count of how many education records exist per source table, on the shared timeline."
TIMELINE,TIMELINE__ENERGY_INDEX,392,"Not the actual energy records - a day-by-day count of how many energy-sector records exist per source table, on the shared timeline."
TIMELINE,TIMELINE__ENVIRONMENT_INDEX,274313,"Not the actual environmental records - a day-by-day count of how many environment-related records exist per source table, on the shared timeline."
TIMELINE,TIMELINE__FINANCE_INDEX,49062,"Not the actual finance records - a day-by-day count of how many finance-related records (like Senate stock trades or bank data) exist per source table, on the shared timeline."
TIMELINE,TIMELINE__FINANCE_INDEX__PREV_20260906,37809,"A saved backup copy of the finance timeline count table, snapshotted on 2026-09-06 before it was rebuilt."
TIMELINE,TIMELINE__FINANCE_INDEX__PREV_20260906_221619,37810,"Another saved backup copy of the finance timeline count table, snapshotted later the same day (2026-09-06) before a rebuild."
TIMELINE,TIMELINE__FOREIGN_INFLUENCE_INDEX,5587,"Not the actual records - a day-by-day count of how many foreign-influence/lobbying-related records exist per source table, on the shared timeline."
TIMELINE,TIMELINE__HEALTH_INDEX,139546,"Not the actual health records - a day-by-day count of how many health-related records exist per source table, on the shared timeline."
TIMELINE,TIMELINE__HEALTH_INDEX__PREV_20260906,132735,"A saved backup copy of the health timeline count table, snapshotted on 2026-09-06 before it was rebuilt."
TIMELINE,TIMELINE__HISTORICAL_RECORDS_INDEX,127,"Not the actual records - a day-by-day count of how many historical-record entries exist per source table, on the shared timeline."
TIMELINE,TIMELINE__HISTORY_INDEX,2,"A day-by-day count meant to track history-related records over time, but it's essentially empty (two rows) - unclear if it's wired up yet."
TIMELINE,TIMELINE__HOUSING_INDEX,17654,"Not the actual housing records - a day-by-day count of how many housing-related records exist per source table, on the shared timeline."
TIMELINE,TIMELINE__IMMIGRATION_INDEX,6058,"Not the actual immigration records - a day-by-day count of how many immigration-related records exist per source table, on the shared timeline."
TIMELINE,TIMELINE__INVESTIGATIONS_INDEX,16,"A day-by-day count meant to track investigation-related records over time, but only 16 rows - barely populated."
TIMELINE,TIMELINE__JUDICIARY_INDEX,21,"A day-by-day count meant to track judiciary records over time, but only 21 rows - barely populated."
TIMELINE,TIMELINE__JUSTICE_INDEX,236975,"Not the actual case records - a day-by-day count of how many justice-system records exist per source table, on the shared timeline."
TIMELINE,TIMELINE__LABOR_INDEX,38246,"Not the actual labor records - a day-by-day count of how many labor/employment-related records exist per source table, on the shared timeline."
TIMELINE,TIMELINE__LEGAL_ENFORCEMENT_INDEX,797,"Not the actual enforcement records - a day-by-day count of how many legal-enforcement records exist per source table, on the shared timeline."
TIMELINE,TIMELINE__MARITIME_INDEX,8,"A day-by-day count meant to track maritime records over time, but only 8 rows - barely populated."
TIMELINE,TIMELINE__MONEY_FINANCE_INDEX,7,"A day-by-day count meant to track money/finance records over time, but only 7 rows - looks like a stub, possibly superseded by TIMELINE__FINANCE_INDEX."
TIMELINE,TIMELINE__OPEN_DATA_INDEX,6164,"Not the actual records - a day-by-day count of how many open-data-catalog entries exist per source table, on the shared timeline."
TIMELINE,TIMELINE__POLITICS_INDEX,106452,"Not the actual political records - a day-by-day count of how many politics-related records exist per source table, on the shared timeline."
TIMELINE,TIMELINE__POLITICS_INDEX__PREV_20260906,106445,"A saved backup copy of the politics timeline count table, snapshotted on 2026-09-06 before it was rebuilt."
TIMELINE,TIMELINE__PROCUREMENT_INDEX,8456,"Not the actual contract records - a day-by-day count of how many government-procurement records exist per source table, on the shared timeline."
TIMELINE,TIMELINE__REFERENCE_INDEX,17883,"Not the actual records - a day-by-day count of how many general reference-data records exist per source table, on the shared timeline."
TIMELINE,TIMELINE__REGULATORY_INDEX,861,"Not the actual regulatory records - a day-by-day count of how many regulation-related records exist per source table, on the shared timeline."
TIMELINE,TIMELINE__REVIEW_INDEX,197,"Not the actual records - a day-by-day count of how many review-related records exist per source table, on the shared timeline."
TIMELINE,TIMELINE__SCIENCE_INDEX,6082,"Not the actual records - a day-by-day count of how many science-related records exist per source table, on the shared timeline."
TIMELINE,TIMELINE__SCIENCE_RESEARCH_INDEX,15506,"Not the actual records - a day-by-day count of how many science-research records exist per source table, on the shared timeline (overlaps with TIMELINE__SCIENCE_INDEX)."
TIMELINE,TIMELINE__TRANSPORT_INDEX,61164,"Not the actual transport records - a day-by-day count of how many transportation-related records exist per source table, on the shared timeline."
REFERENCE,REFERENCE__CALENDAR,155593,"A day-by-day calendar lookup table, one row per date, with the week, month, quarter, fiscal year, election year, and Congress session that date falls into -- used to join dates across other tables, not real-world data on its own."
REFERENCE,REFERENCE__CENSUS_CB_COUNTY,3235,"US Census Bureau county boundaries -- one row per county with its name, state, land and water area, and the map shape (geometry) used to draw it."
REFERENCE,REFERENCE__CENSUS_CB_STATE,56,"US Census Bureau state boundaries -- one row per state (all 50 plus territories) with name, land and water area, and the map shape used to draw it."
REFERENCE,REFERENCE__CENSUS_CB_ZCTA,33791,US Census Bureau ZIP-code-area boundaries (the Census Bureau's stand-in for ZIP codes) -- one row per ZIP area with land/water size and the map shape used to draw it.
