domain,name,tier,bulk,horizon,have,why,have_v
Transportation -- Motor Carrier & Maritime,MC / MX / FF Number (FMCSA Operating Authority Number),STEEL,yes,now,"yes, likely -- FMCSA's Company Census File (MCMIS), the standard fr...",Carriers with bad safety records or unpaid broker-bond claims routinely dissolve their DOT#/MC# pair and re-register a new pair under a s...,yes
Transportation -- Motor Carrier & Maritime,IMO Company and Registered Owner Identification Number,STEEL,unclear,nice-to-have-later,no -- context explicitly limits current IMO/MMSI coverage to ship-l...,This is the exact field used to pierce the shell-company layers that sanctioned 'dark fleet' tankers hide behind -- a ship can rotate thr...,no
Transportation -- Motor Carrier & Maritime,UN/LOCODE (UN Code for Trade and Transport Locations),STEEL,yes,now,unclear -- Ripple already has FIPS/COUNTRY/GEOM place keys; no conf...,"UN/LOCODE is the standard key for a vessel's declared port of call/registry. Without it, tracing a sanctioned 'dark fleet' tanker's undis...",unclear
Transportation -- Motor Carrier & Maritime,State Intrastate Motor Carrier Permit Number (e.g. California DMV Motor Carrier Permit / MCP),STEEL,unclear,now,no,"This is exactly the segment behind California's well-documented, years-long port-drayage wage-theft scandal at LA/Long Beach: intrastate-...",no
Transportation -- Motor Carrier & Maritime,Merchant Mariner Credential (MMC) Number,STRONG,no,nice-to-have-later,no,"USCG runs administrative Suspension & Revocation hearings against mariners after negligence/misconduct incidents (spills, fatal accidents...",no
Transportation -- Motor Carrier & Maritime,PHMSA Hazardous Materials Registration Number (HM Company ID),STRONG,unclear,nice-to-have-later,no -- PHMSA is explicitly listed as NOT PRESENT AT ALL in the agenc...,Hazmat spill/fire/explosion incidents are the events that hurt bystanders and first responders. A clean HM Company ID would let Ripple sh...,no
Transportation -- Motor Carrier & Maritime,FMC OTI License Number (NVOCC / Ocean Freight Forwarder License),STRONG,unclear,nice-to-have-later,no -- FMC does not appear anywhere in the agency context list; genu...,Unlicensed or bond-lapsed NVOCCs are a recurring vector for cargo fraud that leaves small importers/exporters unable to recover losses. L...,no
Transportation -- Motor Carrier & Maritime,CBP Bonded Carrier / ACE Carrier Code,STRONG,unclear,nice-to-have-later,unclear -- DHS(3 tables) exist in agency context but aren't itemize...,Would let Ripple trace a specific bonded carrier's history across CBP penalty/seizure records -- e.g. repeated forced-labor-goods or cont...,unclear
Transportation -- Motor Carrier & Maritime,Unified Carrier Registration (UCR) Number,STRONG,unclear,nice-to-have-later,no -- not administered by any single federal agency in Ripple's tab...,UCR registration status is a live compliance signal on top of the MC#/DOT# identity pair the first pass already covers -- a carrier that ...,no
Transportation -- Motor Carrier & Maritime,BMC-84 / BMC-85 Broker & Freight Forwarder Surety Bond or Trust Fund Filing Number,STRONG,unclear,now,unclear -- plausibly a column inside the same DOT(1 table) census/L...,This is the direct paper trail for broker fraud as a repeating pattern rather than a one-off: when a broker's bond is exhausted by claims...,unclear
Transportation -- Motor Carrier & Maritime,NTSB Accident / Investigation Case Number,STRONG,unclear,now,no -- NTSB does not appear anywhere in Ripple's agency-context list...,"NTSB dockets are the government's own root-cause findings for the worst crashes and sinkings, naming companies and often discussing prior...",no
Transportation -- Motor Carrier & Maritime,ISO 6346 / BIC Container Owner Code,STRONG,unclear,nice-to-have-later,no,"Without the container owner code as a join key, Ripple can't cluster 'which leasing company's boxes keep showing up in forced-labor or co...",no
Transportation -- Motor Carrier & Maritime,TWIC Credential Identification Number / FASC-N,WEAK,no,nice-to-have-later,no,"Could in principle show whether port employers keep cycling through workers whose TWIC eligibility issues (often old, minor records) get ...",no
Transportation -- Motor Carrier & Maritime,FAST Card (Free and Secure Trade driver credential),WEAK,no,nice-to-have-later,no,Thin case -- mostly a trusted-traveler convenience program. The theoretical harm angle (tracing drivers whose FAST privileges were pulled...,no
Transportation -- Motor Carrier & Maritime,CDLIS record / Master Pointer Record (Commercial Driver's License Information System),WEAK,no,nice-to-have-later,no,This is precisely the system meant to stop a driver disqualified for a DUI or fatal crash in one state from quietly holding a valid CDL i...,no
Transportation -- Motor Carrier & Maritime,IRP / IFTA Account Numbers (International Registration Plan / International Fuel Tax Agreement),WEAK,no,nice-to-have-later,no,"Could help trace a fleet reincorporating in a new base state after an IRP/IFTA suspension to dodge fees or scrutiny, but with no central ...",no
Transportation -- Motor Carrier & Maritime,FCC Ship Radio Station Call Sign,WEAK,yes,now,"yes, plausibly -- Ripple's single FCC table may already be a ULS (U...",Thin/duplicative on its own -- mainly useful for cross-referencing older USCG casualty reports that cite a call sign instead of MMSI/IMO....,yes
Transportation -- Motor Carrier & Maritime,State Vessel/Boat Registration Number,WEAK,no,nice-to-have-later,no,Relevant to USCG's Boating Accident Report Database (BARD) for small-vessel fatality tracing -- e.g. linking repeat-incident small charte...,no
Transportation -- Motor Carrier & Maritime,FMCSA Drug and Alcohol Clearinghouse Record,WEAK,no,nice-to-have-later,no,"Same 'serially-disqualified driver reappears at a new carrier' harm story the first pass already told for CDLIS, but for drug/alcohol vio...",no
Consumer Protection & Product Safety,Unique Device Identifier (UDI-DI) / GUDID,STEEL,yes,now,unclear — FDA(6 tables) exist but unknown if any are device-specifi...,"When a defective device (hip implant, insulin pump) is recalled, there's no shared key between the recall list and claims/EHR data showin...",unclear
Consumer Protection & Product Safety,MoCRA Cosmetic Facility Registration Number & Cosmetic Product Listing Number,STEEL,no,nice-to-have-later,"no — program postdates most existing FDA ingestion, genuine gap; no...","Cosmetic-linked injuries (chemical hair-straightener/uterine-cancer link, talc/asbestos suits) previously had zero federal registry conne...",no
Consumer Protection & Product Safety,EPA Pesticide Registration Number,STEEL,yes,now,plausible — EPA(42 tables) is Ripple's largest non-CMS agency; chec...,"A pesticide tied to poisoning reports can't be automatically matched to its registration/cancellation history without this number, so a p...",likely
Consumer Protection & Product Safety,EPA CompTox Dashboard Substance ID,STEEL,yes,now,"no — a distinct EPA CompTox dataset, separate from EPA's 42 regulat...",Proving 'the flame retardant EPA calls toxic is the same chemical as this recalled children's product's ingredient' currently requires ma...,no
Consumer Protection & Product Safety,NHTSA Recall Campaign Number,STEEL,yes,now,plausible — NHTSA(3 tables) likely includes recalls and/or complain...,"Without the campaign number as a join key, you can't prove 'NHTSA opened this recall only after X complaints already existed' — the patte...",likely
Consumer Protection & Product Safety,FMCSA Motor Carrier Number,STEEL,yes,nice-to-have-later,no — no dedicated FMCSA source appears anywhere in the agency list;...,'Rogue mover' fraud (a broker switches you to an unlicensed carrier who holds your belongings hostage for extra cash) is a well-documente...,no
Consumer Protection & Product Safety,GTIN / UPC / EAN,STEEL,unclear,now,plausible — CPSC(2 tables); recent CPSC recall listings have includ...,"Consumers can't reliably tell if a product they own is under recall by brand/model name alone (resellers, generic marketplace listings, n...",likely
Consumer Protection & Product Safety,USDA/FSIS Establishment Number,STEEL,yes,nice-to-have-later,no — USDA/FSIS confirmed entirely absent; full acquisition gap,"USDA/FSIS is confirmed completely absent from Ripple's warehouse; every meat/poultry recall, every outbreak traced to a specific plant, e...",no
Consumer Protection & Product Safety,CPSC NEISS Case Number,STEEL,yes,now,unclear — CPSC(2 tables); NEISS is a fully separate CPSC data serie...,"CPSC recall notices cite 'X reported incidents,' but NEISS is what produces the national injury-count estimate in the first place; withou...",unclear
Consumer Protection & Product Safety,FDA MAUDE Report / MDR Report Key,STEEL,yes,now,no — distinct openFDA endpoint from anything in the first pass's FD...,"The 'who got hurt' half of a device recall lives in MAUDE, not the recall listing; without MAUDE report keys, Ripple can show which devic...",no
Consumer Protection & Product Safety,FDA FAERS Case / Safety Report ID,STEEL,yes,now,"no — separate openFDA endpoint from NDC/UNII/RxCUI/SPL, none of whi...","Without FAERS case IDs, Ripple can trace a drug's identity and its label-warning history but not the volume/timing of real adverse events...",no
Consumer Protection & Product Safety,Judicial Panel on Multidistrict Litigation (JPML) MDL Number,STEEL,yes,now,plausible but likely unindexed — COURTLISTENER(5 tables) probably h...,This is the court system's own version of Ripple's mechanism-first mission — thousands of individual harm claims about one product alread...,likely
Consumer Protection & Product Safety,FDA Food Facility Registration Number,STRONG,no,nice-to-have-later,unclear — FDA(6 tables); full registry itself isn't published in bu...,"Outbreak and recall postings reference a facility by name; without the FFR as a stable key, tracing repeat contamination at the same plan...",unclear
Consumer Protection & Product Safety,FDA Recall Event Number,STRONG,yes,now,unclear — check if any of FDA's 6 tables is enforcement/recall data,"Without a stable event ID, an injury report can't be matched to a specific recall wave versus a different wave of the same product — unde...",unclear
Consumer Protection & Product Safety,EPA Pesticide Chemical Code,STRONG,yes,nice-to-have-later,unclear — EPA(42 tables),A chemical flagged as an endocrine disruptor under one EPA program (tracked by PC Code) can reappear as a seemingly 'different' substance...,unclear
Consumer Protection & Product Safety,EPA Toxics Release Inventory Facility ID,STRONG,yes,now,very likely — EPA(42 tables) plus the already-known FRS_ID make thi...,"Without recognizing TRI facility IDs specifically (versus the broader FRS_ID), plant-level release trends for consumer-relevant chemicals...",likely
Consumer Protection & Product Safety,DOT Tire Identification Number,STRONG,unclear,nice-to-have-later,"unclear — NHTSA(3 tables), whether tire-specific fields are broken ...","Tire failures (e.g. the Firestone/Ford Explorer case) cluster by specific plant and production week, not just brand; without batch-level ...",unclear
Consumer Protection & Product Safety,USCG Vessel Official Number,STRONG,unclear,nice-to-have-later,no — no dedicated USCG source table appears anywhere in the agency ...,Fatal recreational boating accidents overwhelmingly involve vessels too small to carry IMO numbers; since Ripple's existing IMO/MMSI keys...,no
Consumer Protection & Product Safety,FCC Equipment Authorization ID,STRONG,yes,now,plausible — FCC(1 table) is likely this exact dataset already; chec...,"Consumer electronics safety scandals (hoverboard battery fires, counterfeit phone chargers) routinely involve shell-company brand names t...",likely
Consumer Protection & Product Safety,NIOSH Approval / TC Number,STRONG,yes,nice-to-have-later,"unclear — CDC(9 tables), none obviously NIOSH-specific from table c...","During COVID, large volumes of counterfeit N95s carried fake or misused TC numbers and reached hospitals and consumers; without treating ...",unclear
Consumer Protection & Product Safety,CPSC SaferProducts.gov Report Number,STRONG,yes,now,"unclear — CPSC(2 tables), same open question as NEISS above",SaferProducts.gov captures near-misses and non-ER harm plus the manufacturer's public denial/response to each one; a manufacturer dismiss...,unclear
Consumer Protection & Product Safety,FDA 510(k) Premarket Notification Number & PMA (Premarket Approval) Number,STRONG,yes,now,unclear — FDA(6 tables); a distinct openFDA endpoint from UDI/GUDID...,"UDI-DI says which physical device a patient received, but 510(k)/PMA is what proves whether a since-recalled device went through the weak...",unclear
Consumer Protection & Product Safety,FDA CAERS Report Number,STRONG,yes,now,"no — a separate, older FDA data series from anything in the first p...","The first pass's own headline example — hair-straightener/uterine-cancer, talc — is CAERS territory; FDA's 2021 CAERS release showed thou...",no
Consumer Protection & Product Safety,NHTSA Office of Defects Investigation Complaint Number,STRONG,yes,now,unclear — NHTSA(3 tables); plausible complaints are already one of ...,Proving 'NHTSA opened this recall only after X complaints already existed' — the exact scenario the first pass describes — requires the O...,unclear
Consumer Protection & Product Safety,FDA Structured Product Labeling Set ID,WEAK,yes,now,unclear — FDA(6 tables),Weaker direct-harm link — mainly useful for proving a manufacturer knew about a risk (via label revision history) before an injury patter...,unclear
Consumer Protection & Product Safety,Underwriters Laboratories File Number,WEAK,no,nice-to-have-later,"no — not a government source at all, genuinely outside current ware...",A manufacturer can lose or falsify UL certification while continuing to market a product as 'UL Listed'; counterfeit UL marks are a docum...,no
Consumer Protection & Product Safety,California Proposition 65 Listed Chemical,WEAK,yes,nice-to-have-later,"no — state-level, doesn't appear anywhere in the federal agency list","Chemicals often get added to Prop 65 years before EPA/FDA act federally; without tracking this list, Ripple's chemical-harm timeline miss...",no
Consumer Protection & Product Safety,CPSC Accepted/Accredited Testing Laboratory Number,WEAK,unclear,nice-to-have-later,no,A different failure shape than everything else on the list — a corrupt or incompetent lab can wave through unsafe children's products acr...,no
Education,OPEID (Office of Postsecondary Education ID),STEEL,yes,now,"CONFIRMED, not just plausible -- read library-onboarding/ripple_dbt...","Without OPEID as a join key, Ripple cannot connect a school's federal Title IV loan dollar flow to the same school's fraud lawsuits, SEC-...",other
Education,VA GI Bill Facility Code / VA-Approved Education Institution ID,STEEL,yes,nice-to-have-later,no -- confirmed absent by direct read of both existing VA staging m...,"For-profit chains that lose Title IV eligibility have repeatedly pivoted to GI Bill recruiting instead, because GI Bill dollars don't cou...",no
Education,DAPIP Institution/Program ID (Database of Accredited Postsecondary Institutions and Programs),STRONG,yes,nice-to-have-later,"no -- ED only has 2 tables in Ripple (FSA Datacenter, EDFacts), nei...",A whole school can stay Title IV-eligible while one specific program (e.g. nursing) quietly loses accreditation -- students in that progr...,no
Education,SEVP School Code / SEVIS Campus ID,STRONG,unclear,nice-to-have-later,no -- ICE's 1 table in Ripple is unlikely to be SEVP-specific; this...,Real SEVP-certified schools have repeatedly been shown to run on international-student tuition as a cash cow while providing little real ...,no
Education,CEEB Code / ATP Code,STRONG,unclear,nice-to-have-later,no,"Without a K-12-to-higher-ed bridge, Ripple can't show college-access disparities tied to a specific high school -- e.g. a high-poverty hi...",no
Education,E-Rate Billed Entity Number (BEN),STRONG,yes,nice-to-have-later,no -- FCC's 1 table in Ripple is almost certainly ULS (radio licens...,"E-Rate billing fraud and vendor kickback schemes have repeatedly targeted school districts, hitting poor/rural districts hardest -- the s...",no
Education,RAPIDS Registered Apprenticeship Program ID,STRONG,yes,nice-to-have-later,unclear -- DOL's 2 tables in Ripple are more likely WHD wage-violat...,Apprenticeship status is sometimes used as a loophole to pay trainees sub-minimum wage while providing little real training -- a known DO...,unclear
Education,Head Start Program/Grant Number,STRONG,unclear,nice-to-have-later,"unlikely -- HHS only has 2 tables in Ripple and, based on other age...","Head Start facility safety incidents (neglect, unsafe conditions, deaths) surface in local reporting periodically; without the federal gr...",other
Education,UKPRN (UK Provider Reference Number),STRONG,yes,nice-to-have-later,no,Relevant mainly if/when Ripple's UK footprint grows -- UK for-profit college collapses and apprenticeship-mill fraud mirror the US for-pr...,no
Education,National Student Clearinghouse (NSC) School Code/Branch,STRONG,no,nice-to-have-later,no,NSC's aggregate StudentTracker/research data is close to the ONLY near-complete source of real enrollment-to-completion outcomes tied bac...,no
Education,NASDTEC Educator Identification Clearinghouse / State Teacher Certification-License Number,STRONG,no,nice-to-have-later,no -- Ripple carries no state DOE personnel/licensing data of any k...,This is THE flagship investigative-journalism K-12 harm pattern (AP/USA Today 'Predator Teachers'): a teacher loses a license for miscond...,no
Education,State Postsecondary/Proprietary School Licensing Number (non-Title-IV state authorization),STRONG,unclear,nice-to-have-later,"no -- not federal, no existing Ripple table would carry this","OPEID only exists for schools that opt into Title IV. A large, specifically predatory slice of for-profit training schools (cash-pay cosm...",no
Education,FICE Code (Federal Interagency Committee on Education code),WEAK,unclear,nice-to-have-later,"no -- Ripple's ED data (FSA Datacenter, EDFacts) is contemporary an...",Schools that committed fraud or were shut down before the mid-1990s (early diploma-mill and correspondence-school scandals) are keyed by ...,no
Education,CIP Code (Classification of Instructional Programs),WEAK,yes,now,plausible if a College Scorecard field-of-study file was ever pulle...,School-level OPEID alone hides program-level predation: a college can have several fine programs and one predatory one (e.g. a for-profit...,likely
Education,WIOA Eligible Training Provider List (ETPL) ID,WEAK,unclear,nice-to-have-later,no,"Predatory vocational schools (truck-driving academies, cosmetology schools, coding bootcamps) can stay on a state's ETPL collecting feder...",no
Education,State-assigned K-12 School/District ID (non-NCES),WEAK,unclear,nice-to-have-later,no,"A lot of state-level discipline/civil-rights and school-audit data is published on state portals keyed to the STATE code, not the federal...",no
Education,ABA Law School ID / LSAC Code,WEAK,yes,nice-to-have-later,no,Niche but real: would let Ripple test whether certain law schools disproportionately produce attorneys who later face bar discipline or d...,no
Education,AAMC/AMCAS Medical School Code,WEAK,unclear,nice-to-have-later,no,Niche but potentially sharp: would let Ripple test whether graduates of specific medical schools are disproportionately represented among...,no
Education,EADA Institution ID (Equity in Athletics Data Analysis),WEAK,yes,nice-to-have-later,no -- not the same file as FSA Datacenter or EDFacts,"College athletics scandals involving cover-ups of abuse (team doctors, coaches) repeatedly show institutions protecting revenue-generatin...",no
Education,USDA National School Lunch Program (NSLP) Sponsor/Agreement ID,WEAK,unclear,nice-to-have-later,"no -- USDA confirmed absent from Ripple entirely, this would requir...","NSLP fraud and mismanagement (padded meal counts, sponsors billing for meals never served -- a well-documented problem especially in the ...",no
Education,NC-SARA Participating Institution ID,WEAK,unclear,nice-to-have-later,no,Online for-profit chains exploit multistate reach specifically to make complaints hard to route -- SARA membership status determines whic...,no
Education,ABET Accreditation ID (engineering/computing/technology programs),WEAK,yes,nice-to-have-later,no,"Same 'zombie program' pattern the first pass's DAPIP entry flagged, but for the one accreditor-gated field with direct downstream physica...",no
Education,FFELP Lender ID / Guaranty Agency Code (legacy pre-2010 federal student loan program),WEAK,unclear,nice-to-have-later,no,"Direct parallel to the first pass's own FICE reasoning ('pre-digitization records need a legacy key'), but for loans, not schools: the or...",no
"Housing, Real Estate & Mortgage Lending",MERS MIN (Mortgage Identification Number),STEEL,no,nice-to-have-later,no -- no MERS source in the current agency list,"Once a loan is bundled into MBS and resold repeatedly, tracking who actually owns/services it at foreclosure time is nearly impossible wi...",no
"Housing, Real Estate & Mortgage Lending",HMDA Universal Loan Identifier,STEEL,yes,now,unclear -- no HMDA/FFIEC source visible in the agency list; CFPB(2)...,"HMDA shows who got denied/approved and on what terms by race and neighborhood, but each record is otherwise anonymous. Without the ULI th...",unclear
"Housing, Real Estate & Mortgage Lending",FHA Case Number,STEEL,yes,now,unclear -- HUD(1) has exactly one table of unconfirmed content; pla...,"FHA insures the main mortgage product available to lower-wealth and minority first-time buyers. Without the case number as a join key, Ri...",unclear
"Housing, Real Estate & Mortgage Lending",VA Loan Number / VA Case Number,STEEL,unclear,nice-to-have-later,"unclear -- VA(2) tables exist but likely cover disability/benefits,...",Veterans are a well-documented target for serial refinance churning (loan officers repeatedly refi the same veteran to harvest fees -- Gi...,unclear
"Housing, Real Estate & Mortgage Lending",Ginnie Mae Pool Number,STEEL,yes,nice-to-have-later,no,Finer-grain version of the issuer-level churning/predatory-lending story -- lets Ripple see loan-pool-level geographic concentration of c...,no
"Housing, Real Estate & Mortgage Lending",Fannie Mae / Freddie Mac Loan Sequence Number,STEEL,yes,nice-to-have-later,no,Needed at loan grain before rolling up to servicer for the same default/foreclosure/modification-rate story as the seller-servicer number...,no
"Housing, Real Estate & Mortgage Lending",FHA/HUD Multifamily Project Number,STEEL,yes,now,unclear -- HUD(1) content unconfirmed,HUD's Multifamily default/REAC-score data is one of the most direct 'landlord neglects federally-subsidized housing while collecting the ...,unclear
"Housing, Real Estate & Mortgage Lending",HUD Manufactured Home HUD Certification Label Number,STEEL,unclear,nice-to-have-later,no,Manufactured-home borrowers face systematically higher rates and weaker protections than site-built mortgage borrowers (CFPB-documented);...,no
"Housing, Real Estate & Mortgage Lending",FinCEN Identifier / Residential Real Estate Rule beneficial-ownership report,STEEL,no,nice-to-have-later,"unclear -- FinCEN(1) table exists but content unconfirmed, and full...",All-cash LLC purchases are the main vehicle for laundering money into US real estate and for anonymous corporate buyouts of single-family...,unclear
"Housing, Real Estate & Mortgage Lending",CFPB Consumer Complaint Database Complaint ID,STEEL,yes,now,unclear but plausible -- CFPB(2) tables exist and the Complaint Dat...,This is the one dataset in the whole domain where an ordinary borrower's own words about being harmed are attached directly to a specific...,unclear
"Housing, Real Estate & Mortgage Lending",HUD Public Housing Development Number,STEEL,yes,now,unclear -- same HUD(1) content-unknown caveat as the PHA Code entry,"The candidate list's PHA Code entry rolls REAC inspection failures up to the ~3,000 housing authorities, but a single PHA can run dozens ...",unclear
"Housing, Real Estate & Mortgage Lending",HMDA Legacy Respondent ID + Agency Code (pre-2018),STRONG,yes,nice-to-have-later,"unclear, same caveat as ULI above",All the interesting historical HMDA data -- the entire 2004-2008 subprime boom -- predates LEI. Without a Respondent ID crosswalk to lend...,unclear
"Housing, Real Estate & Mortgage Lending",Ginnie Mae Issuer Number,STRONG,yes,now,no -- no Ginnie Mae source in the agency list,Ginnie Mae has repeatedly terminated issuers for high default rates concentrated in minority/veteran borrower pools. Issuer-level pool pe...,no
"Housing, Real Estate & Mortgage Lending",FHA/HUD Lender (Mortgagee) ID,STRONG,yes,nice-to-have-later,unclear -- HUD(1) content unconfirmed,HUD's 'Credit Watch' terminations list lenders HUD kicked out of FHA for high default rates -- a ready-made bad-actor list -- but it's ke...,unclear
"Housing, Real Estate & Mortgage Lending",Assessor's Parcel Number / Property Index Number,STRONG,unclear,nice-to-have-later,no -- no county assessor/parcel source in the agency list,The key missing bridge for 'who actually owns this hazardous/neglected property' stories -- corporate landlords hide behind shell LLCs at...,no
"Housing, Real Estate & Mortgage Lending",Appraisal Subcommittee National Registry ID,STRONG,unclear,nice-to-have-later,no,"The ASC National Registry is the only federal, cross-state roster of which specific appraiser signed which valuation. Without it, Ripple ...",no
"Housing, Real Estate & Mortgage Lending",HUD Public Housing Agency (PHA) Code,STRONG,yes,now,unclear -- HUD(1) content unconfirmed,"HUD's inspection scores and 'troubled PHA' designations are keyed to PHA code. Without it, Ripple can't connect a housing authority's poo...",unclear
"Housing, Real Estate & Mortgage Lending",FEMA NFIP Community ID Number,STRONG,yes,nice-to-have-later,unclear -- DHS(3) exists but content unconfirmed,When a community is suspended from NFIP -- often for lax floodplain enforcement -- homeowners there can lose access to federally-backed m...,unclear
"Housing, Real Estate & Mortgage Lending",LIHTC Building Identification Number,STRONG,yes,nice-to-have-later,no,LIHTC properties get billions in federal tax credits for affordability commitments that are chronically under-enforced; a BIN-level bridg...,no
"Housing, Real Estate & Mortgage Lending",National Address Database Unique Address ID,STRONG,yes,nice-to-have-later,no,"Not a harm-story key itself, but a force multiplier: much of Ripple's already-known ADDRESS-string matching is unreliable; a canonical ad...",no
"Housing, Real Estate & Mortgage Lending",HUD Section 8 / Housing Assistance Payments (HAP) Contract Number,STRONG,yes,now,unclear -- HUD(1) content unconfirmed,Ties a specific private landlord's ongoing HUD rent-subsidy income directly to that property's inspection failures -- the clearest 'colle...,unclear
"Housing, Real Estate & Mortgage Lending",HUD Continuum of Care Number,STRONG,yes,nice-to-have-later,"no -- HUD(1) is a single table, and SNAPS/homelessness data is a di...","The entire candidate list stops at 'tenant faced eviction/foreclosure' -- none of it reaches the next step, which is where that person en...",no
"Housing, Real Estate & Mortgage Lending",USDA Rural Development Multifamily Housing Project Number (Section 515/514),STRONG,yes,nice-to-have-later,no -- USDA is on the confirmed-absent list entirely,"USDA runs the closest thing rural America has to Section 8 -- and there is a well-documented, GAO/Housing-Assistance-Council-flagged cris...",no
"Housing, Real Estate & Mortgage Lending",ASC National AMC (Appraisal Management Company) Registry ID,STRONG,unclear,nice-to-have-later,no,The candidate list already flags 'appraised while Black' undervaluation and proposes tracing the individual appraiser who signed a biased...,no
"Housing, Real Estate & Mortgage Lending",Federal Home Loan Bank Member ID / AHP Project ID,STRONG,yes,nice-to-have-later,unclear -- FHFA(2) tables exist and plausibly cover FHLBank oversig...,Two distinct stories live behind one ID family: member-level advance reliance is a documented early-warning signal for bank distress (thr...,unclear
"Housing, Real Estate & Mortgage Lending",CoreLogic CLIP (or ATTOM equivalent) national parcel-normalization ID,STRONG,no,nice-to-have-later,no,"The candidate list rates raw APN 'STRONG' but its own format field admits APN 'varies wildly by county, no fixed national pattern' -- at ...",no
"Housing, Real Estate & Mortgage Lending",HUD HOME/CDBG IDIS Activity or Project ID,STRONG,yes,now,unclear -- same HUD(1) content-unknown caveat as the rest of the HU...,The candidate list found this exact pattern once (LIHTC) and stopped; HOME and CDBG are comparably-sized federal affordable-housing subsi...,unclear
"Housing, Real Estate & Mortgage Lending",HOLC Redlining Area/Grade (Mapping Inequality digitized zones),WEAK,yes,now,"no, but trivially joinable via lat/lon or census tract, both alread...",This is the crown-jewel bridge for the mission statement itself -- literally overlaying a 90-year-old government-drawn 'risk' map onto to...,no
"Housing, Real Estate & Mortgage Lending",FHFA Suspended Counterparty Program (SCP) List entry,WEAK,yes,now,"unclear -- FHFA(2) tables exist, plausibly one already is this list","Barred mortgage-fraud actors (appraisers, loan officers, title agents) frequently resurface under new company names; without cross-refere...",unclear
"Housing, Real Estate & Mortgage Lending",Real Estate Broker/Agent State License Number,WEAK,unclear,nice-to-have-later,no,"Fair-housing 'steering' complaints and enforcement actions name individual agents; without a license-number bridge to a national roster, ...",no
"Housing, Real Estate & Mortgage Lending",Multiple Listing Service (MLS) Number,WEAK,no,nice-to-have-later,no,"Could help detect flip/appraisal-fraud patterns (buy low, flip with an inflated appraisal fast), but MLS data is proprietary industry dat...",no
"Housing, Real Estate & Mortgage Lending",HUD Fair Housing (FHEO) Case Number,WEAK,unclear,nice-to-have-later,unclear -- HUD(1) content unconfirmed; case-level respondent-identi...,"HUD FHEO case data, where it names respondents, is a direct roster of entities formally accused of housing discrimination -- without a br...",unclear
"Housing, Real Estate & Mortgage Lending",County Recorder Instrument/Document Number,WEAK,unclear,nice-to-have-later,no,"This is what builds a literal ownership timeline for a property -- essential for catching fast-flip fraud, straw-buyer schemes, and shell...",no
"Housing, Real Estate & Mortgage Lending",RTC / FSLIC Legacy Asset Control Number,WEAK,unclear,nice-to-have-later,"unclear -- NARA(2) tables exist, content unconfirmed, and this is s...","The submitter explicitly justified the HMDA Legacy Respondent ID entry with 'same institution, different era' logic for the 2000s subprim...",unclear
"Housing, Real Estate & Mortgage Lending",Notary Public Commission Number,WEAK,no,nice-to-have-later,no,"The candidate list's own MERS entry names robo-signing as the flagship 2008-2012 harm mechanism it wants to trace, but robo-signing speci...",no
Federal Procurement & Grants,PIID (Procurement Instrument Identifier),STEEL,yes,now,"yes -- near-certain core column in USASPENDING(6 tables), USAspendi...","Contract money to one vendor gets sliced across many task/delivery orders under the same parent PIID; without linking them, a nursing-hom...",yes
Federal Procurement & Grants,FAIN (Federal Award Identification Number),STEEL,yes,now,yes -- near-certain core column in USASPENDING(6 tables),"A specific grant is the unit that ties money to a specific finding (e.g., a Title IX or research-misconduct case tied to one award); with...",yes
Federal Procurement & Grants,"URI (Unique Record Identifier, grants)",STEEL,yes,now,"yes -- likely same USASPENDING(6 tables) award file, less consisten...",Block-grant money is exactly the money most vulnerable to local diversion because it passes through a state or city before reaching peopl...,yes
Federal Procurement & Grants,NCAGE Code,STEEL,unclear,nice-to-have-later,unclear -- SAM(1 table) may carry a CAGE column but NCAGE for forei...,"Materially distinct from the already-known CAGE code: foreign vendors register through their own country's bureau, not DLIS, so an NCAGE-...",unclear
Federal Procurement & Grants,eRA Commons ID,STEEL,unclear,nice-to-have-later,unclear -- NIH(1 table) may be RePORTER-style project data that car...,"NIH-funded research misconduct and Title IX findings attach to a person, not an institution; without the person-level ID, a PI found resp...",unclear
Federal Procurement & Grants,eRA Commons Institution Profile Number (IPF),STEEL,no,nice-to-have-later,"no -- would require the eRA institution profile file, a genuinely n...","Harm concentrated in one department or hospital (repeated animal-welfare, human-subjects, or lab-safety violations) gets averaged away in...",no
Federal Procurement & Grants,NSF Award ID,STEEL,yes,now,yes -- likely core column in NSF(1 table),"Same fragmentation problem as NIH grants: without a clean award-level key, an institution's pattern of failed or terminated NSF awards (e...",yes
Federal Procurement & Grants,NSF ID (Person/Reviewer ID),STEEL,unclear,nice-to-have-later,unclear -- may not be granular enough in whatever single NSF(1 tabl...,"Same person-tracking gap as the NIH eRA Commons ID case, applied to NSF: a PI barred or investigated on one award can resurface on a new ...",unclear
Federal Procurement & Grants,FSRS Subaward ID / Subaward Number,STEEL,yes,nice-to-have-later,unclear -- subaward data is a distinct download from USAspending's ...,"This is the single biggest procurement pass-through blind spot: a debarred, sanctioned, or fraud-flagged company that can't win a prime c...",unclear
