subject,tier,title,question,why_it_matters,tables,joins_on,visual,notes
FINANCE,crawl,Hedge funds' weekly bets,How did hedge fund long and short positions in stock index futures move weekly?,Positioning as a wave.,FINANCE__FED_CFTC_COT_FINANCIAL_HIST|EDUCATION__FED_CFTC_COT_FINANCIAL,"stack, same shape",timeline,"Two COT tables, one misfiled under EDUCATION."
FINANCE,crawl,Who countries owe,"Which creditors hold each country's debt, and where are the repayment cliffs?",A debt map with cliffs flagged.,FINANCE__INTL_WB_IDS|MONEY__DEBT_REPAYMENT_CLIFF,country + year,timeline,Country lookup. Not a catalog key; lookup or unproven.
FINANCE,crawl,Two Senate trade sources disagree,How many senators' trades appear in one source but not the other?,Source disagreement as the chart.,FINANCE__FED_SENATE_EFD_PTR|FINANCE__FED_SENATE_STOCK_WATCHER|FINANCE__SENATE_TRADES,"stack, same shape",other,Combined table has the match-confidence column.
FINANCE,crawl,Filings per industry per quarter,Which industries file the most financial statements each quarter?,"Nine quarterly tables, one line.",FINANCE__FED_SEC_DERA_SUB_2024Q1|FINANCE__FED_SEC_DERA_SUB_2024Q2|FINANCE__FED_SEC_DERA_SUB_2024Q3|FINANCE__FED_SEC_DERA_SUB_2024Q4|FINANCE__FED_SEC_DERA_SUB_2025Q1|FINANCE__FED_SEC_DERA_SUB_2025Q2|FINANCE__FED_SEC_DERA_SUB_2025Q3|FINANCE__FED_SEC_DERA_SUB_2025Q4|FINANCE__FED_SEC_DERA_SUB_2026Q1,"stack, same shape",timeline,"Union, no join."
FINANCE,crawl,Who advises money market funds,Which advisors manage the most money market funds?,Concentration in one chart.,FINANCE__FED_SEC_MONEY_MARKET_FUND_INFORMATION,single table,ranking,
FINANCE,crawl,Stock exchanges of the world,"How many trading venues per country, and which operators run them?",Registry as a map.,FINANCE__INTL_ISO_MIC_REGISTRY,single table,map,
FINANCE,walk,Auditor against filer size,"Do the Big Four audit all the big filers, and who audits the rest?",Catalog item 22.,FINANCE__FED_PCAOB_FORM_AP_FILINGS|FINANCE__FED_SEC_EDGAR_FINANCIALS,CIK,other,
FINANCE,walk,Insider filings against company size,Which companies file the most insider trades per dollar of size?,Catalog item 23.,FINANCE__FED_SEC_EDGAR_INSIDERS|FINANCE__FED_SEC_EDGAR_COMPANY_TICKERS_EXCHANGE,CIK,other,
FINANCE,walk,13F holdings per manager,"Which managers hold the most positions, and how did that change?",Catalog item 24.,FINANCE__FED_SEC_13F_SUBMISSION|FINANCE__FED_SEC_13F_FILERS,CIK,ranking,
FINANCE,walk,Injuries at public companies,Which public companies report the most workplace injuries?,"Catalog item 25, thin.",LABOR__FED_OSHA_ITA_300A_SUMMARY_2024|FINANCE__FED_SEC_EDGAR_COMPANY_TICKERS_EXCHANGE,CIK~EIN,ranking,"CIK~EIN matches 2 to 16 percent. Sample, never a rate."
FINANCE,walk,Mortgage lenders by global ID,Which lenders in the mortgage file are subsidiaries of which parents?,Catalog item 55.,HOUSING__FED_CFPB_HMDA_HISTORIC|ECONOMICS__INTL_GLEIF,LEI,other,Historic HMDA uses old lender ID; use the crosswalk.
FINANCE,walk,Branches against FHLB membership,Do FHLB members hold more branches per county?,"Catalog item 57, no edges yet.",FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS|FINANCE__FED_FHFA_FHLB_MEMBERSHIP,FDIC_CERT,other,"Key in keyset, zero edges."
FINANCE,walk,13F positions by issuer,Which issuers are held by the most managers?,"Catalog item 56, no edges yet.",FINANCE__FED_SEC_13F_SUBMISSION|FINANCE__FED_SEC_EDGAR_COMPANY_TICKERS_EXCHANGE,CUSIP bridge,ranking,FTD_CUSIP_BRIDGE named in catalog but not in the inventory. Not a catalog key; lookup or unproven.
FINANCE,walk,Senators and insiders trading the same stock,Did a senator trade a stock the same week its insiders did?,Two disclosure regimes on one timeline.,FINANCE__SENATE_TRADES|FINANCE__FED_SEC_INSIDER_NONDERIV_TRANS|FINANCE__FED_SEC_EDGAR_COMPANY_TICKERS_EXCHANGE,ticker,timeline,Ticker not a catalog key.
FINANCE,run,"One public company, every table","For one CIK: filings, insiders, holders, auditor, injuries, EPA sites?",The company card.,FINANCE__FED_SEC_EDGAR_COMPANY_TICKERS_EXCHANGE|FINANCE__FED_SEC_EDGAR_FINANCIALS|FINANCE__FED_SEC_INSIDER_NONDERIV_TRANS|FINANCE__FED_SEC_13F_SUBMISSION|FINANCE__FED_PCAOB_FORM_AP_FILINGS|LABOR__FED_OSHA_ITA_300A_SUMMARY_2024|ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,"CIK, CIK~EIN",other,"CIK: 19 tables, 128 edges. Cross-key legs are thin."
ECONOMICS,crawl,County wages by industry,"Which counties pay best in each industry, and where did wages stall?",3.6M rows to one map.,ECONOMICS__FED_BLS_QCEW,single table,map,
ECONOMICS,crawl,Federal jobs share by county,Which counties depend most on federal employment?,Ownership column splits federal from private.,ECONOMICS__FED_BLS_QCEW,single table,map,
ECONOMICS,crawl,OSHA inspections by industry,"Which industries get inspected most, and find the most violations?",5.2M inspections.,ECONOMICS__FED_DOL_OSHA_INSPECTIONS,single table,ranking,
ECONOMICS,crawl,The 2008 bank failure wave,"When did banks fail, how big, and what did it cost the insurance fund?",A timeline with a wall in 2009.,ECONOMICS__FED_FDIC_FAILED_BANKS,single table,timeline,
ECONOMICS,crawl,Foreign aid flow,Which agencies send how much to which countries?,Agency to country sankey.,ECONOMICS__FED_FOREIGNASSISTANCE,single table,flow,
ECONOMICS,crawl,Nonprofits per resident,"Which counties have the most nonprofits per person, by category?",Two million orgs on a map.,ECONOMICS__FED_IRS_BMF|CORPORATE_ENTITIES__IRS_BMF_BY_STATE_NTEE_AGG,"stack, same shape",map,State rollup in PUBLIC.
ECONOMICS,crawl,The auto-revocation wave,"How many nonprofits lost status per year, and how many came back?","1.2M revocations, one spike.",ECONOMICS__FED_IRS_AUTO_REVOCATIONS|CORPORATE_ENTITIES__IRS_REVOCATION_BY_STATE_YEAR_AGG,"stack, same shape",timeline,"Several tables shown side by side, no join. If a join is wanted, it is not in the catalog."
ECONOMICS,crawl,"Failed pensions, who got hurt","Which sponsors' pension plans failed, and how many participants?",Company names next to headcounts.,ECONOMICS__FED_PBGC_TRUSTEED_PENSION_PLANS|LABOR__FED_PBGC_TRUSTEED_PLANS,"stack, same shape",ranking,"Two tables, same subject."
ECONOMICS,crawl,SBA loan default rate by lender,Which lenders' SBA loans default most?,Default flag exists.,ECONOMICS__FED_SBA_LOANS,single table,ranking,
ECONOMICS,crawl,"PPP loans, jobs claimed per dollar",Which borrowers claimed the fewest jobs per loan dollar?,"Pandemic money, itemized.",ECONOMICS__FED_SBA_PPP|ECONOMICS__FED_SBA_PPP_LOANS_150K_PLUS,"stack, same shape",other,150K+ table has franchise and forgiveness columns.
ECONOMICS,crawl,PPP by franchise,Which franchise brands' locations took the most PPP money?,Brand names.,ECONOMICS__FED_SBA_PPP_LOANS_150K_PLUS,single table,ranking,
ECONOMICS,crawl,Federal contracts by agency and industry,"Which agencies buy what, and how concentrated are vendors?",6.3M contract actions.,ECONOMICS__FED_USASPENDING_CONTRACTS|SPENDING_BUDGET__USASPENDING_BY_AGENCY_NAICS_AGG,"stack, same shape",other,Rollups in PUBLIC.
ECONOMICS,crawl,Contract dollars per state,Which states get the most federal contract money per resident?,Map with population.,SPENDING_BUDGET__USASPENDING_BY_AGENCY_STATE_AGG|DIM_STATE,state code,map,Not a catalog key; lookup or unproven.
ECONOMICS,crawl,National debt every day,"How did the debt move day by day, public versus intragovernmental?","One line, every day.",ECONOMICS__FED_TREASURY_DEBT_TO_PENNY,single table,timeline,
ECONOMICS,crawl,The government's daily cash,What does the Treasury take in and pay out each day?,Daily ledger as a rhythm chart.,ECONOMICS__FED_TREASURY_DTS_DEPOSITS,single table,timeline,
ECONOMICS,crawl,Interest the government pays,How did the average rate on each security type move?,Rates by type over time.,ECONOMICS__FED_TREASURY_AVG_INTEREST_RATES,single table,timeline,
ECONOMICS,crawl,Tax receipts by category,Which receipt categories rose and fell month to month?,"Monthly, with last-year comparison.",ECONOMICS__FED_TREASURY_MTS_RECEIPTS,single table,timeline,
ECONOMICS,crawl,Company registrations by country,Which countries register the most legal entities?,3.4M entities.,ECONOMICS__INTL_GLEIF,single table,map,
ECONOMICS,crawl,Why companies will not name their parent,What reasons do companies give for not reporting their parent?,"6.3M refusals, a handful of reasons.",ECONOMICS__INTL_GLEIF_REPEX,single table,ranking,
ECONOMICS,crawl,Corporate family trees,Which parents have the most subsidiaries?,A tree graph.,ECONOMICS__INTL_GLEIF_RELATIONSHIPS,single table,flow,
ECONOMICS,crawl,Hunger by country,Which countries' food insecurity worsened?,FAO and IPC on one map.,ECONOMICS__INTL_FAO_FAOSTAT_FOOD_SECURITY|ECONOMICS__INTL_IPC_FOOD_INSECURITY_GLOBAL,country + year,map,Not a catalog key; lookup or unproven.
ECONOMICS,crawl,Inequality by country,Which countries' Gini rose most?,OWID series.,ECONOMICS__XC_OWID_GINI,single table,timeline,
ECONOMICS,crawl,Retirement plans by assets,"Which sponsors hold the biggest plans, and how much do they pay out?",Form 5500.,ECONOMICS__FED_DOL_FORM5500,single table,ranking,
ECONOMICS,crawl,Audit findings on grant money,"Which grantees had material weaknesses, and how much did they spend?",Single audits.,ECONOMICS__FED_FAC_SINGLE_AUDIT,single table,ranking,
ECONOMICS,walk,E-filings per nonprofit against assets,Do bigger nonprofits file more?,Catalog item 11.,ECONOMICS__FED_IRS_990_EFILE_INDEX|ECONOMICS__FED_IRS_BMF,EIN,other,
ECONOMICS,walk,Revocations against active nonprofits,Which states lose the most nonprofits per active one?,Catalog item 12.,ECONOMICS__FED_IRS_REVOCATION|ECONOMICS__FED_IRS_BMF,EIN,map,
ECONOMICS,walk,Deductible against total,What share of nonprofits per subsection can take deductible gifts?,Catalog item 13.,ECONOMICS__FED_IRS_PUB78_ELIGIBLE_DONEES|ECONOMICS__FED_IRS_BMF,EIN,other,
ECONOMICS,walk,Injuries per employer against industry peers,Which employers injure far more than their industry?,Catalog item 14.,LABOR__FED_OSHA_ITA_300A_SUMMARY_2023|LABOR__FED_OSHA_ITA_300A_SUMMARY_2024|LABOR__FED_OSHA_ITA_300A_SUMMARY_2025,"EIN, NAICS",ranking,NAICS is a code lookup. Not a catalog key; lookup or unproven.
ECONOMICS,walk,Federal money against nonprofit revenue,Which nonprofits live almost entirely on federal grants?,Catalog item 15.,ECONOMICS__FED_FAC_SINGLE_AUDIT|ECONOMICS__FED_IRS_BMF,EIN,ranking,
ECONOMICS,walk,Contract vendors who also get grants,Which vendors take both contract and assistance money?,Catalog item 17.,ECONOMICS__FED_USASPENDING_CONTRACTS|ECONOMICS__FED_FAC_SINGLE_AUDIT,UEI,other,"UEI match 10 to 80 percent, sparse."
ECONOMICS,walk,NIH grants against SBIR awards,Which small companies win both NIH and SBIR money?,Catalog item 19.,SCIENCE_RESEARCH__FED_NIH_REPORTER|SCIENCE_RESEARCH__FED_SBIR_STTR_AWARDS,UEI,other,
ECONOMICS,walk,Banned vendors still getting contracts,Did any excluded vendor receive a contract after exclusion?,Catalog item 20.,PROCUREMENT__FED_SAM_EXCLUSIONS|ECONOMICS__FED_USASPENDING_CONTRACTS,UEI / DUNS,timeline,
ECONOMICS,walk,Hospital nonprofits: pay against assets,Do bigger hospital nonprofits pay executives more per asset dollar?,EIN links the pay table to the master list.,HEALTH__HOSPITAL_OFFICER_PAY|ECONOMICS__FED_IRS_BMF,EIN,other,
ECONOMICS,walk,PPP borrowers with OSHA injuries,Did the biggest PPP borrowers also report the most injuries?,Fuzzy name-and-zip match.,ECONOMICS__FED_SBA_PPP_LOANS_150K_PLUS|LABOR__FED_OSHA_ITA_300A_SUMMARY_2023,NAME@ZIP,other,NAME@ZIP is fuzzy. Multi-word names only.
ECONOMICS,run,"One nonprofit, every table","For one EIN: master record, filings, revocations, audits, federal money, officer pay?",EIN is a steel key.,ECONOMICS__FED_IRS_BMF|ECONOMICS__FED_IRS_990_EFILE_INDEX|ECONOMICS__FED_IRS_REVOCATION|ECONOMICS__FED_FAC_SINGLE_AUDIT|ECONOMICS__FED_IRS_PUB78_ELIGIBLE_DONEES|HEALTH__HOSPITAL_OFFICER_PAY,EIN,other,"EIN: 34 tables, 366 edges."
ECONOMICS,run,Federal money by county,"Contracts, PPP, SBA, grants, FEMA, relief: dollars per resident per county?",Where the money lands.,ECONOMICS__FED_USASPENDING_CONTRACTS|ECONOMICS__FED_SBA_PPP|ECONOMICS__FED_SBA_LOANS|HEALTH__FED_HRSA_PROVIDER_RELIEF_FUND|HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS|DIM_COUNTY,FIPS,map,Zip to county via XWALK_ZCTA_COUNTY where needed.
TIMELINE,crawl,What years the warehouse actually covers,"Which subjects have data for which years, and where are the holes?",A heatmap of the shelf itself.,TIMELINE__HEALTH_INDEX|TIMELINE__POLITICS_INDEX|TIMELINE__ENVIRONMENT_INDEX|TIMELINE__JUSTICE_INDEX|TIMELINE__FINANCE_INDEX|TIMELINE__ECONOMICS_INDEX|TIMELINE__TRANSPORT_INDEX|TIMELINE__LABOR_INDEX|TIMELINE__HOUSING_INDEX|TIMELINE__IMMIGRATION_INDEX|TIMELINE__CORPORATE_REGISTRY_INDEX,date,other,"Same date axis. Meta chart, not source data. Not a catalog key; lookup or unproven."
TIMELINE,crawl,Which tables have a usable date,"How many tables carry a date, at what granularity?",The registry is a shape chart.,RIPPLE_TIME_REGISTRY,single table,other,Internal bookkeeping.
TIMELINE,run,Everything that happened on one day,"For a chosen date: every record across subjects, on one strip?",The warehouse as a newspaper.,REFERENCE__CALENDAR|TIMELINE__POLITICS_INDEX|TIMELINE__JUSTICE_INDEX|TIMELINE__HEALTH_INDEX|TIMELINE__ENVIRONMENT_INDEX|TIMELINE__FINANCE_INDEX,date,timeline,Not a catalog key; lookup or unproven.
REFERENCE,crawl,The tree of life,How do 993K species entries nest from kingdom down?,A sunburst of everything named.,REFERENCE__FED_ITIS_TAXONOMIC_UNITS|REFERENCE__FED_ITIS_HIERARCHY,"stack, same shape",other,"Several tables shown side by side, no join. If a join is wanted, it is not in the catalog."
REFERENCE,crawl,Common names in many languages,"Which species have the most common names, in which languages?",Names are stories.,REFERENCE__FED_ITIS_VERNACULARS,single table,ranking,
REFERENCE,crawl,"Native or introduced, by state",Which states have the most introduced species listed?,A map of invaders.,REFERENCE__FED_ITIS_JURISDICTION,single table,map,
REFERENCE,crawl,Rejected species names,How many old names point to each accepted one?,"Science changing its mind, counted.",REFERENCE__FED_ITIS_SYNONYM_LINKS,single table,ranking,
REFERENCE,crawl,Place names of America,"Which names repeat most across the country, and where?","1.2M names, one search box.",REFERENCE__FED_USGS_GNIS_ALL_NAMES,single table,map,Historical and variant names included.
REFERENCE,crawl,"Global news events, toned","Which country pairs generate the most news events, and how negative?",A GDELT sample.,REFERENCE__INTL_GDELT,single table,other,"1,015 rows only."
REFERENCE,crawl,Research organizations of the world,"Where are the universities and labs, by type?",135K orgs on a map.,REFERENCE__XC_ROR_RESEARCH_ORGANIZATIONS,single table,map,
REFERENCE,crawl,Fertility by country,Which countries fell below replacement and when?,A world map crossing a line.,REFERENCE__XC_OWID_FERTILITY,single table,timeline,
REFERENCE,crawl,County shapes and water,Which counties are mostly water?,A geometry oddity chart.,REFERENCE__CENSUS_CB_COUNTY,single table,map,
ENERGY,crawl,Power plants by fuel and age,"When were plants built, by fuel, and when do they retire?",A generation-by-generation chart.,ENERGY__FED_EIA860_3_1_GENERATOR,single table,timeline,Operating and planned retirement dates.
ENERGY,crawl,Coal retirements on a map,"Which coal generators are scheduled to retire, and where?",Retirement dates as a countdown.,ENERGY__FED_EIA860_3_1_GENERATOR|ENERGY__FED_EIA860_2_PLANT,EIA_PLANT_ID,map,"EIA keys in keyset, zero edges."
ENERGY,crawl,Wind turbines getting taller,How did hub height and capacity grow by install year?,A physical fact people can picture.,ENERGY__FED_EIA860_3_2_WIND,single table,timeline,
ENERGY,crawl,Solar tracking share,"What share of solar generators track the sun, by state and year?",Technology adoption as a map.,ENERGY__FED_EIA860_3_3_SOLAR,single table,map,
ENERGY,crawl,Battery storage boom,"How fast did grid battery capacity grow, and what is it used for?",A hockey stick.,ENERGY__FED_EIA860_3_4_ENERGY_STORAGE,single table,timeline,
ENERGY,crawl,Who owns the generators,Which owners hold the most capacity through partial stakes?,Ownership shares as a treemap.,ENERGY__FED_EIA860_4_OWNER,single table,other,
ENERGY,crawl,Smart meters by utility,"Which utilities have rolled out smart meters, and which have not?","Old versus new meters, per utility.",ENERGY__FED_EIA861_ADVANCED_METERS,single table,ranking,
ENERGY,crawl,Outage minutes by utility,Whose customers lose power most often and longest?,Reliability ranking.,ENERGY__FED_EIA861_RELIABILITY,single table,ranking,
ENERGY,crawl,Rooftop solar selling back,Which states have the most net-metered solar and paired batteries?,"Customer-owned power, mapped.",ENERGY__FED_EIA861_NET_METERING,single table,map,
ENERGY,crawl,Who serves which county,"Which utility serves each county, and which counties have several?",Service territory map.,ENERGY__FED_EIA861_SERVICE_TERRITORY|DIM_COUNTY,FIPS,map,
ENERGY,crawl,Revenue per customer,Which utilities charge the most per residential customer?,Sales table split by sector.,ENERGY__FED_EIA861_SALES_ULT_CUST,single table,ranking,
ENERGY,crawl,Energy efficiency spend,"Which utilities spend most on efficiency, and save most?",Savings per dollar.,ENERGY__FED_EIA861_ENERGY_EFFICIENCY|ENERGY__FED_EIA861_DEMAND_RESPONSE,"stack, same shape",ranking,"Several tables shown side by side, no join. If a join is wanted, it is not in the catalog."
ENERGY,crawl,World electricity mix,Which countries' generation shifted most toward renewables?,"Ember data, one stacked area per country.",ENERGY__INTL_EMBER_ELEC,single table,timeline,
ENERGY,crawl,Boilers and their pollution rules,"Which boilers meet which emissions standards, and how?",Compliance method per boiler.,ENERGY__FED_EIA860_6_2_ENVIROEQUIP,single table,other,
ENERGY,walk,Plant emissions against plant owner,Which utilities own the dirtiest fleets?,"Catalog items 34, 35.",ENVIRONMENT__FED_EPA_EGRID_PLANT_2022|ENERGY__FED_EIA860_2_PLANT|ENERGY__FED_EIA860_1_UTILITY,EIA_PLANT_ID / UTILITY_ID,ranking,Zero edges yet.
ENERGY,walk,Outages against smart meters,Do utilities with more smart meters report fewer outages?,"Two EIA-861 tables, same utility ID.",ENERGY__FED_EIA861_RELIABILITY|ENERGY__FED_EIA861_ADVANCED_METERS,UTILITY_ID,other,Zero edges yet.
ENERGY,run,"One utility, every table","For one utility: plants, generators, customers, outages, meters, territory?",The utility card.,ENERGY__FED_EIA860_1_UTILITY|ENERGY__FED_EIA860_2_PLANT|ENERGY__FED_EIA860_3_1_GENERATOR|ENERGY__FED_EIA861_SALES_ULT_CUST|ENERGY__FED_EIA861_RELIABILITY|ENERGY__FED_EIA861_SERVICE_TERRITORY|ENERGY__FED_EIA861_UTILITY_DATA,UTILITY_ID,other,Needs the EIA edges built first.
HOUSING,crawl,Mortgage denial rate by race and county,"Where were applicants of one race denied far more than another, 2015 to 2017?","45M applications, one honest map.",HOUSING__FED_CFPB_HMDA_HISTORIC,single table,map,"Every outcome, not just approvals."
HOUSING,crawl,Home prices by metro since 1975,"Which metros' prices rose most, and where did they fall?",The line everyone has an opinion on.,HOUSING__FED_FHFA_HPI,single table,timeline,
HOUSING,crawl,Redlining maps,"What did the 1930s maps say about each neighborhood, in their own words?",The original descriptions are the wow.,HOUSING__FED_MAPPING_INEQUALITY,single table,map,Full text and map shape.
HOUSING,crawl,Subsidized housing tenants,"Who lives in HUD housing, by income, age, disability, race, per project?",One map with demographics on hover.,HOUSING__FED_HUD_ASSISTED_HOUSING_PROJECTS,single table,map,Negative values mean suppressed.
HOUSING,crawl,Section 8 rent against market rent,Where does Section 8 pay above or below local fair-market rent?,The gap column is built in.,HOUSING__FED_HUD_MF_SECTION8_CONTRACTS,single table,map,
HOUSING,crawl,Affordability restrictions expiring,How many rural subsidized units lose their restrictions each coming year?,A cliff on a timeline.,HOUSING__FED_USDA_RD_MFH_ACTIVE_PROJECTS,single table,timeline,
HOUSING,crawl,FHA lenders ranked,"Which lenders write the most FHA loans, at what rates?",Lender names.,HOUSING__FED_HUD_FHA_SF_PORTFOLIO_SNAPSHOT,single table,ranking,
HOUSING,crawl,Twenty-five years of FHA apartment deals,Which lenders and projects got the biggest multifamily commitments?,2001 to 2026.,HOUSING__FED_HUD_MF_FIRM_COMMITMENTS,single table,timeline,
HOUSING,crawl,Flood insurance map,"Which communities are in the flood program, and how old are their maps?",Map age is a risk signal.,HOUSING__FED_FEMA_NFIP_COMMUNITY_STATUS_BOOK,single table,map,
HOUSING,crawl,Disaster housing aid by disaster,Which disasters produced the most registrations and aid dollars?,Partial load; shape only.,HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS,single table,ranking,"About 12 percent loaded, cut mid-load. Not a sample."
HOUSING,crawl,Public housing authorities,"Which authorities run the most units, and how full are they?","3,787 authorities.",HOUSING__FED_HUD_PUBLIC_HOUSING_AUTHORITIES,single table,map,
HOUSING,walk,"Redlined then, denied now",Do 1930s D-graded neighborhoods still see higher denial rates?,The chart that writes its own headline.,HOUSING__FED_MAPPING_INEQUALITY|HOUSING__FED_CFPB_HMDA_HISTORIC|DIM_TRACT,geometry / tract,map,"Spatial join, not a catalog key. Needs proving."
HOUSING,walk,Lenders across the ID change,Which lenders kept lending through the 2017 to 2018 ID switch?,Crosswalk exists for this.,HOUSING__FED_CFPB_HMDA_ARID2017_LEI_XREF|HOUSING__FED_CFPB_HMDA_HISTORIC,lender ID / LEI,other,Not a catalog key; lookup or unproven.
HOUSING,walk,Home prices against disaster aid,Did counties with big FEMA aid see prices fall after?,Catalog item 40 family.,HOUSING__FED_FHFA_HPI|HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS,FIPS,timeline,
IMMIGRATION,crawl,Immigration court by nationality and city,"Which nationalities fill which courts, and how long do cases take?",12.6M cases.,IMMIGRATION__FED_EOIR_CASES,single table,map,
IMMIGRATION,crawl,Days in ICE detention,"How long do people stay, by facility and year, since 2004?",Length of stay as a distribution.,IMMIGRATION__FED_ICE_DETENTION_STINTS,single table,timeline,2.6M stays.
IMMIGRATION,crawl,Bond amounts by facility,Where are bonds set highest?,Dollar amounts per facility.,IMMIGRATION__FED_ICE_DETENTION_STINTS,single table,ranking,
IMMIGRATION,crawl,Detainer flags,"Which risk flags appear most on detainers, and how often none?",Dozens of yes-no columns counted.,IMMIGRATION__FED_ICE_DETAINERS,single table,other,
IMMIGRATION,crawl,Detention facilities map,"Where are ICE facilities, by type?","1,490 codes, 163 on the published list.",IMMIGRATION__FED_ICE_DETENTION_FACILITY_CODES|IMMIGRATION__FED_ICE_DETENTION_FACILITY_LIST,"stack, same shape",map,Gap between the two lists is itself a finding.
IMMIGRATION,crawl,H-1B sponsors and wages,"Which employers sponsor most, and what do they offer per job title?",Employer names and wages.,IMMIGRATION__FED_DOL_OFLC,single table,ranking,
IMMIGRATION,crawl,Immigration lawyers ranked,Which attorneys file the most visa cases?,Attorney column exists.,IMMIGRATION__FED_DOL_OFLC,single table,ranking,
IMMIGRATION,crawl,Border encounters by nationality,How did monthly encounters shift by nationality and outcome?,DHS stats as a stacked area.,IMMIGRATION__FED_DHS_OHSS,single table,timeline,
IMMIGRATION,crawl,USCIS backlog,How many applications are pending per form type per quarter?,"The queue, drawn.",IMMIGRATION__FED_USCIS_DATA,single table,timeline,
IMMIGRATION,crawl,Refugees by origin,Which countries produced the most refugees per year?,OWID series.,IMMIGRATION__XC_OWID_REFUGEES,single table,timeline,
IMMIGRATION,walk,Stays by facility on a map,"Which facilities hold people longest, mapped?",Stint table meets facility coordinates.,IMMIGRATION__FED_ICE_DETENTION_STINTS|IMMIGRATION__FED_ICE_DETENTION_FACILITY_CODES,facility code,map,"Same-source code, not a catalog key."
IMMIGRATION,walk,Court outcome against custody,Do detained respondents lose more often than released ones?,Custody status column in the case table.,IMMIGRATION__FED_EOIR_CASES|IMMIGRATION__FED_ICE_DETENTION_STINTS,anonymized person ID,other,Not a catalog key. Likely unjoinable.
EDUCATION,crawl,Debt against earnings by college,Which colleges leave graduates with the most debt per dollar earned?,One dot per school.,EDUCATION__FED_ED_COLLEGE_SCORECARD_INSTITUTION,single table,other,
EDUCATION,crawl,Admission rate against tuition,Are the most selective schools the most expensive?,Another scatter from the same table.,EDUCATION__FED_ED_COLLEGE_SCORECARD_INSTITUTION,single table,other,
EDUCATION,crawl,"The yield curve, every day",When did short rates go above long rates?,Inversions as shaded bands.,EDUCATION__FED_FRB_H15_SELECTED_RATES,single table,timeline,Misfiled under EDUCATION.
EDUCATION,crawl,Commodity speculators versus hedgers,How did speculator share move in each commodity market?,"Weekly, per market.",EDUCATION__FED_CFTC_COT_FUTURES,single table,timeline,Misfiled under EDUCATION.
EDUCATION,crawl,Political ad spend by region,Which regions got the most political ad money?,Google's own totals.,EDUCATION__FED_GOOGLE_POLADS_GEO_SPEND|EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_GEO_SPEND,"stack, same shape",map,Misfiled.
EDUCATION,crawl,Lobbying issues over time,Which issue codes got lobbied most each quarter?,820K filings.,EDUCATION__FED_SENATE_LDA_FILINGS,single table,timeline,Misfiled.
LABOR,crawl,Mine accident narratives,"What do the accident narratives say, by injury type and mine?",Text people will read.,LABOR__FED_MSHA_ACCIDENTS,single table,other,
LABOR,crawl,Mine fines proposed versus paid,Which operators pay the smallest share of proposed penalties?,"Two columns, one gap.",LABOR__FED_MSHA_VIOLATIONS,single table,ranking,3.1M citations.
LABOR,crawl,Mines open and closed,"Where are active mines, and where did they close?",Status on a map.,LABOR__FED_MSHA_MINES,single table,map,
LABOR,crawl,"Injury rate by establishment, three years",Which employers' injury rates rose across 2023 to 2025?,"Three yearly tables, one slope.",LABOR__FED_OSHA_ITA_300A_SUMMARY_2023|LABOR__FED_OSHA_ITA_300A_SUMMARY_2024|LABOR__FED_OSHA_ITA_300A_SUMMARY_2025,EIN,timeline,
LABOR,crawl,Injury narratives,"What happened, in the worker's words, by industry?",Case detail text.,LABOR__FED_OSHA_ITA_CASE_DETAIL_2023|LABOR__FED_OSHA_ITA_CASE_DETAIL_2024|LABOR__FED_OSHA_ITA_CASE_DETAIL_2025,"stack, same shape",other,"Several tables shown side by side, no join. If a join is wanted, it is not in the catalog."
LABOR,crawl,Union membership since 2000,"Which unions grew and which shrank, by members and assets?",617K filings.,LABOR__FED_DOL_OLMS,single table,timeline,
LABOR,crawl,Pension funding gaps,Which single-employer plans are furthest below their funding target?,Actuarial filings.,LABOR__FED_DOL_EBSA_FORM5500_SCHEDULE_SB,single table,ranking,
LABOR,walk,Violations against accidents per mine,Do mines with more citations have more accidents?,Catalog item 36.,LABOR__FED_MSHA_VIOLATIONS|LABOR__FED_MSHA_ACCIDENTS|LABOR__FED_MSHA_MINES,MSHA mine ID,other,"Catalog item 58: keys in keyset, zero edges. Not a catalog key; lookup or unproven."
LABOR,walk,"Suspicious injury numbers, queued",Which company groups look like they under-report injuries?,Built review queue.,COHORT_QUEUE|LABOR__FED_OSHA_ITA_300A_SUMMARY_2024,EIN,ranking,"REVIEW schema, internal."
TRANSPORT,crawl,Who owns the planes,"Which owners hold the most registered aircraft, by state?",315K tail numbers.,TRANSPORT__FED_FAA_AIRCRAFT_REGISTRY,single table,map,
TRANSPORT,crawl,Rail deaths since 1975,"How did worker, passenger and trespasser deaths move over fifty years?","Three lines, one long axis.",TRANSPORT__FED_FRA_CASUALTIES|TRANSPORT__FED_FRA_RAIL_DEATHS_BY_RAILROAD,"stack, same shape",timeline,"Several tables shown side by side, no join. If a join is wanted, it is not in the catalog."
