id,family,status,question,tables,join_grade,join_plan,bridge_needed,filter_columns,no_key_pairs,manual_note
102,ENVIRONMENT,not started,Do they also have the worst drinking water problems?,ENVIRONMENT__FED_PHMSA_FLAGGED_INCIDENTS | ENVIRONMENT__FED_USGS_ORPHANED_OIL_GAS_WELLS | ENVIRONMENT__FED_FRACFOCUS_REGISTRY | ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT,C geo +gap,ENVIRONMENT__FED_PHMSA_FLAGGED_INCIDENTS.OPERATOR_STATE = ENVIRONMENT__FED_USGS_ORPHANED_OIL_GAS_WELLS.STATE [STATE] ; ENVIRONMENT__FED_PHMSA_FLAGGED_INCIDENTS.OPERATOR_STATE = ENVIRONMENT__FED_FRACFOCUS_REGISTRY.STATE_NAME [STATE] ; ENVIRONMENT__FED_USGS_ORPHANED_OIL_GAS_WELLS.COUNTY = ENVIRONMENT__FED_FRACFOCUS_REGISTRY.COUNTY_NAME [COUNTY_NAME],,ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT.COMPL_PER_BEGIN_DATE | ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT.COMPL_PER_END_DATE | ENVIRONMENT__FED_FRACFOCUS_REGISTRY.JOB_END_DATE | ENVIRONMENT__FED_FRACFOCUS_REGISTRY.JOB_START_DATE | ENVIRONMENT__FED_PHMSA_FLAGGED_INCIDENTS.INCIDENT_YEAR | ENVIRONMENT__FED_PHMSA_FLAGGED_INCIDENTS.REPORT_RECEIVED_DATE | ENVIRONMENT__FED_USGS_ORPHANED_OIL_GAS_WELLS.DATA_FILE_DATE,ENVIRONMENT__FED_PHMSA_FLAGGED_INCIDENTS x ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT ; ENVIRONMENT__FED_USGS_ORPHANED_OIL_GAS_WELLS x ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT ; ENVIRONMENT__FED_FRACFOCUS_REGISTRY x ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT,
103,CROSS 3+,not started,Do they still win federal contracts afterward?,ENVIRONMENT__FED_USCG_NRC_INCIDENTS | FED_USASPENDING_CONTRACTS_FULL_R2 | PROCUREMENT__FED_SAM_EXCLUSIONS,B hard ID,ENVIRONMENT__FED_USCG_NRC_INCIDENTS.RESPONSIBLE_ZIP = FED_USASPENDING_CONTRACTS_FULL_R2.RECIPIENT_ZIP_4_CODE [ZIP] ; ENVIRONMENT__FED_USCG_NRC_INCIDENTS.RESPONSIBLE_ZIP = PROCUREMENT__FED_SAM_EXCLUSIONS.ZIP [ZIP] ; FED_USASPENDING_CONTRACTS_FULL_R2.RECIPIENT_UEI = PROCUREMENT__FED_SAM_EXCLUSIONS.UEI [UEI/DUNS],,ENVIRONMENT__FED_USCG_NRC_INCIDENTS.DATE_TIME_RECEIVED | ENVIRONMENT__FED_USCG_NRC_INCIDENTS.SRC_YEAR | FED_USASPENDING_CONTRACTS_FULL_R2.ACTION_DATE | FED_USASPENDING_CONTRACTS_FULL_R2.PERIOD_OF_PERFORMANCE_START_DATE | PROCUREMENT__FED_SAM_EXCLUSIONS.ACTIVATION_DATE | PROCUREMENT__FED_SAM_EXCLUSIONS.TERMINATION_DATE_RAW,,
104,TRANSPORT,not started,Do the same addresses show up behind multiple fatal crashes?,TRANSPORT__FED_NTSB_AVIATION_EVENTS | TRANSPORT__FED_NTSB_AVIATION_AIRCRAFT | TRANSPORT__FED_FAA_AIRCRAFT_REGISTRY,A measured,TRANSPORT__FED_NTSB_AVIATION_AIRCRAFT.EV_ID = TRANSPORT__FED_NTSB_AVIATION_EVENTS.EV_ID [measured 30968 shared] ; TRANSPORT__FED_NTSB_AVIATION_AIRCRAFT.NTSB_NO = TRANSPORT__FED_NTSB_AVIATION_EVENTS.NTSB_NO [measured 30438 shared] ; TRANSPORT__FED_NTSB_AVIATION_EVENTS.EV_ID = TRANSPORT__FED_NTSB_AVIATION_AIRCRAFT.EV_ID [measured 30968 shared] ; TRANSPORT__FED_NTSB_AVIATION_EVENTS.NTSB_NO = TRANSPORT__FED_NTSB_AVIATION_AIRCRAFT.NTSB_NO [measured 30438 shared] ; TRANSPORT__FED_NTSB_AVIATION_EVENTS.EV_SITE_ZIPCODE = TRANSPORT__FED_FAA_AIRCRAFT_REGISTRY.ZIP_CODE [ZIP] ; TRANSPORT__FED_NTSB_AVIATION_AIRCRAFT.OWNER_ZIP = TRANSPORT__FED_FAA_AIRCRAFT_REGISTRY.ZIP_CODE [ZIP],,TRANSPORT__FED_FAA_AIRCRAFT_REGISTRY.CERT_ISSUE_DATE | TRANSPORT__FED_FAA_AIRCRAFT_REGISTRY.LAST_ACTION_DATE | TRANSPORT__FED_NTSB_AVIATION_AIRCRAFT.DATE_LAST_INSP | TRANSPORT__FED_NTSB_AVIATION_AIRCRAFT.LCHG_DATE | TRANSPORT__FED_NTSB_AVIATION_EVENTS.EV_DATE | TRANSPORT__FED_NTSB_AVIATION_EVENTS.EV_YEAR,,
105,TRANSPORT,not started,Do the same crossings get hit by trains again and again?,TRANSPORT__FED_FRA_CROSSING_INCIDENTS | TRANSPORT__FED_FRA_CASUALTIES,A measured,TRANSPORT__FED_FRA_CASUALTIES.INCIDENT_NUMBER = TRANSPORT__FED_FRA_CROSSING_INCIDENTS.INCIDENT_NUMBER [measured 98233 shared] ; TRANSPORT__FED_FRA_CROSSING_INCIDENTS.INCIDENT_NUMBER = TRANSPORT__FED_FRA_CASUALTIES.INCIDENT_NUMBER [measured 98233 shared],,TRANSPORT__FED_FRA_CASUALTIES.DATE | TRANSPORT__FED_FRA_CASUALTIES.INCIDENT_YEAR | TRANSPORT__FED_FRA_CROSSING_INCIDENTS.INCIDENT_YEAR | TRANSPORT__FED_FRA_CROSSING_INCIDENTS.REPORT_YEAR,,
106,HEALTH+RAW,not started,Are those same counties still struggling with opioids today?,FED_DEA_ARCOS_FULL | HEALTH__FED_CDC_DRUG_POISONING_COUNTY | HEALTH__FED_CMS_PART_D_PRESCRIBERS,C geo,FED_DEA_ARCOS_FULL.REPORTER_COUNTY = HEALTH__FED_CDC_DRUG_POISONING_COUNTY.COUNTY [COUNTY_NAME] ; FED_DEA_ARCOS_FULL.REPORTER_STATE = HEALTH__FED_CMS_PART_D_PRESCRIBERS.PRSCRBR_STATE_FIPS [STATE] ; HEALTH__FED_CDC_DRUG_POISONING_COUNTY.STATE = HEALTH__FED_CMS_PART_D_PRESCRIBERS.PRSCRBR_STATE_FIPS [STATE],,FED_DEA_ARCOS_FULL.TRANSACTION_DATE | HEALTH__FED_CDC_DRUG_POISONING_COUNTY.YEAR,,
107,LEGAL_ENFORCEMENT+RAW,not started,Did the biggest distributors in a state match who actually got sued?,FED_DEA_ARCOS_FULL | LEGAL_ENFORCEMENT__FED_NAAG_MULTISTATE_SETTLEMENTS,E no shared key,,,FED_DEA_ARCOS_FULL.TRANSACTION_DATE | LEGAL_ENFORCEMENT__FED_NAAG_MULTISTATE_SETTLEMENTS.DATERESOLVED | LEGAL_ENFORCEMENT__FED_NAAG_MULTISTATE_SETTLEMENTS.YEAR,FED_DEA_ARCOS_FULL x LEGAL_ENFORCEMENT__FED_NAAG_MULTISTATE_SETTLEMENTS,name join: ARCOS REPORTER_NAME vs NAAG DEFENDANTS text
108,HEALTH,not started,Were they still being paid after their device got recalled?,HEALTH__FED_FDA_DEVICE_ENFORCEMENT | HEALTH__FED_FDA_DEVICE_510K | HEALTH__FED_CMS_OPEN_PAYMENTS,B hard ID,HEALTH__FED_FDA_DEVICE_ENFORCEMENT.PRODUCT_CODE = HEALTH__FED_FDA_DEVICE_510K.K_NUMBER [DEVICE] ; HEALTH__FED_FDA_DEVICE_ENFORCEMENT.POSTAL_CODE = HEALTH__FED_CMS_OPEN_PAYMENTS.RECIPIENT_ZIP_CODE [ZIP] ; HEALTH__FED_FDA_DEVICE_510K.POSTAL_CODE = HEALTH__FED_CMS_OPEN_PAYMENTS.RECIPIENT_ZIP_CODE [ZIP],,HEALTH__FED_CMS_OPEN_PAYMENTS.DATE_OF_PAYMENT | HEALTH__FED_CMS_OPEN_PAYMENTS.PROGRAM_YEAR | HEALTH__FED_FDA_DEVICE_510K.DATE_RECEIVED | HEALTH__FED_FDA_DEVICE_510K.DECISION_DATE | HEALTH__FED_FDA_DEVICE_ENFORCEMENT.RECALL_INITIATION_DATE | HEALTH__FED_FDA_DEVICE_ENFORCEMENT.VOLUNTARY_MANDATED,,
109,HEALTH,not started,Do they have more reported deaths than devices reviewed the normal way?,HEALTH__FED_FDA_MAUDE | HEALTH__FED_FDA_DEVICE_510K,B hard ID,HEALTH__FED_FDA_MAUDE.DEVICE_REPORT_PRODUCT_CODE = HEALTH__FED_FDA_DEVICE_510K.K_NUMBER [DEVICE],,HEALTH__FED_FDA_DEVICE_510K.DATE_RECEIVED | HEALTH__FED_FDA_DEVICE_510K.DECISION_DATE | HEALTH__FED_FDA_MAUDE.DATE_OF_EVENT | HEALTH__FED_FDA_MAUDE.DATE_RECEIVED,,
110,HEALTH+RAW,not started,Do the same doctors' prescribing costs jump right along with it?,FED_CMS_NADAC | HEALTH__FED_NLM_DAILYMED_SPL_SETID_MAP | FED_CMS_PARTD_PRESCRIBER_DRUG,D name match,FED_CMS_NADAC.NDC = HEALTH__FED_NLM_DAILYMED_SPL_SETID_MAP.SETID [DRUG] ; FED_CMS_NADAC.NDC = FED_CMS_PARTD_PRESCRIBER_DRUG.Brnd_Name [DRUG] ; HEALTH__FED_NLM_DAILYMED_SPL_SETID_MAP.SETID = FED_CMS_PARTD_PRESCRIBER_DRUG.Brnd_Name [DRUG],,FED_CMS_NADAC.CORRESPONDING_GENERIC_DRUG_EFFECTIVE_DATE | FED_CMS_NADAC.EFFECTIVE_DATE | HEALTH__FED_NLM_DAILYMED_SPL_SETID_MAP.UPLOAD_DATE,,
111,HEALTH,not started,Did their nearest full-service hospital shut down?,HEALTH__FED_IHS_FACILITIES | HEALTH__FED_IHS_SCB_FACILITY | HEALTH__FED_CMS_POS_OTHER,C geo,HEALTH__FED_IHS_FACILITIES.FACILITY_NAME = HEALTH__FED_IHS_SCB_FACILITY.FACILITY_NAME [ORG_NAME] ; HEALTH__FED_IHS_FACILITIES.ZIP = HEALTH__FED_CMS_POS_OTHER.ZIP_CD [ZIP] ; HEALTH__FED_IHS_SCB_FACILITY.FACILITY_NAME = HEALTH__FED_CMS_POS_OTHER.MLT_FAC_ORG_NAME [ORG_NAME],,HEALTH__FED_CMS_POS_OTHER.CHOW_DT | HEALTH__FED_CMS_POS_OTHER.CRTFCTN_DT,,
112,SCIENCE_RESEARCH,not started,Do the ones with more retracted (fake or flawed) studies keep getting funded?,SCIENCE_RESEARCH__FED_NIH_REPORTER | SCIENCE_RESEARCH__FED_SBIR_STTR_AWARDS | SCIENCE_RESEARCH__FED_RETRACTION_WATCH,B hard ID +gap,SCIENCE_RESEARCH__FED_NIH_REPORTER.ORG_DUNS = SCIENCE_RESEARCH__FED_SBIR_STTR_AWARDS.UEI [UEI/DUNS],,SCIENCE_RESEARCH__FED_NIH_REPORTER.FISCAL_YEAR | SCIENCE_RESEARCH__FED_NIH_REPORTER.PROJECT_START_DATE | SCIENCE_RESEARCH__FED_RETRACTION_WATCH.ORIGINAL_PAPER_DATE | SCIENCE_RESEARCH__FED_RETRACTION_WATCH.RETRACTION_DATE | SCIENCE_RESEARCH__FED_SBIR_STTR_AWARDS.AWARD_YEAR | SCIENCE_RESEARCH__FED_SBIR_STTR_AWARDS.PROPOSAL_AWARD_DATE,SCIENCE_RESEARCH__FED_NIH_REPORTER x SCIENCE_RESEARCH__FED_RETRACTION_WATCH ; SCIENCE_RESEARCH__FED_SBIR_STTR_AWARDS x SCIENCE_RESEARCH__FED_RETRACTION_WATCH,
113,HEALTH+JUSTICE,not started,Are companies still paying doctors to promote them?,JUSTICE__FED_JPML_PENDING_MDLS | HEALTH__FED_CMS_OPEN_PAYMENTS,E no shared key,,,HEALTH__FED_CMS_OPEN_PAYMENTS.DATE_OF_PAYMENT | HEALTH__FED_CMS_OPEN_PAYMENTS.PROGRAM_YEAR,JUSTICE__FED_JPML_PENDING_MDLS x HEALTH__FED_CMS_OPEN_PAYMENTS,name join: JPML LITIGATION text vs Open Payments manufacturer name
114,ECONOMICS+LABOR,not started,Are they going uninspected for years at a time?,LABOR__FED_OSHA_ITA_300A_SUMMARY_2024 | ECONOMICS__FED_DOL_OSHA_INSPECTIONS | ECONOMICS__FED_BLS_QCEW,C geo,LABOR__FED_OSHA_ITA_300A_SUMMARY_2024.ZIP_CODE = ECONOMICS__FED_DOL_OSHA_INSPECTIONS.SITE_ZIP [ZIP] ; LABOR__FED_OSHA_ITA_300A_SUMMARY_2024.STATE = ECONOMICS__FED_BLS_QCEW.STATE_FIPS [STATE] ; ECONOMICS__FED_DOL_OSHA_INSPECTIONS.SITE_STATE = ECONOMICS__FED_BLS_QCEW.STATE_FIPS [STATE],,ECONOMICS__FED_BLS_QCEW.YEAR | ECONOMICS__FED_DOL_OSHA_INSPECTIONS.CASE_MOD_DATE | ECONOMICS__FED_DOL_OSHA_INSPECTIONS.OPEN_DATE | LABOR__FED_OSHA_ITA_300A_SUMMARY_2024.NAICS_YEAR,,
115,LABOR,not started,Do accidents happen at their mines afterward?,LABOR__FED_MSHA_VIOLATIONS | LABOR__FED_MSHA_ACCIDENTS,A measured,LABOR__FED_MSHA_ACCIDENTS.CONTROLLER_ID = LABOR__FED_MSHA_VIOLATIONS.CONTROLLER_ID [measured 6565 shared] ; LABOR__FED_MSHA_ACCIDENTS.MINE_ID = LABOR__FED_MSHA_VIOLATIONS.MINE_ID [measured 13338 shared] ; LABOR__FED_MSHA_VIOLATIONS.CONTROLLER_ID = LABOR__FED_MSHA_ACCIDENTS.CONTROLLER_ID [measured 6565 shared] ; LABOR__FED_MSHA_VIOLATIONS.MINE_ID = LABOR__FED_MSHA_ACCIDENTS.MINE_ID [measured 13338 shared],,LABOR__FED_MSHA_ACCIDENTS.ACCIDENT_DATE | LABOR__FED_MSHA_ACCIDENTS.CAL_YR | LABOR__FED_MSHA_VIOLATIONS.VIOLATION_ISSUE_DATE | LABOR__FED_MSHA_VIOLATIONS.VIOLATION_OCCUR_DATE,,
116,CROSS 3+,not started,Do they pay the legal minimum wage and also rack up serious safety violations?,IMMIGRATION__FED_DOL_OFLC | ECONOMICS__FED_DOL_OSHA_INSPECTIONS | PROCUREMENT__FED_SAM_EXCLUSIONS,C geo,IMMIGRATION__FED_DOL_OFLC.EMPLOYER_STATE = ECONOMICS__FED_DOL_OSHA_INSPECTIONS.SITE_STATE [STATE] ; IMMIGRATION__FED_DOL_OFLC.EMPLOYER_STATE = PROCUREMENT__FED_SAM_EXCLUSIONS.STATE [STATE] ; ECONOMICS__FED_DOL_OSHA_INSPECTIONS.SITE_ZIP = PROCUREMENT__FED_SAM_EXCLUSIONS.ZIP [ZIP],,ECONOMICS__FED_DOL_OSHA_INSPECTIONS.CASE_MOD_DATE | ECONOMICS__FED_DOL_OSHA_INSPECTIONS.OPEN_DATE | IMMIGRATION__FED_DOL_OFLC.DECISION_DATE | IMMIGRATION__FED_DOL_OFLC.ORIGINAL_CERT_DATE | PROCUREMENT__FED_SAM_EXCLUSIONS.ACTIVATION_DATE | PROCUREMENT__FED_SAM_EXCLUSIONS.TERMINATION_DATE_RAW,,
117,ECONOMICS+HEALTH,not started,Did the same ones get hit with health and safety fines?,ECONOMICS__FED_SBA_PPP | HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS | HEALTH__FED_CMS_NURSING_HOME_PENALTIES,B hard ID,ECONOMICS__FED_SBA_PPP.BORROWER_ZIP = HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS.ZIP_CODE [ZIP] ; ECONOMICS__FED_SBA_PPP.BORROWER_ZIP = HEALTH__FED_CMS_NURSING_HOME_PENALTIES.ZIP_CODE [ZIP] ; HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS.CCN = HEALTH__FED_CMS_NURSING_HOME_PENALTIES.CMS_CERTIFICATION_NUMBER_CCN [CCN],,ECONOMICS__FED_SBA_PPP.DATE_APPROVED | ECONOMICS__FED_SBA_PPP.LOAN_STATUS_DATE | HEALTH__FED_CMS_NURSING_HOME_PENALTIES.PAYMENT_DENIAL_START_DATE | HEALTH__FED_CMS_NURSING_HOME_PENALTIES.PENALTY_DATE | HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS.INCORPORATION_DATE,,
118,CROSS 3+,part done,Do the ones with the worst loan losses also have enforcement actions against them?,ECONOMICS__FED_SBA_LOANS | JUSTICE__FED_FDIC_ENFORCEMENT_ORDERS | FINANCE__FED_FDIC_BANK_DATA,B hard ID,ECONOMICS__FED_SBA_LOANS.BORROWER_STATE = JUSTICE__FED_FDIC_ENFORCEMENT_ORDERS.STATE [STATE] ; ECONOMICS__FED_SBA_LOANS.PROJECT_COUNTY = FINANCE__FED_FDIC_BANK_DATA.COUNTY [COUNTY_NAME] ; JUSTICE__FED_FDIC_ENFORCEMENT_ORDERS.BANK_RSSD_ID = FINANCE__FED_FDIC_BANK_DATA.CERT [FDIC_CERT],,ECONOMICS__FED_SBA_LOANS.APPROVAL_DATE | ECONOMICS__FED_SBA_LOANS.APPROVAL_FISCAL_YEAR | FINANCE__FED_FDIC_BANK_DATA.DATEUPDT | FINANCE__FED_FDIC_BANK_DATA.INSURED_DATE | JUSTICE__FED_FDIC_ENFORCEMENT_ORDERS.ORDER_DATE | JUSTICE__FED_FDIC_ENFORCEMENT_ORDERS.ORDER_YEAR,,
119,IMMIGRATION+RAW,not started,"How much do they get paid per day, per detained person?",IMMIGRATION__FED_ICE_DETENTION_STINTS | IMMIGRATION__FED_ICE_DETENTION_FACILITY_CODES | FED_USASPENDING_CONTRACTS_FULL_R2,C geo,IMMIGRATION__FED_ICE_DETENTION_STINTS.COUNTY = IMMIGRATION__FED_ICE_DETENTION_FACILITY_CODES.COUNTY [COUNTY_NAME] ; IMMIGRATION__FED_ICE_DETENTION_STINTS.STATE = FED_USASPENDING_CONTRACTS_FULL_R2.RECIPIENT_STATE_CODE [STATE] ; IMMIGRATION__FED_ICE_DETENTION_FACILITY_CODES.ZIP = FED_USASPENDING_CONTRACTS_FULL_R2.RECIPIENT_ZIP_4_CODE [ZIP],,FED_USASPENDING_CONTRACTS_FULL_R2.ACTION_DATE | FED_USASPENDING_CONTRACTS_FULL_R2.PERIOD_OF_PERFORMANCE_START_DATE | IMMIGRATION__FED_ICE_DETENTION_STINTS.BIRTH_YEAR | IMMIGRATION__FED_ICE_DETENTION_STINTS.STAY_BOOK_OUT_DATE,,
120,IMMIGRATION+JUSTICE,not started,Do they also have high jail populations generally?,IMMIGRATION__FED_ICE_DETAINERS | JUSTICE__XC_VERA_INCARCERATION_TRENDS,D name match,IMMIGRATION__FED_ICE_DETAINERS.FACILITY_STATE = JUSTICE__XC_VERA_INCARCERATION_TRENDS.STATE_ABBR [STATE],,IMMIGRATION__FED_ICE_DETAINERS.BIRTH_YEAR | IMMIGRATION__FED_ICE_DETAINERS.DETAINER_PREPARE_DATE | JUSTICE__XC_VERA_INCARCERATION_TRENDS.YEAR,,
121,CROSS 3+,not started,Are any of them U.S. doctors or political donors?,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_OFFICERS | FINANCE__FED_FEC_INDIV_CONTRIBUTIONS | HEALTH__FED_CMS_OPEN_PAYMENTS,C geo +gap,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_OFFICERS.NAME = HEALTH__FED_CMS_OPEN_PAYMENTS.COVERED_RECIPIENT_FIRST_NAME [ORG_NAME] ; FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.ZIP_CODE = HEALTH__FED_CMS_OPEN_PAYMENTS.RECIPIENT_ZIP_CODE [ZIP],,FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.TRANSACTION_DATE | HEALTH__FED_CMS_OPEN_PAYMENTS.DATE_OF_PAYMENT | HEALTH__FED_CMS_OPEN_PAYMENTS.PROGRAM_YEAR,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_OFFICERS x FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,
122,CORPORATE_REGISTRY+JUSTICE,not started,Are any of them under U.S. or international sanctions?,CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC | JUSTICE__INTL_OPENSANCTIONS_DEFAULT | JUSTICE__FED_OFAC_SDN,D name match,CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC.NAME = JUSTICE__INTL_OPENSANCTIONS_DEFAULT.NAME [ORG_NAME] ; CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC.NAME = JUSTICE__FED_OFAC_SDN.SDN_NAME [ORG_NAME] ; JUSTICE__INTL_OPENSANCTIONS_DEFAULT.NAME = JUSTICE__FED_OFAC_SDN.SDN_NAME [ORG_NAME],,CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC.DOB_YEAR | JUSTICE__INTL_OPENSANCTIONS_DEFAULT.BIRTH_DATE,,
123,CROSS 3+,not started,Who's the real parent company hiding behind them?,ECONOMICS__INTL_GLEIF_REPEX | ECONOMICS__INTL_GLEIF | HOUSING__FED_CFPB_HMDA_ARID2017_LEI_XREF | ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,A measured,ECONOMICS__INTL_GLEIF.LEI = ECONOMICS__INTL_GLEIF_REPEX.LEI [measured 3142422 shared] ; ECONOMICS__INTL_GLEIF_REPEX.LEI = ECONOMICS__INTL_GLEIF.LEI [measured 3142422 shared] ; ECONOMICS__INTL_GLEIF_REPEX.LEI = HOUSING__FED_CFPB_HMDA_ARID2017_LEI_XREF.LEI_2018 [LEI] ; ECONOMICS__INTL_GLEIF_REPEX.LEI = ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK.MATCHED_LEI [LEI] ; ECONOMICS__INTL_GLEIF.LEI = HOUSING__FED_CFPB_HMDA_ARID2017_LEI_XREF.LEI_2018 [LEI] ; ECONOMICS__INTL_GLEIF.LEI = ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK.MATCHED_LEI [LEI] ; HOUSING__FED_CFPB_HMDA_ARID2017_LEI_XREF.LEI_2018 = ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK.MATCHED_LEI [LEI],,ECONOMICS__INTL_GLEIF.ENTITY_ENTITYCREATIONDATE | ECONOMICS__INTL_GLEIF.ENTITY_ENTITYEXPIRATIONDATE,,
124,CROSS 3+,found something,How much do they pay their top executives?,HEALTH__HOSPITAL_OFFICER_PAY | ECONOMICS__FED_IRS_BMF | FED_IRS_990_EFILE_INDEX,B hard ID,HEALTH__HOSPITAL_OFFICER_PAY.EIN = ECONOMICS__FED_IRS_BMF.EIN [EIN] ; HEALTH__HOSPITAL_OFFICER_PAY.EIN = FED_IRS_990_EFILE_INDEX.EIN [EIN] ; ECONOMICS__FED_IRS_BMF.EIN = FED_IRS_990_EFILE_INDEX.EIN [EIN],,ECONOMICS__FED_IRS_BMF.RULING_DATE | FED_IRS_990_EFILE_INDEX.SUB_DATE | HEALTH__HOSPITAL_OFFICER_PAY.TAX_YEAR,,
125,ECONOMICS+POLITICS,not started,Are they still operating and filing paperwork as if nothing happened?,POLITICS__IRS527_8871_ORGS | ECONOMICS__FED_IRS_AUTO_REVOCATIONS | POLITICS__IRS527_8872_REPORTS,A measured,POLITICS__IRS527_8871_ORGS.FORM_ID_NUMBER = POLITICS__IRS527_8872_REPORTS.FORM_ID_NUMBER [measured 243 shared] ; POLITICS__IRS527_8872_REPORTS.FORM_ID_NUMBER = POLITICS__IRS527_8871_ORGS.FORM_ID_NUMBER [measured 243 shared] ; POLITICS__IRS527_8871_ORGS.EIN = ECONOMICS__FED_IRS_AUTO_REVOCATIONS.EIN [EIN] ; ECONOMICS__FED_IRS_AUTO_REVOCATIONS.EIN = POLITICS__IRS527_8872_REPORTS.EIN [EIN],,ECONOMICS__FED_IRS_AUTO_REVOCATIONS.REVOCATION_DATE | ECONOMICS__FED_IRS_AUTO_REVOCATIONS.REVOCATION_POSTING_DATE | POLITICS__IRS527_8871_ORGS.ESTABLISHED_DATE | POLITICS__IRS527_8871_ORGS.INSERT_DATETIME | POLITICS__IRS527_8872_REPORTS.PERIOD_BEGIN_DATE | POLITICS__IRS527_8872_REPORTS.PERIOD_END_DATE,,
126,CONSUMER_PROTECTION+HOUSING,not started,Do consumer complaints about them pile up before regulators catch on?,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS | HOUSING__FED_CFPB_HMDA_ARID2017_LEI_XREF,C geo,,HOUSING__FED_CFPB_HMDA_ARID2017_LEI_XREF.LEI_2018 = FINANCE__FED_FDIC_BANK_DATA.LEI [LEI] then FINANCE__FED_FDIC_BANK_DATA.ZIP = CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS.ZIP_CODE [ZIP],CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS.DATE_RECEIVED | CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS.DATE_SENT_TO_COMPANY,,
127,FINANCE+HOUSING,not started,Are banks pulling branches out of those neighborhoods over time?,FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS | HOUSING__FED_MAPPING_INEQUALITY,C geo,FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS.BRANCH_COUNTY_FIPS = HOUSING__FED_MAPPING_INEQUALITY.FIPS [COUNTY_FIPS],,FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS.SIMS_ACQUIRED_DATE | FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS.SURVEY_YEAR,,
128,ECONOMICS+FINANCE,part done,Were failed banks still active members right up until they collapsed?,FINANCE__FED_FHFA_FHLB_MEMBERSHIP | ECONOMICS__FED_FDIC_FAILED_BANKS,B hard ID,FINANCE__FED_FHFA_FHLB_MEMBERSHIP.CERT = ECONOMICS__FED_FDIC_FAILED_BANKS.FDIC_CERT [FDIC_CERT],,ECONOMICS__FED_FDIC_FAILED_BANKS.FAIL_DATE | ECONOMICS__FED_FDIC_FAILED_BANKS.INSURED_DATE | FINANCE__FED_FHFA_FHLB_MEMBERSHIP.APPR_DATE | FINANCE__FED_FHFA_FHLB_MEMBERSHIP.MEM_DATE,,
129,CONSUMER_SAFETY,not started,Do complaints pile up for years before an official recall happens?,CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS | CONSUMER_SAFETY__FED_NHTSA_RECALLS,B hard ID,CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS.MAKE = CONSUMER_SAFETY__FED_NHTSA_RECALLS.MAKE [VEHICLE],,CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS.DATE_RECEIVED | CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS.FAIL_DATE | CONSUMER_SAFETY__FED_NHTSA_RECALLS.BEGIN_MANUFACTURE_DATE | CONSUMER_SAFETY__FED_NHTSA_RECALLS.END_MANUFACTURE_DATE,,
